
PET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-16,28,24,22,21,21,20,88,77,58,1013,1011,1009,10,10,10,23,14,,0.00,7,,172<br />
2014-1-17,28,24,21,21,21,19,94,78,53,1012,1011,1009,10,9,8,23,14,,0.00,4,,168<br />
2014-1-18,27,24,22,21,21,20,94,80,65,1013,1012,1010,10,10,10,24,18,,0.00,7,,172<br />
2014-1-19,27,24,21,21,21,20,94,84,69,1013,1012,1010,10,9,3,21,11,,0.00,6,,209<br />
2014-1-20,25,23,21,21,20,20,94,82,66,1014,1012,1011,10,10,10,26,11,,0.00,8,,190<br />
2014-1-21,27,24,22,20,20,19,88,79,61,1013,1012,1010,10,10,10,21,14,,0.00,7,,175<br />
2014-1-22,28,24,21,21,21,19,94,82,63,1013,1012,1010,10,9,5,13,8,,0.00,6,,205<br />
2014-1-23,28,26,22,21,20,18,93,74,55,1014,1012,1011,10,10,10,29,10,,0.00,6,,197<br />
2014-1-24,28,24,21,22,20,20,89,77,61,1015,1013,1012,10,10,10,29,14,,0.00,5,,173<br />
2014-1-25,28,24,22,21,21,20,89,80,57,1015,1013,1011,10,10,10,24,18,,0.00,5,,175<br />
2014-1-26,29,26,22,21,21,20,88,78,57,1013,1012,1010,10,10,10,16,11,,0.00,6,,202<br />
2014-1-27,29,24,21,21,20,19,89,76,48,1012,1011,1010,10,9,7,24,11,,0.00,4,,177<br />
2014-1-28,26,23,21,20,19,19,94,78,56,1013,1011,1010,10,10,10,32,16,,0.00,4,,179<br />
2014-1-29,27,23,20,20,19,18,94,80,54,1013,1010,1008,10,9,8,21,13,,0.00,4,,198<br />
2014-1-30,29,24,20,21,19,17,90,75,48,1013,1012,1010,10,9,6,19,10,,0.00,6,,199<br />
2014-1-31,27,24,21,20,19,18,94,75,55,1012,1011,1009,10,10,10,26,18,,0.00,4,,170<br />
2014-2-1,25,22,19,20,19,18,94,80,65,1012,1011,1009,10,10,8,32,19,,0.00,4,,165<br />
2014-2-2,24,22,21,20,19,18,88,83,75,1012,1010,1009,10,10,10,19,11,,0.00,6,,242<br />
2014-2-3,26,23,20,20,19,18,88,80,65,1012,1010,1009,10,9,8,16,11,,0.00,5,,246<br />
2014-2-4,26,23,20,20,19,19,94,81,64,1014,1012,1010,10,10,8,14,11,,0.00,4,,223<br />
2014-2-5,26,23,19,20,19,19,94,80,58,1014,1012,1011,10,10,8,21,11,,0.00,4,,182<br />
2014-2-6,26,23,20,20,19,19,94,80,65,1013,1012,1010,10,9,7,21,13,,0.00,3,,178<br />
2014-2-7,26,23,20,20,19,18,94,85,61,1013,1011,1009,10,7,1,24,13,,0.00,6,,220<br />
2014-2-8,26,23,20,20,19,18,90,81,61,1012,1011,1009,10,9,6,23,14,,0.00,7,,195<br />
2014-2-9,26,23,21,20,19,18,94,80,65,1012,1011,1009,10,10,7,14,13,,0.00,7,,197<br />
2014-2-10,27,23,21,20,19,18,88,76,61,1013,1012,1010,10,10,10,21,13,,0.00,3,,177<br />
2014-2-11,27,23,20,20,19,18,88,76,50,1012,1011,1009,10,10,10,19,13,,0.00,4,,186<br />
2014-2-12,27,23,21,20,19,18,88,78,57,1012,1011,1009,10,10,10,16,11,,0.00,5,,193<br />
2014-2-13,26,22,19,19,19,18,94,81,63,1013,1011,1010,10,9,8,16,8,,0.00,6,,237<br />
2014-2-14,26,22,19,20,19,18,94,81,55,1014,1012,1011,10,7,3,16,10,,0.00,5,,230<br />
2014-2-15,27,23,20,20,19,18,94,77,54,1014,1012,1011,10,9,8,19,11,,0.00,,,197<br />
2014-2-16,27,23,19,19,19,18,94,77,50,1014,1012,1010,10,10,10,13,6,,0.00,5,,237<br />
2014-2-17,27,24,21,19,18,18,88,73,52,1013,1012,1010,10,10,10,19,10,,0.00,6,,190<br />
2014-2-18,27,23,19,19,18,17,88,75,50,1013,1011,1010,10,10,10,19,11,,0.00,,,195<br />
2014-2-19,27,23,19,19,18,18,91,77,49,1011,1010,1008,10,10,9,16,11,,0.00,5,,205<br />
2014-2-20,24,22,19,19,18,18,94,82,64,1012,1010,1008,10,10,10,16,10,,0.00,4,,257<br />
2014-2-21,27,23,21,20,18,17,83,75,51,1013,1011,1010,10,10,10,16,11,,0.00,6,,197<br />
2014-2-22,28,24,20,20,19,18,94,76,56,1012,1011,1009,10,10,10,19,11,,0.00,8,,192<br />
2014-2-23,26,22,19,20,19,18,88,77,60,1012,1010,1009,10,10,10,16,11,,0.00,6,,204<br />
2014-2-24,27,23,21,20,19,19,94,77,63,1013,1011,1009,10,10,10,14,8,,0.00,6,Lluvia,187<br />
2014-2-25,28,24,20,20,19,18,88,77,53,1012,1011,1009,10,9,3,13,6,,0.00,5,,210<br />
2014-2-26,29,24,20,20,19,18,88,74,49,1012,1011,1009,10,10,10,19,8,,0.00,8,,192<br />
2014-2-27,28,24,21,20,19,19,88,76,53,1013,1011,1009,10,10,10,19,11,,0.00,3,,193<br />
2014-2-28,26,23,20,20,19,19,94,82,63,1014,1011,1009,10,10,8,16,11,,0.00,5,,202<br />
2014-3-1,28,24,22,21,20,20,88,80,62,1014,1013,1012,10,10,10,13,10,,0.00,6,,189<br />
2014-3-2,28,24,22,21,20,18,88,77,54,1014,1012,1011,10,10,10,14,6,,0.00,6,,186<br />
2014-3-3,28,24,21,20,19,18,94,76,50,1013,1011,1009,10,10,8,23,13,,0.00,6,,176<br />
2014-3-4,27,24,21,20,19,19,88,78,59,1012,1011,1009,10,10,10,14,13,,0.00,7,,182<br />
2014-3-5,26,23,20,20,19,18,94,81,54,1014,1012,1010,10,9,6,16,6,,0.00,7,Lluvia,234<br />
2014-3-6,28,24,21,21,20,19,94,80,55,1014,1013,1011,10,10,8,19,10,,0.00,6,,199<br />
2014-3-7,28,24,20,20,19,19,94,78,55,1014,1012,1010,10,10,10,23,13,,0.00,4,,183<br />
2014-3-8,24,22,21,20,19,19,88,83,74,1015,1014,1012,10,10,10,16,11,,0.00,6,,192<br />
2014-3-9,26,23,22,21,19,19,94,81,68,1015,1014,1012,10,10,8,16,13,,0.00,6,Lluvia,196<br />
2014-3-10,28,24,21,21,20,19,94,79,55,1016,1014,1012,10,9,5,19,10,,0.00,6,Lluvia,180<br />
2014-3-11,27,23,20,20,19,18,94,79,58,1014,1012,1010,10,10,10,26,14,,0.00,7,,171<br />
2014-3-12,26,23,20,20,19,18,94,83,69,1012,1011,1009,10,10,10,13,10,,0.00,6,,207<br />
2014-3-13,28,23,19,20,19,18,94,79,52,1013,1011,1009,10,9,7,23,8,,0.00,6,,217<br />
2014-3-14,26,23,20,19,19,18,94,80,60,1014,1012,1011,10,10,10,27,14,,0.00,5,,174<br />
2014-3-15,24,22,20,20,19,18,94,83,69,1013,1011,1009,10,9,5,14,11,,0.00,6,,206<br />
2014-3-16,25,22,19,19,18,18,94,80,59,1012,1010,1009,10,9,6,19,10,,0.00,5,,221<br />
2014-3-17,28,24,20,19,18,17,88,77,58,1011,1009,1008,10,10,10,32,13,,0.00,,,182<br />
2014-3-18,27,23,20,19,18,18,88,75,51,1012,1010,1008,10,10,10,21,11,,0.00,6,Lluvia,175<br />
2014-3-19,29,24,21,20,18,18,88,71,44,1013,1011,1009,10,10,10,21,11,,0.00,,,185<br />
2014-3-20,27,23,20,19,19,18,94,78,55,1011,1009,1008,10,10,10,23,13,,0.00,3,,180<br />
2014-3-21,26,23,20,19,19,18,94,79,61,1013,1011,1010,10,9,8,23,14,,0.00,5,,174<br />
2014-3-22,26,23,20,19,18,18,94,76,57,1014,1013,1012,10,10,9,26,16,,0.00,4,,170<br />
2014-3-23,26,23,20,19,18,17,94,79,60,1014,1012,1011,10,9,7,23,16,,0.00,4,,177<br />
2014-3-24,27,23,21,20,19,18,88,77,56,1014,1012,1010,10,10,10,19,11,,0.00,3,,183<br />
2014-3-25,28,24,21,20,19,18,88,78,62,1015,1013,1011,10,10,10,24,11,,0.00,8,,191<br />
2014-3-26,26,23,20,20,19,18,88,79,58,1014,1012,1011,10,10,10,16,10,,0.00,8,,188<br />
2014-3-27,25,22,19,20,18,18,94,82,63,1014,1012,1010,10,10,10,19,13,,0.00,4,,186<br />
2014-3-28,26,22,19,19,18,18,94,80,58,1013,1011,1009,10,10,8,23,14,,0.00,5,,174<br />
2014-3-29,23,21,18,18,18,17,94,83,66,1013,1011,1009,10,9,5,16,10,,0.00,6,,216<br />
2014-3-30,26,22,19,19,18,17,94,81,59,1015,1013,1012,10,10,5,26,11,,0.00,5,,177<br />
2014-3-31,26,22,18,18,18,17,95,81,50,1014,1013,1011,10,7,5,23,14,,0.00,3,,171<br />
2014-4-1,23,20,18,18,18,17,100,87,75,1013,1012,1010,10,9,4,21,13,,0.00,6,,175<br />
2014-4-2,22,20,18,18,17,17,94,86,71,1013,1011,1010,10,7,3,24,13,,0.00,6,,202<br />
2014-4-3,20,19,18,17,17,17,94,90,80,1014,1012,1011,10,7,3,21,13,,0.00,8,,281<br />
2014-4-4,23,21,18,18,17,16,94,82,68,1015,1013,1010,10,9,6,16,8,,0.00,6,,222<br />
2014-4-5,25,21,18,18,17,16,94,79,56,1014,1012,1011,10,10,10,16,11,,0.00,5,,188<br />
2014-4-6,24,21,18,18,17,17,94,81,60,1012,1011,1010,10,9,5,26,13,,0.00,5,,177<br />
2014-4-7,24,21,17,18,17,16,94,84,66,1013,1012,1010,10,7,3,21,10,,0.00,6,,209<br />
2014-4-8,23,21,18,18,17,17,94,85,65,1014,1012,1011,10,7,3,16,8,,0.00,6,,223<br />
2014-4-9,24,20,17,18,17,16,100,86,65,1015,1013,1011,10,7,0,13,8,,0.00,5,Niebla,255<br />
2014-4-10,23,20,17,18,17,16,94,86,66,1016,1013,1011,10,7,2,19,10,,0.00,6,,219<br />
2014-4-11,23,20,17,18,17,16,94,81,65,1013,1012,1010,10,10,10,23,11,,0.00,4,,181<br />
2014-4-12,20,18,17,17,17,16,94,88,78,1014,1012,1010,10,7,3,16,8,,0.00,6,,255<br />
2014-4-13,22,19,17,17,17,16,100,89,71,1013,1011,1010,10,6,1,16,10,,0.00,7,Lluvia,251<br />
2014-4-14,23,20,17,17,16,16,94,84,69,1013,1012,1010,10,9,3,13,8,,0.00,6,,229<br />
2014-4-15,23,20,17,17,16,16,94,83,66,1014,1012,1010,10,7,3,16,10,,0.00,6,,210<br />
2014-4-16,23,21,18,18,17,16,94,83,69,1013,1012,1011,10,10,10,16,11,,0.00,5,,192<br />
2014-4-17,24,21,17,18,17,17,94,83,64,1014,1012,1011,10,9,6,19,10,,0.00,3,,189<br />
2014-4-18,23,20,17,18,17,16,100,85,65,1012,1010,1008,10,6,0,19,10,,0.00,7,Niebla,185<br />
2014-4-19,20,18,16,18,17,16,94,90,83,1013,1011,1010,10,6,3,13,6,,0.00,7,,267<br />
2014-4-20,20,18,17,17,17,17,100,93,78,1015,1013,1012,10,5,0,16,8,,0.00,7,Niebla,236<br />
2014-4-21,23,20,17,18,17,1,100,84,32,1016,1013,1011,10,5,0,23,10,,0.00,7,Niebla,191<br />
2014-4-22,23,20,17,18,17,17,100,86,65,1014,1013,1011,10,6,0,21,13,,0.00,5,Niebla,195<br />
2014-4-23,24,21,18,17,17,16,88,76,60,1015,1013,1011,10,10,10,32,19,,0.00,4,,161<br />
2014-4-24,24,21,18,18,17,17,88,76,56,1015,1013,1011,10,10,10,34,19,,0.00,,,164<br />
2014-4-25,24,22,19,17,17,16,83,75,55,1014,1013,1011,10,10,10,29,21,,0.00,4,,159<br />
2014-4-26,22,21,19,17,17,16,88,80,63,1016,1014,1012,10,10,10,21,16,,0.00,8,,162<br />
2014-4-27,23,20,17,18,17,16,94,85,66,1014,1012,1010,10,8,6,14,11,,0.00,5,,178<br />
2014-4-28,22,21,19,18,17,16,88,83,73,1013,1012,1010,10,10,8,16,10,,0.00,7,,224<br />
2014-4-29,22,20,19,18,17,16,88,80,70,1015,1013,1011,10,10,1,21,10,,0.00,8,,203<br />
2014-4-30,24,21,18,18,17,16,88,78,57,1017,1013,1011,10,10,10,26,19,,0.00,6,,165<br />
2014-5-1,22,20,18,18,17,17,94,83,72,1014,1013,1011,10,10,8,14,6,,0.00,8,,289<br />
2014-5-2,24,21,19,18,18,17,94,81,67,1015,1013,1011,10,10,10,19,13,,0.00,7,,172<br />
2014-5-3,26,22,19,19,18,17,88,76,51,1017,1015,1014,10,10,10,24,16,,0.00,6,,174<br />
2014-5-4,22,20,19,19,18,17,94,85,74,1017,1015,1014,10,10,10,24,16,,0.00,6,,174<br />
2014-5-5,21,19,18,18,17,17,88,86,78,1016,1014,1012,10,9,7,13,8,,0.00,8,,211<br />
2014-5-6,22,20,18,18,17,17,94,84,71,1017,1015,1013,10,10,8,16,6,,0.00,8,,186<br />
2014-5-7,22,21,20,18,17,16,88,79,65,1017,1015,1013,10,10,8,21,13,,0.00,8,,165<br />
2014-5-8,22,20,19,17,17,17,83,80,69,1019,1016,1015,10,10,10,21,14,,0.00,8,,180<br />
2014-5-9,22,20,18,18,17,16,88,78,60,1018,1016,1014,10,10,10,16,13,,0.00,8,,165<br />
2014-5-10,23,21,19,18,17,16,88,79,60,1016,1015,1013,10,10,8,19,10,,0.00,8,,174<br />
2014-5-11,23,22,20,18,17,17,83,76,65,1016,1014,1012,10,10,10,21,14,,0.00,7,,161<br />
2014-5-12,25,22,20,19,18,17,88,76,58,1015,1013,1012,10,10,10,26,18,,0.00,6,,164<br />
2014-5-13,24,21,18,18,18,17,94,79,63,1014,1011,1009,10,10,10,29,19,,0.00,2,,160<br />
2014-5-14,23,21,20,18,17,17,88,78,65,1014,1013,1011,10,10,10,21,11,,0.00,8,,181<br />
2014-5-15,23,21,19,18,17,16,88,78,59,1016,1014,1012,10,10,10,21,11,,0.00,8,,174<br />
2014-5-16,24,22,20,17,17,16,83,75,60,1016,1014,1012,10,10,10,21,14,,0.00,7,,177<br />
2014-5-17,22,21,20,17,17,16,83,77,62,1015,1014,1012,10,10,10,19,14,,0.00,8,,158<br />
2014-5-18,24,22,19,18,17,16,88,74,53,1015,1013,1012,10,10,10,21,14,,0.00,7,,170<br />
2014-5-19,24,21,18,18,17,15,88,78,60,1015,1014,1012,10,10,10,24,16,,0.00,5,,161<br />
2014-5-20,23,21,19,17,17,16,83,78,65,1016,1014,1012,10,10,8,23,14,,0.00,8,Lluvia,175<br />
2014-5-21,21,20,18,18,17,17,94,82,72,1015,1014,1013,10,10,10,19,11,,0.00,8,,165<br />
2014-5-22,22,20,19,18,17,16,94,81,71,1016,1014,1013,10,10,10,23,14,,0.00,8,,164<br />
2014-5-23,23,22,20,17,17,16,83,74,58,1017,1015,1013,10,10,10,26,16,,0.00,8,,158<br />
2014-5-24,22,21,19,18,17,16,94,81,69,1017,1014,1013,10,10,6,26,16,,0.00,8,Lluvia,160<br />
2014-5-25,22,20,19,18,17,16,88,80,72,1015,1013,1012,10,10,10,14,10,,0.00,8,,191<br />
2014-5-26,23,21,19,18,16,15,88,75,64,1015,1014,1012,10,10,10,19,10,,0.00,8,,207<br />
2014-5-27,24,22,19,18,17,16,88,75,53,1016,1014,1012,10,10,6,23,10,,0.00,7,,222<br />
2014-5-28,22,21,19,18,17,16,88,80,70,1017,1015,1013,10,10,10,24,11,,0.00,8,,178<br />
2014-5-29,22,21,19,17,16,14,83,73,56,1016,1015,1013,10,10,10,23,16,,0.00,8,,158<br />
2014-5-30,22,20,18,17,16,14,88,72,52,1016,1014,1013,10,10,10,24,18,,0.00,8,,159<br />
2014-5-31,24,21,18,17,16,15,83,72,55,1016,1014,1012,10,10,10,21,13,,0.00,8,,180<br />
2014-6-1,23,21,19,17,16,15,78,71,59,1014,1013,1011,10,10,8,21,11,,0.00,8,,179<br />
2014-6-2,23,21,20,18,17,16,83,77,65,1014,1013,1010,10,9,6,23,10,,0.00,8,,176<br />
2014-6-3,22,21,20,18,17,17,83,78,67,1014,1013,1011,10,10,10,24,16,,0.00,8,,163<br />
2014-6-4,22,20,18,18,17,16,94,78,66,1013,1011,1009,10,10,7,24,19,,0.00,8,,156<br />
2014-6-5,23,21,19,16,16,14,78,70,49,1013,1012,1010,10,10,10,23,14,,0.00,7,,163<br />
2014-6-6,22,21,19,17,16,16,83,75,60,1014,1012,1011,10,10,10,26,16,,0.00,8,,168<br />
2014-6-7,22,20,19,17,16,15,83,76,63,1015,1014,1012,10,10,10,27,14,,0.00,8,,154<br />
2014-6-8,21,19,18,17,16,15,83,77,68,1016,1014,1013,10,10,7,24,10,,0.00,8,Lluvia,160<br />
2014-6-9,22,20,18,17,17,15,88,80,66,1016,1014,1012,10,10,8,23,14,,0.00,7,,167<br />
2014-6-10,21,20,19,17,17,16,88,83,74,1015,1014,1012,10,10,10,23,16,,0.00,8,,163<br />
2014-6-11,22,20,18,17,17,16,88,82,68,1015,1013,1011,10,10,10,24,13,,0.00,8,,158<br />
2014-6-12,20,19,17,17,16,15,94,82,69,1015,1013,1012,10,10,7,21,14,,0.00,8,Lluvia,159<br />
2014-6-13,21,20,19,16,16,14,83,75,61,1016,1013,1011,10,10,10,19,10,,0.00,8,,169<br />
2014-6-14,23,21,19,17,16,15,83,74,56,1015,1013,1012,10,9,7,21,11,,0.00,7,,162<br />
2014-6-15,22,21,19,16,16,16,83,76,63,1014,1012,1010,10,10,10,23,16,,0.00,7,,156<br />
2014-6-16,21,19,18,17,17,16,94,82,76,1013,1012,1011,10,10,8,19,11,,0.00,8,,178<br />
2014-6-17,22,20,19,17,17,16,88,78,65,1015,1013,1012,10,10,10,16,10,,0.00,8,,169<br />
2014-6-18,23,21,19,18,17,16,88,79,66,1015,1013,1011,10,9,6,14,8,,0.00,8,,204<br />
2014-6-19,22,21,19,18,18,18,89,84,68,1015,1014,1012,10,9,6,16,10,,0.00,8,Lluvia,177<br />
2014-6-20,22,21,19,18,18,17,88,81,68,1014,1013,1012,10,10,8,24,13,,0.00,8,Lluvia,167<br />
2014-6-21,23,21,19,18,17,16,94,77,62,1015,1013,1011,10,10,10,23,14,,0.00,8,,160<br />
2014-6-22,23,21,19,17,16,16,78,72,55,1015,1013,1011,10,9,1,19,13,,0.00,7,,166<br />
2014-6-23,24,21,19,18,16,15,88,72,52,1017,1014,1012,10,10,3,24,13,,0.00,6,,169<br />
2014-6-24,23,21,19,16,16,15,78,71,57,1016,1015,1013,10,10,2,24,14,,0.00,7,,163<br />
2014-6-25,22,21,19,17,16,16,88,75,64,1018,1016,1015,10,10,10,24,10,,0.00,8,,175<br />
2014-6-26,23,21,19,17,16,15,83,73,56,1018,1016,1014,10,10,10,34,21,,0.00,8,,155<br />
2014-6-27,22,20,18,16,15,14,83,74,60,1016,1014,1013,10,10,7,23,16,,0.00,7,,168<br />
2014-6-28,21,19,17,17,16,15,88,80,70,1016,1014,1013,10,9,1,14,10,,0.00,8,Lluvia,247<br />
2014-6-29,21,19,18,18,17,16,100,86,70,1018,1016,1015,10,9,5,23,8,,0.00,8,Lluvia,174<br />
2014-6-30,20,19,18,17,17,16,94,86,79,1016,1014,1011,10,9,5,24,16,,0.00,8,Lluvia,160<br />
2014-7-1,19,18,16,16,16,15,94,84,69,1016,1014,1013,10,10,8,21,11,,0.00,8,Lluvia,163<br />
2014-7-2,20,18,17,16,14,14,88,78,67,1017,1014,1013,10,10,10,19,11,,0.00,8,Lluvia,165<br />
2014-7-3,19,18,17,16,14,13,88,75,57,1017,1016,1014,10,9,7,21,10,,0.00,8,,152<br />
2014-7-4,20,19,18,15,14,13,83,73,63,1019,1017,1016,10,9,1,32,14,,0.00,8,,152<br />
2014-7-5,19,18,17,15,14,14,88,76,62,1017,1015,1013,10,10,10,21,16,,0.00,8,,167<br />
2014-7-6,19,18,17,16,15,14,88,81,73,1016,1014,1013,10,10,10,21,10,,0.00,8,,232<br />
2014-7-7,19,18,17,15,14,14,88,80,69,1016,1015,1013,10,10,10,19,13,,0.00,8,,183<br />
2014-7-8,18,17,16,15,14,14,94,83,75,1017,1015,1014,10,9,8,21,14,,0.00,8,,158<br />
2014-7-9,18,17,16,15,14,14,94,85,77,1016,1014,1012,10,9,5,19,13,,0.00,8,Lluvia,170<br />
2014-7-10,18,17,16,15,14,14,94,86,74,1014,1013,1011,10,10,9,23,14,,0.00,8,Lluvia,166<br />
2014-7-11,19,17,16,14,14,13,88,81,64,1014,1013,1011,10,9,5,23,13,,0.00,8,,163<br />
2014-7-12,18,17,16,14,14,13,88,81,66,1015,1013,1011,10,10,8,16,11,,0.00,8,,178<br />
2014-7-13,18,17,16,15,14,14,88,81,70,1016,1014,1012,10,9,5,16,11,,0.00,8,,173<br />
2014-7-14,18,17,16,15,14,14,94,84,69,1017,1015,1014,10,10,8,23,16,,0.00,8,Lluvia,166<br />
2014-7-15,18,17,16,14,13,12,88,78,61,1016,1015,1013,10,10,10,13,10,,0.00,8,,206<br />
2014-7-16,20,18,16,15,14,13,88,79,65,1017,1015,1013,10,10,8,21,10,,0.00,8,,188<br />
2014-7-17,19,17,16,15,14,14,88,81,71,1017,1015,1013,10,9,6,16,11,,0.00,8,,217<br />
2014-7-18,18,17,16,14,14,13,88,82,71,1017,1015,1013,10,8,3,14,8,,0.00,8,Lluvia,224<br />
2014-7-19,18,17,16,15,15,14,94,86,74,1016,1014,1012,10,7,3,19,8,,0.00,8,,187<br />
2014-7-20,18,17,16,15,15,14,94,85,75,1016,1015,1013,10,9,8,16,13,,0.00,8,,177<br />
2014-7-21,20,18,16,15,14,14,94,83,67,1016,1014,1011,10,10,1,24,16,,0.00,8,Lluvia,167<br />
2014-7-22,18,17,15,14,14,14,94,85,74,1016,1014,1013,10,9,6,24,16,,0.00,8,Lluvia,167<br />
2014-7-23,17,16,15,15,14,13,94,83,68,1017,1014,1012,10,9,5,19,13,,0.00,8,Lluvia,170<br />
2014-7-24,17,16,15,14,14,13,94,88,76,1014,1013,1011,10,8,3,16,8,,0.00,8,Lluvia,173<br />
2014-7-25,17,16,15,14,13,13,94,85,77,1017,1015,1012,10,10,8,23,11,,0.00,8,,171<br />
2014-7-26,18,16,14,14,13,13,95,85,65,1017,1016,1014,10,8,3,16,13,,0.00,8,Lluvia,170<br />
2014-7-27,17,16,14,14,14,13,95,89,82,1016,1015,1013,10,9,5,14,10,,0.00,8,Lluvia,201<br />
2014-7-28,17,16,14,14,14,13,100,90,77,1017,1015,1014,10,8,5,23,13,,0.00,8,Lluvia,170<br />
2014-7-29,18,16,14,14,13,13,94,86,75,1017,1015,1013,10,8,4,14,11,,0.00,8,Lluvia,189<br />
2014-7-30,19,17,14,14,13,13,94,83,69,1017,1015,1013,10,9,6,19,10,,0.00,7,Lluvia,213<br />
2014-7-31,17,16,14,14,14,13,94,87,77,1015,1014,1013,10,8,5,16,10,,0.00,8,Lluvia,243<br />
2014-8-1,17,16,15,14,13,13,94,86,75,1016,1014,1012,10,10,6,16,6,,0.00,8,Lluvia,259<br />
2014-8-2,19,17,15,14,14,13,88,79,63,1017,1015,1014,10,9,6,19,10,,0.00,8,,224<br />
2014-8-3,18,17,16,14,13,13,82,77,67,1016,1015,1013,10,9,5,21,18,,0.00,8,,162<br />
2014-8-4,19,17,15,14,13,13,88,83,69,1018,1015,1013,10,8,3,16,10,,0.00,8,,224<br />
2014-8-5,19,17,14,15,14,14,94,85,74,1020,1018,1016,10,5,2,19,10,,0.00,8,,178<br />
2014-8-6,18,17,15,15,14,14,94,86,73,1019,1017,1014,10,9,6,23,16,,0.00,8,Lluvia,162<br />
2014-8-7,17,16,15,15,14,13,100,87,76,1017,1015,1014,10,9,6,21,13,,0.00,8,Lluvia,171<br />
2014-8-8,18,17,14,14,14,13,94,85,73,1018,1016,1014,10,9,5,21,11,,0.00,8,Lluvia,172<br />
2014-8-9,18,17,16,14,14,13,88,83,71,1017,1016,1014,10,10,9,24,14,,0.00,8,,175<br />
2014-8-10,18,17,15,15,14,13,94,84,70,1019,1016,1014,10,9,6,21,13,,0.00,8,Lluvia,175<br />
2014-8-11,18,17,15,15,14,14,100,86,72,1016,1015,1013,10,9,5,19,14,,0.00,8,Lluvia,173<br />
2014-8-12,17,16,15,15,14,13,94,87,77,1017,1015,1014,10,9,6,13,8,,0.00,8,Lluvia,224<br />
2014-8-13,18,17,15,14,14,13,94,85,76,1016,1015,1013,10,8,5,13,8,,0.00,8,,219<br />
2014-8-14,17,17,16,14,14,13,88,82,72,1016,1014,1013,10,8,4,19,13,,0.00,8,Lluvia,178<br />
2014-8-15,17,16,14,14,13,13,94,83,70,1015,1014,1013,10,9,5,19,13,,0.00,8,Lluvia,173<br />
2014-8-16,18,16,14,13,13,13,88,80,64,1016,1015,1013,10,10,8,16,11,,0.00,8,,180<br />
2014-8-17,18,17,15,14,13,13,88,80,69,1016,1014,1013,10,10,8,14,11,,0.00,8,,185<br />
2014-8-18,18,17,15,14,13,12,94,81,64,1016,1014,1012,10,9,6,13,5,,0.00,8,,275<br />
2014-8-19,17,16,15,15,14,13,94,82,71,1016,1014,1012,10,8,5,14,10,,0.00,8,,189<br />
2014-8-20,19,17,16,14,13,13,88,82,73,1016,1015,1013,10,9,3,14,11,,0.00,8,,172<br />
