
ART,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-4-11,20,18,15,16,12,6,83,64,35,1020,1015,1008,10,10,10,26,14,,0.00,7,,149<br />
2014-4-12,17,13,10,16,8,0,94,64,23,1014,1010,1006,10,10,8,167,47,82,0.00,3,Lluvia,246<br />
2014-4-13,17,14,11,11,8,4,77,66,48,1023,1019,1013,10,10,10,47,29,74,0.00,6,,249<br />
2014-4-14,19,14,11,11,8,7,82,66,41,1024,1022,1020,10,9,7,19,10,,0.00,2,,315<br />
2014-4-15,21,17,12,14,10,8,88,65,41,1021,1017,1013,10,10,10,29,16,,0.00,,,340<br />
2014-4-16,22,19,15,14,12,11,82,65,44,1015,1013,1011,10,10,10,29,19,,0.00,,,15<br />
2014-4-17,25,21,17,16,12,5,77,59,39,1017,1014,1012,10,8,5,26,11,,0.00,8,,264<br />
2014-4-18,18,14,11,10,6,2,77,51,28,1017,1015,1013,10,10,10,27,14,,0.00,,,159<br />
2014-4-19,21,16,11,12,10,4,94,66,22,1021,1019,1016,10,7,1,23,5,,0.00,,,92<br />
2014-4-20,20,18,16,15,12,10,83,69,54,1022,1020,1017,10,10,10,14,11,,0.00,8,,98<br />
2014-4-21,22,19,16,17,13,10,83,68,49,1021,1017,1016,10,10,9,26,11,,0.00,4,Lluvia,14<br />
2014-4-22,19,16,13,11,9,6,72,63,46,1023,1021,1020,10,10,10,26,16,,0.00,2,,90<br />
2014-4-23,20,16,12,11,11,8,88,65,44,1023,1021,1021,10,10,10,14,8,,0.00,1,,33<br />
2014-4-24,21,17,14,15,12,8,88,69,45,1024,1023,1022,10,10,10,21,5,,0.00,4,,41<br />
2014-4-25,18,17,15,14,12,8,88,70,45,1024,1023,1022,10,10,8,21,14,,0.00,4,Lluvia,102<br />
2014-4-26,19,17,14,13,11,9,82,65,44,1023,1021,1019,10,10,10,24,16,39,0.00,1,,72<br />
2014-4-27,22,19,16,16,12,10,77,66,47,1022,1019,1017,10,10,10,27,21,52,0.00,6,,63<br />
2014-4-28,21,19,17,17,15,14,88,77,65,1020,1019,1017,10,9,5,19,8,,0.51,5,Lluvia,66<br />
2014-4-29,18,17,16,17,16,13,94,90,77,1019,1016,1014,10,6,1,29,18,,11.94,7,Lluvia,130<br />
2014-4-30,21,18,16,17,16,10,100,86,59,1014,1010,1007,10,7,1,32,18,,19.05,6,Lluvia,184<br />
2014-5-1,21,17,14,15,12,9,94,70,42,1011,1008,1005,10,10,10,26,18,,0.00,3,,241<br />
2014-5-2,22,18,14,17,14,11,88,75,62,1016,1014,1011,10,10,10,26,11,,0.00,3,,351<br />
2014-5-3,20,18,17,18,16,15,94,82,72,1015,1014,1012,10,10,9,24,16,,0.25,4,Lluvia,343<br />
2014-5-4,18,17,15,18,16,14,100,91,72,1017,1015,1013,10,5,0,19,8,,0.00,5,Niebla,146<br />
2014-5-5,19,17,15,16,15,14,100,85,76,1018,1017,1015,10,9,6,19,11,,0.00,7,,92<br />
2014-5-6,19,18,16,16,15,13,94,84,69,1019,1017,1016,10,6,1,14,10,,0.00,6,,142<br />
2014-5-7,20,18,16,17,16,14,88,84,71,1021,1019,1018,10,9,6,13,10,,0.00,5,,40<br />
2014-5-8,17,15,13,15,11,10,88,75,63,1022,1020,1018,10,9,6,26,18,,0.00,7,,208<br />
2014-5-9,19,16,13,14,11,8,82,69,43,1023,1022,1021,10,10,10,24,18,,0.00,5,,131<br />
2014-5-10,21,18,16,14,12,11,82,66,48,1024,1022,1020,10,10,10,24,18,35,0.00,5,,58<br />
2014-5-11,17,16,15,14,13,12,90,79,61,1021,1019,1018,10,8,3,26,14,40,7.11,7,Lluvia,52<br />
2014-5-12,18,17,16,16,15,13,94,86,76,1018,1016,1014,10,9,5,13,10,,0.25,7,Lluvia,70<br />
2014-5-13,22,18,13,15,14,11,100,78,43,1017,1015,1014,10,7,3,23,10,,0.00,4,,288<br />
2014-5-14,20,17,14,18,16,13,94,85,73,1017,1015,1013,10,9,8,19,13,,6.10,4,,348<br />
2014-5-15,21,18,15,17,15,10,94,81,66,1019,1016,1013,10,9,3,29,14,,54.10,5,Lluvia-Tormenta,206<br />
2014-5-16,18,16,13,14,10,8,88,67,50,1020,1017,1014,10,9,5,29,19,,8.89,5,Lluvia-Tormenta,72<br />
2014-5-17,17,14,11,15,7,2,94,60,26,1020,1018,1016,10,9,5,29,14,40,0.00,6,Lluvia,256<br />
2014-5-18,16,12,9,10,6,2,77,59,38,1021,1019,1018,10,9,7,16,13,,0.51,7,Lluvia,217<br />
2014-5-19,16,14,12,11,9,4,88,73,36,1022,1020,1019,10,9,3,21,11,,0.00,6,Lluvia,66<br />
2014-5-20,14,13,12,11,9,1,94,77,41,1021,1018,1014,10,8,3,32,18,55,22.10,7,Lluvia,107<br />
2014-5-21,14,13,12,13,12,10,100,88,75,1014,1006,1003,10,6,1,40,24,60,11.94,8,Lluvia-Tormenta,114<br />
2014-5-22,14,12,10,12,8,5,94,79,51,1024,1015,1006,10,8,2,32,19,47,0.00,7,Lluvia,215<br />
2014-5-23,12,9,7,7,4,1,82,66,34,1030,1026,1024,10,10,10,26,18,47,0.00,4,,244<br />
2014-5-24,16,11,7,7,5,4,76,66,42,1025,1022,1019,10,10,10,19,13,,0.00,,,300<br />
2014-5-25,17,13,9,10,8,6,88,71,49,1020,1017,1016,10,10,10,23,13,,0.00,,,322<br />
2014-5-26,14,11,9,11,9,7,94,80,64,1022,1019,1016,10,10,8,21,13,,0.00,1,,144<br />
2014-5-27,14,11,8,11,10,8,100,89,70,1025,1023,1022,10,5,0,23,6,,0.00,4,Niebla,41<br />
2014-5-28,16,13,10,12,10,7,94,79,64,1023,1021,1018,10,10,10,23,11,,0.00,4,,23<br />
2014-5-29,17,14,12,13,11,9,82,73,56,1018,1015,1011,10,10,10,35,24,55,0.00,,,21<br />
2014-5-30,16,16,15,14,13,12,94,86,73,1016,1015,1014,10,9,6,19,13,,3.05,8,Lluvia,32<br />
2014-5-31,17,15,13,14,12,6,100,84,54,1015,1014,1013,10,7,1,21,10,,1.02,6,Lluvia,180<br />
2014-6-1,20,16,11,8,6,3,76,55,27,1016,1015,1014,10,10,10,19,13,,0.00,,,243<br />
2014-6-2,19,14,10,12,8,5,77,62,38,1017,1015,1014,10,10,10,23,11,,0.00,,,324<br />
2014-6-3,17,14,11,11,9,7,82,67,47,1015,1011,1008,10,10,10,34,19,52,0.00,,,6<br />
2014-6-4,16,14,13,12,10,7,88,74,57,1008,1006,1004,10,10,6,34,24,52,0.51,5,Lluvia,357<br />
2014-6-5,16,13,10,12,7,3,88,67,34,1015,1012,1008,10,10,10,32,16,,0.00,4,,159<br />
2014-6-6,15,12,9,9,7,5,82,66,48,1015,1013,1011,10,10,10,27,10,40,0.00,,,118<br />
2014-6-7,16,13,12,11,9,7,82,74,57,1011,1009,1006,10,9,8,21,14,39,2.03,6,Lluvia,351<br />
2014-6-8,15,11,8,9,6,2,82,63,32,1015,1013,1011,10,10,10,24,13,,0.00,,,298<br />
2014-6-9,19,14,10,6,3,-3,67,47,18,1023,1020,1015,10,10,10,27,19,,0.00,,,301<br />
2014-6-10,17,13,10,11,9,4,88,70,46,1024,1021,1016,10,10,10,21,11,35,0.00,,,18<br />
2014-6-11,17,14,13,15,12,7,94,81,54,1017,1011,1007,10,8,1,40,19,60,5.08,7,Lluvia-Tormenta,27<br />
2014-6-12,19,16,11,17,15,7,94,88,76,1011,1003,998,10,6,1,42,18,66,8.89,7,Lluvia-Tormenta,355<br />
2014-6-13,14,11,8,7,3,0,82,60,27,1028,1022,1014,10,10,10,27,18,,0.00,7,,221<br />
2014-6-14,13,9,6,7,5,2,76,70,56,1030,1028,1027,10,10,10,19,11,37,0.00,2,,100<br />
2014-6-15,14,12,10,12,9,5,88,77,58,1027,1023,1020,10,10,7,32,19,45,0.25,6,Lluvia,43<br />
2014-6-16,18,14,12,12,8,4,94,68,32,1024,1022,1020,10,8,6,24,11,,0.00,6,,229<br />
2014-6-17,14,11,8,6,5,2,76,63,36,1029,1025,1022,10,10,10,19,10,,0.00,6,,227<br />
2014-6-18,13,9,6,5,2,0,76,60,38,1034,1032,1029,10,10,10,16,13,,0.00,,,209<br />
2014-6-19,13,9,4,4,2,0,81,59,31,1033,1030,1026,10,9,5,21,8,,0.00,,,297<br />
2014-6-20,15,10,6,8,4,1,87,63,42,1026,1023,1020,10,10,10,21,13,,0.00,,,344<br />
2014-6-21,14,12,11,9,7,4,77,67,53,1021,1019,1016,10,10,10,23,18,,0.00,,,22<br />
2014-6-22,16,14,13,14,11,9,94,81,67,1016,1015,1013,10,9,7,23,11,,0.76,7,Lluvia,31<br />
2014-6-23,18,16,14,15,14,12,94,90,81,1016,1014,1013,10,7,1,14,5,,0.00,6,,110<br />
2014-6-24,15,12,9,11,9,7,100,85,63,1020,1018,1017,10,6,1,14,10,,0.00,4,,171<br />
2014-6-25,13,12,10,10,9,7,100,88,71,1019,1018,1017,10,6,0,21,10,,0.00,5,Niebla,124<br />
2014-6-26,13,10,7,9,8,6,94,80,57,1024,1021,1019,10,8,2,21,14,,0.00,5,,142<br />
2014-6-27,16,12,8,9,7,5,93,74,54,1029,1027,1025,10,8,6,10,6,,0.00,,,152<br />
2014-6-28,14,10,6,9,5,3,87,66,38,1031,1029,1027,10,9,8,13,8,,0.00,,,132<br />
2014-6-29,14,11,7,10,7,0,100,81,38,1029,1024,1021,10,5,0,19,10,,0.00,2,Niebla,153<br />
2014-6-30,12,9,7,9,7,6,100,83,62,1022,1019,1017,10,6,1,14,10,,0.00,3,,164<br />
2014-7-1,10,8,5,7,6,4,100,88,68,1019,1017,1016,10,4,0,11,6,,0.00,4,Niebla,351<br />
2014-7-2,14,11,8,10,7,5,88,77,64,1017,1015,1013,10,10,10,23,14,,0.00,2,,51<br />
2014-7-3,18,14,10,9,6,1,87,59,26,1018,1017,1015,10,10,10,14,10,,0.00,6,,254<br />
2014-7-4,14,12,9,13,8,4,94,80,54,1018,1016,1013,10,9,6,34,19,45,0.00,6,,129<br />
2014-7-5,13,12,10,13,12,6,100,92,73,1014,1009,1004,10,4,1,40,26,60,22.10,7,Lluvia,190<br />
2014-7-6,10,7,4,6,4,2,87,78,65,1017,1014,1011,10,8,3,34,24,50,1.02,7,Lluvia,297<br />
2014-7-7,18,11,5,6,3,0,81,55,24,1028,1022,1018,10,10,10,23,18,,0.00,,,278<br />
2014-7-8,12,10,8,10,8,6,94,83,71,1031,1028,1017,10,10,10,16,13,35,0.00,3,,99<br />
2014-7-9,13,11,8,10,9,7,94,85,69,1028,1027,1026,10,9,7,23,13,,0.00,4,,82<br />
2014-7-10,13,12,11,11,10,9,94,84,67,1030,1028,1027,10,10,10,27,19,,0.00,5,,109<br />
2014-7-11,15,13,12,13,11,10,94,83,73,1027,1024,1022,10,10,10,21,14,,0.00,5,,55<br />
2014-7-12,16,14,13,15,13,12,100,90,85,1023,1020,1017,10,6,1,26,14,47,44.96,7,Lluvia,81<br />
2014-7-13,17,16,13,15,13,12,100,90,71,1020,1019,1017,10,6,0,14,8,,6.10,6,Niebla-Lluvia,351<br />
2014-7-14,19,15,11,17,14,10,100,92,84,1020,1016,1012,10,6,0,21,13,,0.00,7,Niebla-Lluvia,99<br />
2014-7-15,18,16,14,17,14,8,94,84,48,1018,1013,1009,10,8,1,27,11,34,11.94,7,Lluvia-Tormenta,285<br />
2014-7-16,16,13,10,12,9,7,94,77,48,1020,1019,1018,10,9,2,63,14,,0.00,,,141<br />
2014-7-17,15,13,11,11,8,5,94,69,47,1024,1021,1018,10,10,10,29,16,,0.00,7,,175<br />
2014-7-18,16,12,8,9,7,4,87,69,43,1025,1024,1022,10,10,10,21,14,,0.00,2,,263<br />
2014-7-19,20,15,10,12,9,4,82,69,48,1023,1021,1019,10,9,9,23,14,,0.00,,,331<br />
2014-7-20,19,15,11,12,9,7,82,70,48,1020,1018,1015,10,10,10,23,13,,0.00,,,345<br />
2014-7-21,18,16,13,14,12,10,88,76,60,1016,1014,1011,10,10,10,21,16,,6.10,6,Lluvia-Tormenta,9<br />
2014-7-22,16,14,12,15,13,10,100,90,72,1014,1010,1007,10,7,3,42,14,37,7.87,7,Lluvia-Tormenta,126<br />
2014-7-23,13,11,9,7,5,4,82,66,47,1021,1016,1013,10,10,10,37,27,,0.00,3,,180<br />
2014-7-24,14,10,6,5,-1,-7,81,50,15,1025,1022,1021,10,10,10,24,13,,0.00,2,,232<br />
2014-7-25,14,10,6,3,-1,-5,66,46,17,1022,1019,1017,10,10,10,27,18,,0.00,,,314<br />
2014-7-26,10,7,4,3,-3,-9,71,46,16,1027,1024,1019,10,10,10,23,18,39,0.00,,,214<br />
2014-7-27,10,7,4,3,1,-1,81,60,37,1030,1028,1027,10,10,10,23,8,35,0.00,3,,87<br />
2014-7-28,15,11,8,8,6,3,76,63,49,1029,1025,1020,10,10,10,27,21,37,0.00,8,,37<br />
2014-7-29,18,15,12,15,12,8,88,79,56,1023,1019,1016,10,10,10,19,10,,0.00,6,,46<br />
2014-7-30,16,14,13,16,11,8,94,75,58,1022,1019,1017,10,9,4,16,8,,0.00,8,,96<br />
2014-7-31,18,15,12,16,14,9,100,88,67,1017,1013,1011,10,7,1,24,14,,0.00,8,Lluvia,26<br />
2014-8-1,18,17,15,17,16,14,100,94,83,1014,1012,1010,10,3,0,13,6,,0.00,7,Niebla-Lluvia,278<br />
2014-8-2,22,18,14,20,16,14,100,92,81,1011,1006,1001,8,4,2,23,5,,5.08,5,Niebla-Lluvia-Tormenta,93<br />
2014-8-3,22,19,16,17,10,2,83,59,27,1014,1007,1004,10,9,8,23,16,,0.00,8,,170<br />
2014-8-4,17,13,10,6,1,-3,54,39,14,1026,1022,1015,10,10,10,27,16,47,0.00,8,,242<br />
2014-8-5,17,13,9,8,6,2,76,58,40,1026,1021,1016,10,9,9,26,14,,0.00,,,359<br />
2014-8-6,17,14,11,11,8,4,77,65,54,1017,1013,1009,10,9,8,29,21,52,0.00,7,,356<br />
2014-8-7,18,14,10,10,3,0,77,46,22,1029,1024,1017,10,10,10,32,16,60,0.00,1,,231<br />
2014-8-8,16,12,9,7,4,1,63,50,35,1030,1027,1024,10,10,10,19,8,,0.00,,,310<br />
2014-8-9,18,14,10,10,7,6,76,63,45,1025,1017,1012,10,10,10,23,18,,0.00,,,353<br />
2014-8-10,18,15,12,10,8,6,82,63,37,1017,1013,1011,10,10,10,27,14,,0.00,7,Lluvia,270<br />
2014-8-11,14,11,8,8,3,-2,87,55,24,1019,1018,1017,10,10,10,19,11,,0.00,,,230<br />
2014-8-12,15,11,7,1,-2,-7,62,39,21,1027,1021,1018,10,10,10,32,16,50,0.00,1,,249<br />
