
COT,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-3-3,18,12,7,12,10,8,100,85,55,1027,1024,1022,11,7,0,145,18,,0.00,3,Niebla-Lluvia-Tormenta,295<br />
2014-3-4,18,13,9,13,11,8,100,84,52,1027,1025,1023,14,8,3,23,6,,0.00,5,Niebla-Lluvia,339<br />
2014-3-5,19,15,11,21,12,9,100,82,44,1029,1025,1011,16,8,2,23,8,,9.91,5,Niebla-Lluvia-Tormenta,327<br />
2014-3-6,19,15,11,12,11,8,100,82,52,1029,1027,1024,10,8,5,16,6,,0.00,5,,300<br />
2014-3-7,19,14,9,13,11,8,100,85,53,1028,1026,1024,11,8,3,19,6,,10.92,4,Niebla-Lluvia-Tormenta,41<br />
2014-3-8,19,14,10,13,11,10,94,82,52,1029,1027,1024,14,9,5,29,6,,0.00,5,Niebla,295<br />
2014-3-9,18,13,7,12,10,7,100,81,52,1029,1027,1024,18,10,0,26,8,,0.00,3,Niebla,317<br />
2014-3-10,19,13,7,12,9,6,100,80,49,1028,1026,1024,14,10,5,29,8,,0.00,3,Niebla,334<br />
2014-3-11,19,14,9,13,11,9,100,81,53,1027,1025,1023,11,6,0,26,8,,0.00,4,Niebla-Tormenta,288<br />
2014-3-12,20,16,12,13,12,7,96,82,43,1027,1025,1023,11,7,1,29,8,,19.05,5,Niebla-Lluvia-Tormenta,269<br />
2014-3-13,19,14,10,14,11,10,100,86,55,1029,1026,1024,10,6,0,24,8,,0.00,4,Niebla-Lluvia-Tormenta,288<br />
2014-3-14,19,14,9,14,11,9,100,82,52,1028,1026,1024,10,7,5,212,11,,0.00,4,Niebla-Lluvia-Tormenta,323<br />
2014-3-15,18,14,12,13,12,10,100,88,59,1027,1025,1023,11,7,3,23,8,,1.02,5,Niebla-Lluvia-Tormenta,299<br />
2014-3-16,19,14,11,14,12,9,100,86,52,1026,1024,1022,10,7,1,29,8,,11.94,5,Niebla-Lluvia-Tormenta,318<br />
2014-3-17,20,15,10,12,9,7,97,76,43,1026,1024,1021,10,9,5,23,8,,0.00,4,,87<br />
2014-3-18,21,16,10,12,9,7,94,76,40,1028,1026,1024,18,11,10,23,13,,0.00,3,,64<br />
2014-3-19,19,14,9,12,9,7,100,74,49,1027,1025,1023,10,10,10,23,8,,0.00,4,,75<br />
2014-3-20,19,14,11,10,9,8,88,70,49,1027,1025,1023,18,10,10,23,10,,0.00,4,,75<br />
2014-3-21,21,14,8,13,9,6,94,72,29,1028,1026,1023,18,10,8,23,10,,0.00,4,,57<br />
2014-3-22,21,14,8,11,8,4,94,65,33,1029,1027,1024,14,9,8,19,11,32,0.00,5,,67<br />
2014-3-23,20,14,9,11,9,7,94,71,36,1029,1027,1025,18,11,10,18,10,,0.00,5,,77<br />
2014-3-24,19,13,8,12,10,5,100,80,33,1028,1026,1023,18,10,8,26,6,,4.06,4,Lluvia-Tormenta,264<br />
2014-3-25,18,14,11,12,11,8,94,77,46,1029,1027,1024,18,11,9,14,8,,0.25,4,Niebla,5<br />
2014-3-26,18,13,9,13,9,8,95,75,40,1030,1028,1025,14,10,2,233,14,,0.00,5,Niebla-Tormenta,47<br />
2014-3-27,19,14,9,11,8,6,94,67,34,1029,1027,1025,18,11,8,32,10,,0.00,4,,92<br />
2014-3-28,22,14,8,11,8,4,94,68,20,1029,1026,1023,14,9,5,19,8,,0.00,2,Niebla,50<br />
2014-3-29,22,13,4,13,8,4,100,79,33,1028,1026,1022,18,6,0,26,8,,0.00,2,Niebla,349<br />
2014-3-30,21,13,5,11,9,6,100,77,40,1028,1025,1023,14,8,3,32,8,,0.00,4,Niebla,345<br />
2014-3-31,20,12,4,12,8,5,100,76,40,1029,1026,1024,14,8,3,24,6,,0.00,3,Niebla,323<br />
2014-4-1,19,12,6,8,7,5,93,65,33,1029,1028,1025,11,9,5,26,11,,0.00,3,Niebla,101<br />
2014-4-2,19,16,11,11,9,7,94,70,36,1029,1027,1024,16,10,6,27,10,,0.00,4,,66<br />
2014-4-3,20,16,11,13,11,9,94,78,52,1029,1026,1024,18,10,8,26,10,,0.00,5,Niebla-Tormenta,17<br />
2014-4-4,21,16,11,13,11,8,100,78,36,1028,1026,1024,14,9,5,19,6,,3.05,5,Niebla-Lluvia-Tormenta,334<br />
2014-4-5,19,14,11,12,9,7,95,73,46,1029,1027,1024,18,11,8,23,10,,0.00,3,Niebla,86<br />
2014-4-6,19,14,9,10,9,7,94,71,49,1028,1027,1024,18,10,10,27,10,,0.00,4,,95<br />
2014-4-7,20,16,12,11,10,8,94,71,45,1029,1027,1024,18,10,8,29,11,27,0.00,5,,75<br />
2014-4-8,18,15,12,13,9,7,94,72,44,1029,1027,1025,18,10,6,23,10,,0.25,5,Lluvia,62<br />
2014-4-9,20,14,9,10,7,4,87,64,29,1030,1027,1024,18,11,8,27,10,,0.00,3,,62<br />
2014-4-10,19,14,9,9,8,7,87,67,35,1029,1028,1025,18,12,10,24,13,,0.00,2,,76<br />
2014-4-11,18,13,9,9,8,6,88,67,37,1029,1027,1019,18,11,10,26,13,,0.00,4,,71<br />
2014-4-12,18,14,9,9,8,6,87,67,30,1028,1026,1024,18,11,10,23,13,,0.00,4,,71<br />
2014-4-13,19,13,6,9,7,6,100,71,35,1028,1026,1023,18,11,8,26,10,,0.00,3,,80<br />
2014-4-14,21,14,7,13,9,7,100,74,30,1027,1025,1022,18,9,3,27,8,,3.05,4,Lluvia,26<br />
2014-4-15,17,14,11,12,11,9,94,83,51,1028,1025,1024,14,9,6,14,6,,0.25,6,Niebla-Lluvia,335<br />
2014-4-16,18,14,10,13,11,9,100,79,45,1028,1026,1022,16,10,5,23,6,,1.02,5,Niebla-Lluvia,312<br />
2014-4-17,19,14,11,13,11,9,100,81,44,1028,1026,1023,18,9,3,21,8,,7.11,6,Lluvia,20<br />
2014-4-18,20,14,9,13,10,7,94,75,39,1028,1025,1022,18,11,9,19,8,,2.03,4,Lluvia,52<br />
2014-4-19,18,14,11,13,11,9,94,83,48,1028,1026,1024,18,11,5,14,8,,2.03,6,Lluvia,354<br />
2014-4-20,19,14,11,11,9,7,94,74,42,1029,1027,1025,18,11,10,19,10,,0.00,5,Lluvia,63<br />
2014-4-21,18,13,8,14,11,8,94,79,47,1028,1026,1024,18,10,7,23,8,,3.05,5,Lluvia,49<br />
2014-4-22,17,14,12,13,11,10,100,85,59,1028,1026,1025,14,10,1,29,8,,17.02,5,Lluvia-Tormenta,7<br />
2014-4-23,20,14,8,13,11,8,100,78,48,1028,1026,1023,18,10,6,24,11,,4.06,4,Lluvia-Tormenta,359<br />
2014-4-24,17,13,10,12,11,8,100,82,45,1031,1028,1025,16,9,3,14,6,,2.03,5,Lluvia,68<br />
2014-4-25,18,14,10,11,9,8,94,74,44,1029,1027,1024,18,12,10,23,8,,0.00,3,,80<br />
2014-4-26,18,14,11,12,9,7,100,76,45,1029,1026,1024,18,12,10,21,10,,0.25,4,,79<br />
2014-4-27,19,14,9,12,10,9,100,77,41,1029,1027,1023,18,11,8,19,6,,3.05,5,Lluvia,47<br />
2014-4-28,21,16,12,12,11,7,94,73,33,1028,1026,1022,18,10,8,19,6,,0.00,4,Lluvia,61<br />
2014-4-29,19,16,11,12,9,8,94,73,42,1028,1026,1024,14,11,9,19,10,,5.08,5,Lluvia,70<br />
2014-4-30,21,16,9,13,11,8,95,77,40,1030,1026,1023,18,11,6,21,8,,0.51,4,Lluvia,57<br />
2014-5-1,20,15,10,13,11,7,100,78,43,1028,1026,1023,18,10,6,13,5,,0.51,4,Lluvia,339<br />
2014-5-2,19,16,11,11,10,8,94,73,41,1029,1026,1023,18,11,10,24,6,,0.00,4,,79<br />
2014-5-3,22,16,9,12,7,3,87,64,20,1030,1028,1025,18,11,10,23,11,,0.00,4,,36<br />
2014-5-4,20,12,5,12,8,5,100,73,34,1031,1028,1025,18,11,10,23,8,,0.00,4,,58<br />
2014-5-5,20,16,11,13,11,9,100,78,43,1030,1027,1024,18,11,8,24,6,,1.02,4,Tormenta,333<br />
2014-5-6,18,13,8,13,11,10,95,76,52,1029,1027,1024,11,9,8,23,8,,2.03,3,Niebla-Lluvia-Tormenta,302<br />
2014-5-7,18,15,12,12,12,10,100,81,49,1030,1027,1025,14,10,6,18,6,,0.00,5,Lluvia-Tormenta,332<br />
2014-5-8,18,15,12,13,12,10,100,87,56,1029,1028,1026,10,8,3,23,6,,7.11,5,Niebla-Lluvia-Tormenta,275<br />
2014-5-9,18,14,11,14,11,9,100,83,48,1030,1028,1025,14,8,2,21,6,,1.02,5,Lluvia,287<br />
2014-5-10,18,14,12,12,11,1,98,81,32,1028,1027,1024,16,10,8,29,8,,0.00,4,Niebla-Lluvia,278<br />
2014-5-11,17,13,11,14,12,11,100,86,63,1027,1026,1024,16,8,1,27,8,,25.91,5,Niebla-Lluvia-Tormenta,278<br />
2014-5-12,17,14,11,13,12,10,100,84,63,1028,1026,1023,14,8,4,26,5,,14.99,4,Lluvia-Tormenta,9<br />
2014-5-13,19,14,8,12,10,8,100,71,40,1027,1025,1022,18,10,8,23,8,,0.00,3,Niebla,84<br />
2014-5-14,20,16,12,11,9,8,94,70,36,1028,1026,1023,18,11,10,19,11,,0.00,4,,62<br />
2014-5-15,19,14,8,14,11,8,100,82,49,1029,1027,1024,18,11,5,26,8,,9.91,5,Lluvia,336<br />
2014-5-16,18,13,8,13,11,8,100,83,50,1028,1026,1023,18,11,10,19,8,,0.51,3,Niebla,334<br />
2014-5-17,18,14,11,13,11,9,96,84,53,1028,1026,1023,16,10,3,23,6,,0.25,4,Niebla,336<br />
2014-5-18,18,14,11,12,11,9,100,80,43,1028,1026,1024,18,10,3,23,6,,0.00,5,Lluvia,62<br />
2014-5-19,17,13,9,11,9,8,93,76,49,1029,1027,1025,16,11,10,26,10,,0.00,4,,94<br />
2014-5-20,18,14,9,13,9,4,100,72,30,1028,1027,1025,18,10,5,21,8,,0.00,4,Niebla-Lluvia,33<br />
2014-5-21,20,11,2,12,9,2,100,81,43,1029,1027,1024,18,11,8,24,8,,910.08,3,Niebla-Lluvia-Tormenta,333<br />
2014-5-22,22,16,9,13,11,8,100,74,38,1030,1027,1023,18,10,2,29,8,,7.11,4,Niebla-Lluvia-Tormenta,120<br />
2014-5-23,19,14,9,13,11,9,100,84,50,1030,1027,1024,18,10,8,29,10,,12.95,4,Lluvia-Granizo-Tormenta,272<br />
2014-5-24,22,14,8,11,8,3,98,68,21,1029,1027,1024,18,11,10,23,8,,0.00,3,Niebla,61<br />
2014-5-25,21,12,4,11,7,5,100,74,35,1029,1027,1024,18,11,10,23,8,,0.00,3,Niebla,28<br />
2014-5-26,19,13,7,12,8,6,94,69,35,1030,1028,1025,14,11,10,26,10,,0.00,4,,52<br />
2014-5-27,17,13,9,12,10,8,100,83,63,1029,1028,1025,14,10,10,19,6,,0.00,5,,66<br />
2014-5-28,19,14,10,13,10,7,100,79,52,1029,1027,1024,18,11,8,21,8,,0.25,4,Niebla,62<br />
2014-5-29,18,14,11,12,10,8,94,75,49,1028,1026,1024,18,11,10,16,6,,0.00,5,Lluvia,8<br />
2014-5-30,20,14,9,13,11,8,100,79,36,1028,1026,1024,14,10,9,14,8,,2.03,4,Niebla-Lluvia,63<br />
2014-5-31,19,16,12,11,9,7,94,72,44,1028,1026,1024,18,11,10,26,10,,0.51,3,,87<br />
2014-6-1,18,14,11,11,9,8,94,69,43,1027,1026,1024,18,11,10,23,11,,0.00,4,,75<br />
2014-6-2,20,16,11,12,11,9,94,77,49,1027,1025,1021,18,11,5,23,8,,0.00,4,Lluvia,42<br />
2014-6-3,19,13,7,13,10,6,94,74,38,1027,1025,1023,18,11,10,19,8,,0.00,4,,258<br />
2014-6-4,19,14,11,11,9,8,94,70,41,1026,1025,1023,16,11,10,23,10,,0.00,4,,76<br />
2014-6-5,19,14,9,22,10,8,94,72,41,1026,1024,1012,18,11,10,29,10,,0.00,4,,60<br />
2014-6-6,17,14,11,12,11,9,94,80,46,1026,1025,1023,18,10,5,21,8,,6.10,4,Lluvia,50<br />
2014-6-7,17,14,12,13,11,9,94,83,70,1028,1026,1024,14,10,5,19,10,,1.02,5,Lluvia,54<br />
2014-6-8,18,14,10,12,11,9,94,81,55,1028,1026,1025,18,10,7,14,8,,2.03,4,Lluvia,63<br />
2014-6-9,19,14,9,11,9,7,94,72,40,1029,1027,1024,18,11,10,23,8,,0.00,4,,83<br />
2014-6-10,19,14,11,11,9,8,94,75,48,1029,1028,1026,18,11,10,29,13,,0.00,6,,76<br />
2014-6-11,19,13,8,10,9,7,94,71,45,1030,1028,1025,18,11,10,23,10,,0.00,4,,91<br />
2014-6-12,19,14,9,10,9,8,94,70,39,1029,1027,1026,18,12,10,23,10,,0.00,3,,91<br />
2014-6-13,19,14,9,11,9,8,100,71,46,1029,1027,1025,18,11,10,27,10,,800.10,5,Lluvia,90<br />
2014-6-14,19,14,9,12,10,8,94,80,49,1029,1027,1024,16,11,9,23,10,,1.02,3,Lluvia,70<br />
2014-6-15,18,13,9,10,9,6,94,70,48,1029,1027,1025,18,12,10,34,11,,0.00,3,,134<br />
2014-6-16,18,14,9,10,8,7,88,65,37,1029,1027,1025,18,11,10,29,11,,0.00,3,,105<br />
2014-6-17,17,13,10,11,8,6,94,69,42,1029,1027,1025,18,11,8,29,13,,0.00,4,Lluvia,94<br />
2014-6-18,18,13,9,11,8,6,88,69,44,1030,1028,1027,18,11,6,23,13,,0.25,4,Lluvia,76<br />
2014-6-19,18,14,9,11,9,7,94,72,43,1030,1028,1027,18,11,8,29,11,,0.00,5,Lluvia,121<br />
2014-6-20,18,13,8,10,9,7,100,73,45,1028,1027,1026,18,12,10,32,10,,0.00,4,Lluvia,126<br />
2014-6-21,18,13,9,12,10,8,94,76,49,1028,1027,1025,14,10,5,23,8,,5.08,4,Lluvia,99<br />
2014-6-22,16,13,11,13,11,9,94,84,70,1028,1027,1025,18,9,3,19,8,,2.03,4,Lluvia,64<br />
2014-6-23,17,13,9,12,10,8,100,78,45,1029,1028,1026,18,10,4,29,8,,0.76,5,Lluvia,103<br />
2014-6-24,18,14,11,13,11,9,100,81,54,1029,1028,1026,14,9,3,23,11,,0.25,5,Lluvia,49<br />
2014-6-25,16,13,11,12,10,7,94,80,63,1029,1027,1015,18,10,2,23,6,,4.06,5,Lluvia,66<br />
2014-6-26,17,13,9,11,8,5,87,70,38,1029,1028,1025,18,11,10,24,10,,0.25,4,,69<br />
2014-6-27,18,13,8,7,4,2,82,54,22,1030,1028,1025,18,10,6,27,10,,0.00,4,,84<br />
2014-6-28,17,13,9,11,9,6,94,79,49,1031,1029,1027,18,10,5,19,8,,0.51,4,Lluvia,7<br />
2014-6-29,18,14,10,10,9,7,94,72,42,1031,1029,1027,18,11,10,26,11,,0.00,4,,75<br />
2014-6-30,18,13,8,11,9,7,100,77,40,1029,1027,1025,18,11,10,19,8,,0.76,5,,57<br />
2014-7-1,18,13,9,12,11,8,100,82,49,1028,1027,1024,14,10,6,21,8,,2.03,4,Lluvia,17<br />
2014-7-2,20,15,10,11,9,7,94,70,38,1030,1027,1026,18,11,8,29,13,,0.00,4,,77<br />
2014-7-3,19,14,8,10,8,4,94,67,29,1030,1028,1026,18,11,10,26,8,,0.00,3,,79<br />
2014-7-4,19,14,8,12,9,7,93,75,39,1030,1028,1026,18,11,10,26,10,,0.00,5,Lluvia,60<br />
2014-7-5,19,14,10,11,9,8,94,71,40,1030,1028,1025,18,12,10,23,10,,0.00,5,,78<br />
2014-7-6,18,14,11,10,9,8,94,72,47,1029,1027,1025,18,12,10,27,10,,0.25,5,,94<br />
2014-7-7,16,12,9,12,10,8,100,82,63,1031,1028,1026,18,10,3,23,8,,3.05,5,Lluvia,91<br />
2014-7-8,17,13,10,11,9,7,94,74,44,1030,1029,1026,18,11,10,26,11,,0.00,6,,76<br />
2014-7-9,17,13,9,11,9,7,94,79,46,1030,1028,1026,18,10,5,21,8,,1.02,4,Lluvia,116<br />
2014-7-10,18,13,9,10,9,7,94,73,42,1029,1027,1025,18,11,10,26,11,,0.00,5,,78<br />
2014-7-11,18,13,9,11,9,8,94,70,39,1029,1027,1025,18,11,8,29,13,,0.76,4,Lluvia,103<br />
2014-7-12,18,14,11,11,9,8,88,72,46,1029,1027,1024,19,11,10,29,10,,0.51,4,,111<br />
2014-7-13,17,13,9,12,9,8,94,80,53,1029,1028,1026,14,10,5,34,10,37,6.10,4,Lluvia,81<br />
2014-7-14,16,13,10,10,9,7,100,77,50,1030,1028,1027,16,9,5,34,11,,0.51,6,Lluvia,100<br />
2014-7-15,17,13,9,12,9,7,100,78,59,1030,1029,1027,18,10,5,23,10,,2.03,4,Lluvia,134<br />
2014-7-16,17,13,10,11,9,7,89,73,50,1031,1029,1028,18,11,10,126,13,,0.00,4,,129<br />
2014-7-17,18,14,9,10,8,8,90,70,41,1031,1029,1027,16,11,10,27,16,,0.00,4,,112<br />
2014-7-18,17,14,11,10,7,6,88,63,37,1031,1029,1027,18,11,10,34,14,,0.00,5,,123<br />
2014-7-19,18,13,9,9,8,6,93,67,43,1030,1028,1026,18,10,3,40,13,45,0.00,5,Lluvia,125<br />
2014-7-20,18,13,9,10,8,7,94,71,44,1030,1028,1026,14,10,5,24,10,,0.00,5,Lluvia,116<br />
2014-7-21,17,13,9,10,8,7,88,68,40,1029,1028,1025,18,11,6,29,11,,0.25,4,Lluvia,86<br />
2014-7-22,18,14,10,10,9,6,94,71,42,1052,1028,1025,18,11,10,27,13,,0.00,4,Lluvia,86<br />
2014-7-23,19,14,9,11,9,7,94,73,43,1028,1027,1024,18,11,10,34,11,,0.00,5,Lluvia,95<br />
2014-7-24,17,13,9,13,9,7,94,73,43,1029,1027,1025,18,11,8,34,10,,0.25,5,,120<br />
2014-7-25,20,14,8,10,8,4,94,65,30,1029,1027,1024,18,11,6,34,11,,0.25,3,Lluvia,84<br />
2014-7-26,21,14,9,9,8,6,93,68,27,1029,1027,1025,18,11,8,23,11,,0.00,4,Lluvia,78<br />
2014-7-27,18,14,9,9,8,5,88,67,35,1030,1028,1027,19,12,10,35,11,,0.00,5,,97<br />
2014-7-28,20,15,10,9,7,2,94,61,29,1031,1029,1027,18,12,10,37,13,,0.00,4,,111<br />
2014-7-29,17,12,8,8,7,5,87,65,36,1031,1029,1027,18,11,10,34,14,,0.00,4,,112<br />
2014-7-30,18,13,8,9,8,7,94,70,41,1031,1029,1026,18,12,10,27,13,,0.00,3,,118<br />
2014-7-31,19,14,9,10,8,6,88,67,33,1030,1028,1025,18,11,10,29,11,,0.00,4,,92<br />
2014-8-1,18,13,8,9,8,7,93,70,38,1028,1027,1024,18,11,10,26,10,,0.00,4,,97<br />
2014-8-2,17,13,9,11,9,6,100,77,59,1029,1027,1026,10,10,9,42,11,,0.00,4,Lluvia,110<br />
2014-8-3,18,13,9,9,7,5,93,72,42,1029,1027,1016,10,10,10,37,11,,0.00,4,,86<br />
2014-8-4,21,13,5,16,6,3,93,68,33,1029,1028,1025,18,10,10,34,10,,0.00,3,,90<br />
2014-8-5,18,12,7,9,7,6,93,72,42,1030,1028,1027,16,10,10,27,8,,0.00,4,,75<br />
