
VET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-2-24,33,26,19,20,18,15,88,58,38,1015,1012,1010,19,14,10,,,,0.00,5,,-1<br />
2014-2-25,33,26,19,21,16,12,94,50,26,1015,1011,1008,19,14,10,,,,0.00,3,,-1<br />
2014-2-26,35,26,17,18,14,11,94,50,26,1014,1010,1006,10,10,10,,,,0.00,2,,-1<br />
2014-2-27,33,27,20,19,15,9,88,47,21,1015,1012,1008,19,14,10,,,,0.00,3,,-1<br />
2014-2-28,32,25,18,21,15,10,100,55,22,1015,1012,1009,19,14,10,,,,0.00,5,,-1<br />
2014-3-1,26,22,18,18,16,12,100,73,42,1014,1012,1011,19,13,10,,,,0.00,3,,-1<br />
2014-3-2,35,27,18,17,11,5,83,38,15,1014,1011,1008,,,,,,,0.00,2,,-1<br />
2014-3-3,34,26,18,19,15,11,83,54,26,1014,1012,1009,,,,,,,0.00,4,,-1<br />
2014-3-4,34,27,19,19,14,10,83,51,26,1014,1012,1009,19,14,10,,,,0.00,4,,-1<br />
2014-3-5,34,27,19,21,14,11,88,46,22,1015,1013,1010,19,16,10,,,,0.00,3,,-1<br />
2014-3-6,34,27,19,19,13,8,83,43,13,1015,1012,1008,19,14,10,,,,0.00,1,,-1<br />
2014-3-7,33,26,19,20,16,10,88,51,24,1015,1012,1008,19,17,10,,,,0.00,3,,-1<br />
2014-3-8,33,27,19,21,15,9,94,52,22,1016,1012,1008,19,14,10,,,,0.00,3,,-1<br />
2014-3-9,34,26,18,18,14,10,94,52,17,1016,1012,1008,19,14,10,,,,0.00,2,,-1<br />
2014-3-10,35,27,18,17,11,5,83,39,8,1014,1011,1008,19,16,10,,,,0.00,2,,-1<br />
2014-3-11,32,27,21,18,16,13,73,48,25,1013,1010,1007,19,16,10,,,,0.00,4,,-1<br />
2014-3-12,32,27,21,20,17,13,83,51,25,1014,1011,1007,19,16,10,,,,0.00,3,,-1<br />
2014-3-13,35,28,21,20,17,15,83,51,24,1014,1010,1007,19,14,10,,,,0.00,4,,-1<br />
2014-3-14,35,28,21,19,15,11,78,47,29,1014,1011,1007,10,10,10,,,,0.00,2,,-1<br />
2014-3-15,33,26,18,18,15,12,83,48,26,1014,1011,1008,19,16,10,,,,0.00,3,,-1<br />
2014-3-16,33,26,19,19,15,10,83,52,26,1013,1011,1008,19,16,10,,,,0.00,3,,-1<br />
2014-3-17,34,27,19,19,16,11,94,50,22,1013,1011,1008,19,14,10,,,,0.00,3,,-1<br />
2014-3-18,33,27,19,29,19,16,94,59,36,1015,1012,1008,19,14,10,,,,0.00,3,,-1<br />
2014-3-19,33,27,20,21,17,13,94,53,29,1016,1012,1009,19,19,19,,,,0.00,4,,-1<br />
2014-3-20,34,27,21,21,17,13,88,55,30,1014,1012,1009,,,,,,,0.00,2,,-1<br />
2014-3-21,34,27,21,21,17,11,88,52,24,1015,1013,1009,10,10,10,,,,0.00,3,,-1<br />
2014-3-22,35,28,20,20,16,9,88,47,12,1015,1012,1008,19,14,10,,,,0.00,2,,-1<br />
2014-3-23,34,27,21,20,14,9,83,46,20,1015,1012,1010,19,14,10,,,,0.00,2,,-1<br />
2014-3-24,35,28,21,29,16,4,89,51,14,1015,1012,1009,19,12,0,,,,0.00,2,,-1<br />
2014-3-25,34,27,21,20,14,8,94,47,16,1015,1012,1010,19,17,10,,,,0.00,3,,-1<br />
2014-3-26,38,29,20,21,15,11,94,46,13,1015,1012,1007,19,14,10,,,,0.00,1,,-1<br />
2014-3-27,33,26,18,20,17,15,94,54,24,1016,1013,1010,19,16,10,,,,0.00,6,,-1<br />
2014-3-28,35,28,20,21,18,13,94,59,30,1016,1014,1010,19,14,10,,,,0.00,4,,-1<br />
2014-3-29,33,26,19,20,15,8,88,52,21,1015,1012,1009,,,,,,,0.00,3,,-1<br />
2014-3-30,35,28,21,20,15,13,83,46,28,1013,1011,1009,,,,,,,0.00,4,,-1<br />
2014-3-31,34,26,18,20,14,8,88,50,23,1014,1011,1000,,,,,,,0.00,3,,-1<br />
2014-4-1,33,27,20,22,18,14,88,56,31,1015,1012,1008,19,17,10,,,,3.05,4,,-1<br />
2014-4-2,32,26,20,20,15,12,94,50,21,1015,1012,1011,19,13,10,,,,0.00,7,,-1<br />
2014-4-3,33,27,21,21,16,11,88,48,16,1015,1012,1008,19,17,10,,,,4.06,5,,-1<br />
2014-4-4,32,28,23,20,18,14,78,58,26,1015,1012,1010,19,16,10,,,,0.51,5,,-1<br />
2014-4-5,33,27,22,23,16,10,100,52,20,1015,1013,1009,19,14,10,,,,0.00,6,Lluvia,-1<br />
2014-4-6,35,28,22,21,14,6,88,44,16,1016,1013,1010,,,,,,,0.00,3,,-1<br />
2014-4-7,35,28,21,21,15,6,88,46,17,1016,1013,1010,,,,,,,0.00,3,,-1<br />
2014-4-8,35,28,21,21,14,7,88,47,13,1016,1013,1010,19,16,10,,,,0.00,4,,-1<br />
2014-4-9,35,28,21,21,15,6,83,52,17,1017,1015,1013,19,19,19,,,,0.00,3,,-1<br />
2014-4-10,33,27,20,23,14,6,100,49,12,1017,1014,1011,19,14,10,,,,0.00,2,,-1<br />
2014-4-11,35,28,21,20,14,10,83,46,14,1016,1013,1009,19,16,10,,,,0.00,3,,-1<br />
2014-4-12,34,26,18,19,15,13,83,48,21,1015,1012,1009,19,16,10,,,,0.00,2,,-1<br />
2014-4-13,33,27,21,21,17,13,88,51,28,1015,1012,1008,19,14,10,,,,0.00,5,,-1<br />
2014-4-14,34,27,21,22,17,13,89,49,21,1013,1010,1006,19,14,10,,,,0.00,3,,-1<br />
2014-4-15,34,29,24,19,17,15,69,50,30,1013,1010,1006,19,16,10,,,,0.00,3,,-1<br />
2014-4-16,31,26,22,23,19,16,100,64,45,1013,1011,1006,10,10,10,,,,0.00,5,,-1<br />
2014-4-17,33,27,22,19,14,11,83,42,20,1013,1010,1008,19,19,19,,,,0.00,4,,-1<br />
2014-4-18,31,26,20,19,17,13,88,56,33,1014,1012,1009,,,,,,,0.00,6,,-1<br />
2014-4-19,33,27,22,19,16,12,78,50,28,1015,1013,1011,,,,,,,0.00,5,,-1<br />
2014-4-20,34,28,22,19,17,14,88,52,30,1015,1013,1010,10,10,10,,,,0.00,4,,-1<br />
2014-4-21,33,28,23,20,17,14,74,49,35,1015,1013,1009,,,,,,,0.00,4,,-1<br />
2014-4-22,33,28,24,21,18,16,78,54,36,1015,1012,1009,,,,,,,0.00,4,,-1<br />
2014-4-23,34,28,23,22,17,11,89,52,26,1015,1012,1007,,,,,,,0.00,6,,-1<br />
2014-4-24,32,27,23,21,14,10,88,43,26,1016,1013,1011,,,,,,,0.00,4,,-1<br />
2014-4-25,34,27,21,20,15,4,73,46,14,1017,1012,1009,19,17,10,,,,0.00,4,,-1<br />
2014-4-26,34,27,20,20,14,10,88,46,18,1014,1012,1008,19,14,10,,,,0.00,4,,-1<br />
2014-4-27,35,29,23,24,15,10,89,43,14,1015,1011,1005,19,15,10,,,,0.00,2,,-1<br />
2014-4-28,35,28,21,24,13,9,89,39,12,1015,1012,1007,19,14,10,3,3,,0.00,4,,-1<br />
2014-4-29,36,29,22,22,18,15,83,52,25,1015,1012,1008,19,16,10,,,,0.00,5,,-1<br />
2014-4-30,34,28,23,21,18,12,83,52,24,1014,1011,1007,19,15,10,,,,0.00,4,,-1<br />
2014-5-1,35,29,22,20,15,9,88,44,18,1014,1011,1008,19,16,10,,,,0.00,3,,-1<br />
2014-5-2,35,28,22,19,15,10,73,47,20,1014,1012,1008,19,16,10,,,,0.00,3,,-1<br />
2014-5-3,34,29,26,17,12,9,54,32,22,1016,1013,1010,19,14,10,,,,0.00,4,,-1<br />
2014-5-4,34,27,20,19,16,13,78,50,27,1016,1013,1010,10,10,10,,,,0.00,4,,-1<br />
2014-5-5,34,28,22,23,19,18,88,60,39,1015,1011,1006,10,10,10,,,,0.00,2,,-1<br />
2014-5-6,34,29,24,23,16,13,74,46,30,1015,1012,1009,10,10,10,,,,0.00,3,,-1<br />
2014-5-7,34,29,24,20,14,6,69,42,17,1015,1013,1010,19,19,19,,,,0.00,3,Tormenta,-1<br />
2014-5-8,23,22,22,22,22,22,100,98,94,1012,1012,1012,,,,,,,0.00,4,,-1<br />
2014-5-9,31,27,23,21,19,17,88,60,43,1013,1011,1010,,,,,,,0.00,5,,-1<br />
2014-5-10,25,23,22,22,22,21,100,88,78,1016,1014,1012,,,,,,,0.00,6,,-1<br />
2014-5-11,32,26,21,23,22,21,100,73,55,1014,1012,1010,,,,,,,0.00,3,,-1<br />
2014-5-12,32,30,27,19,18,15,61,47,40,1014,1011,1010,,,,,,,0.00,5,,-1<br />
2014-5-13,33,28,23,21,19,18,88,55,41,1013,1011,1008,,,,,,,0.00,5,,-1<br />
2014-5-14,33,27,22,20,18,17,88,55,38,1014,1011,1009,,,,,,,0.00,3,,-1<br />
2014-5-15,32,27,22,20,18,16,88,56,38,1015,1012,1010,,,,,,,0.00,3,,-1<br />
2014-5-16,33,28,23,21,18,16,88,57,38,1013,1011,1009,10,10,10,,,,0.00,4,,-1<br />
2014-5-17,35,29,23,22,19,17,70,55,34,1013,1010,1008,,,,,,,0.00,4,,-1<br />
2014-5-18,35,29,23,21,19,17,88,54,34,1015,1012,1009,10,10,10,,,,0.00,3,,-1<br />
2014-5-19,34,28,23,20,18,16,83,51,34,1015,1012,1009,,,,,,,0.00,4,,-1<br />
2014-5-20,33,27,21,20,18,16,88,54,38,1015,1013,1009,,,,,,,0.00,4,,-1<br />
2014-5-21,33,29,25,21,18,15,78,52,34,1013,1011,1008,,,,,,,0.00,3,,-1<br />
2014-5-22,35,28,22,22,18,14,94,53,28,1016,1013,1010,,,,,,,0.00,3,,-1<br />
2014-5-23,35,28,20,22,18,12,100,61,25,1015,1013,1011,,,,,,,0.00,3,,-1<br />
2014-5-24,35,28,20,21,16,14,83,49,28,1016,1013,1010,,,,,,,0.00,2,,-1<br />
2014-5-25,35,28,20,19,17,14,83,52,28,1015,1013,1009,,,,,,,0.00,2,,-1<br />
2014-5-26,32,26,20,22,19,15,89,67,38,1015,1014,1012,19,19,19,,,,0.00,4,,-1<br />
2014-5-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2014-5-28,32,26,21,23,20,16,100,67,43,1016,1013,1012,19,14,10,,,,0.00,6,,-1<br />
2014-5-29,33,28,23,23,20,17,94,67,39,1015,1013,1009,19,14,10,,,,0.00,6,,-1<br />
2014-5-30,33,29,24,20,18,15,78,57,40,1014,1012,1009,19,14,10,,,,0.00,4,,-1<br />
2014-5-31,33,27,21,22,18,17,88,58,30,1014,1012,1009,19,19,19,,,,0.00,5,,-1<br />
2014-6-1,32,27,21,21,19,18,83,59,42,1014,1012,1009,19,16,10,,,,0.00,4,,-1<br />
2014-6-2,34,28,22,21,17,13,88,49,20,1014,1011,1009,19,16,10,,,,0.00,3,,-1<br />
2014-6-3,34,28,22,20,16,10,88,47,23,1013,1010,1008,10,10,10,,,,0.00,3,,-1<br />
2014-6-4,33,27,21,19,16,12,78,46,21,1014,1011,1006,19,16,10,,,,0.00,3,,-1<br />
2014-6-5,34,27,21,20,16,2,83,48,7,1013,1010,1001,19,19,19,,,,0.00,2,,-1<br />
2014-6-6,33,27,21,20,18,16,88,57,36,1013,1011,1008,19,19,19,,,,0.00,4,,-1<br />
2014-6-7,31,26,21,23,20,18,89,70,46,1014,1011,1008,19,14,10,,,,2.03,4,Lluvia,-1<br />
2014-6-8,32,27,21,22,20,18,94,64,35,1015,1013,1009,19,14,10,,,,0.00,5,,-1<br />
2014-6-9,33,30,27,20,18,17,62,47,37,1015,1011,1008,19,14,10,,,,0.00,4,,-1<br />
2014-6-10,33,27,21,20,19,17,83,57,36,1015,1012,1010,19,14,10,,,,0.00,6,,-1<br />
2014-6-11,31,29,26,22,20,19,74,56,39,1015,1013,1010,19,19,19,,,,0.00,6,,-1<br />
2014-6-12,24,,24,22,22,22,89,89,89,1015,1015,1015,,,,,,,0.00,8,,-1<br />
2014-6-13,,,,,,,,,,,,,10,10,10,,,,18.03,,,-1<br />
2014-6-14,27,,27,21,21,21,61,61,61,1017,1016,1015,19,19,19,,,,0.00,7,,-1<br />
2014-6-15,30,28,25,22,19,18,83,59,48,1018,1015,1013,,,,,,,0.00,6,Tormenta,-1<br />
2014-6-16,29,27,24,23,22,21,89,74,57,1015,1014,1013,10,10,10,,,,1.02,8,Lluvia,-1<br />
2014-6-17,27,24,22,22,21,20,88,70,62,1017,1015,1013,19,14,10,,,,0.00,4,,-1<br />
2014-6-18,32,27,23,22,20,17,94,68,42,1017,1015,1012,19,16,10,,,,0.00,3,,-1<br />
2014-6-19,31,26,21,23,20,19,94,66,42,1017,1015,1011,19,17,10,,,,3.05,5,Lluvia,-1<br />
2014-6-20,27,23,20,22,20,18,100,83,58,1018,1015,1013,19,16,10,,,,18.03,7,Lluvia-Granizo-Tormenta,-1<br />
2014-6-21,31,26,21,22,20,18,94,74,46,1016,1014,1013,19,19,19,,,,0.00,4,Lluvia,-1<br />
2014-6-22,30,26,22,23,22,20,94,76,52,1016,1014,1011,19,19,19,,,,0.00,6,,-1<br />
2014-6-23,31,27,22,22,21,18,89,69,37,1017,1015,1011,19,17,10,,,,0.00,5,,-1<br />
2014-6-24,32,29,26,21,19,18,74,62,47,1017,1014,1011,10,10,10,,,,0.00,2,,-1<br />
2014-6-25,32,27,23,23,20,17,83,62,40,1016,1013,1010,19,14,10,,,,0.00,4,,-1<br />
2014-6-26,32,26,20,21,19,17,94,66,40,1016,1013,1011,19,14,10,,,,0.00,5,,-1<br />
2014-6-27,33,27,20,22,19,17,100,65,31,1015,1013,1010,19,19,19,,,,0.00,3,,-1<br />
2014-6-28,26,,26,22,22,22,78,78,78,1014,1014,1014,,,,,,,0.00,3,,-1<br />
2014-7-1,30,28,26,20,18,16,69,51,35,1016,1014,1011,19,19,19,,,,0.00,6,,-1<br />
2014-7-2,32,27,23,22,18,15,83,60,36,1017,1015,1012,,,,,,,0.00,3,,-1<br />
2014-7-3,31,26,20,21,19,17,88,64,34,1018,1015,1012,19,13,10,,,,0.00,3,,-1<br />
2014-7-4,32,26,20,24,22,19,100,77,59,1018,1015,1013,19,14,10,,,,0.00,4,,-1<br />
2014-7-5,33,27,22,22,20,19,88,65,43,1017,1015,1012,,,,,,,0.00,3,,-1<br />
2014-7-6,33,28,23,20,17,14,83,48,31,1017,1013,1010,,,,,,,0.00,3,,-1<br />
2014-7-7,30,27,22,22,21,19,94,71,51,1020,1016,1013,,,,,,,0.00,7,Tormenta,-1<br />
2014-7-8,31,24,18,22,20,18,100,71,49,1017,1015,1013,,,,,,,0.00,3,,-1<br />
2014-7-9,31,26,21,22,21,18,94,75,46,1018,1015,1013,,,,,,,0.00,6,,-1<br />
2014-7-10,31,26,21,23,22,20,94,81,55,1016,1014,1011,,,,,,,0.00,6,Lluvia,-1<br />
2014-7-11,27,23,21,23,22,20,94,86,74,1016,1015,1014,,,,,,,0.00,7,Lluvia,-1<br />
2014-7-12,29,24,20,23,22,19,100,88,66,1017,1016,1014,,,,,,,0.00,6,,-1<br />
2014-7-13,31,26,20,22,19,16,100,66,40,1017,1016,1014,,,,,,,0.00,3,,-1<br />
2014-7-14,31,26,22,24,21,20,94,74,55,1017,1015,1012,,,,,,,0.00,4,,-1<br />
2014-7-15,29,26,23,23,21,20,94,75,58,1018,1015,1013,,,,,,,0.00,5,,-1<br />
2014-7-16,29,24,20,22,21,20,100,76,58,1018,1016,1014,,,,,,,0.00,6,Lluvia-Tormenta,-1<br />
2014-7-17,32,26,21,22,19,17,94,66,40,1018,1016,1014,,,,,,,0.00,5,Tormenta,-1<br />
2014-7-18,30,26,21,23,22,19,100,84,55,1019,1016,1014,,,,,,,0.00,5,Lluvia-Tormenta,-1<br />
2014-7-19,29,26,22,22,21,20,94,76,62,1017,1015,1013,,,,,,,0.00,5,,-1<br />
2014-7-20,30,26,22,23,22,21,94,78,66,1018,1016,1014,,,,,,,0.00,6,,-1<br />
2014-7-21,32,27,22,21,19,16,94,65,38,1018,1016,1013,,,,,,,0.00,4,,-1<br />
2014-7-22,31,26,22,23,20,17,94,66,32,1018,1015,1011,19,15,10,,,,0.00,4,Tormenta,-1<br />
2014-7-23,32,26,21,27,20,18,94,65,44,1016,1013,1009,19,13,10,,,,0.00,6,,-1<br />
2014-7-24,33,27,20,26,19,15,100,63,34,1017,1013,1010,19,14,10,,,,0.00,3,,-1<br />
2014-7-25,33,27,20,23,19,16,100,63,36,1016,1013,1010,10,10,10,,,,0.00,3,,-1<br />
2014-7-26,24,22,21,22,21,19,94,87,74,1015,1014,1012,19,14,10,,,,0.00,4,Lluvia,-1<br />
2014-7-29,31,28,24,21,17,14,83,50,31,1018,1015,1013,19,14,10,,,,0.00,4,,-1<br />
2014-7-30,26,23,21,23,21,20,100,86,74,1018,1016,1014,19,14,10,,,,0.00,6,Lluvia,-1<br />
2014-7-31,32,26,20,21,19,17,94,61,40,1016,1014,1010,10,10,10,,,,0.00,4,,-1<br />
2014-8-1,30,24,19,21,20,18,94,73,62,1014,1012,1010,10,10,10,,,,3.05,4,,-1<br />
2014-8-2,32,22,21,20,19,17,88,73,45,1015,1013,1011,19,14,10,,,,0.00,4,,-1<br />
2014-8-3,32,29,25,20,18,15,74,50,38,1016,1014,1011,19,14,10,,,,0.00,4,,-1<br />
2014-8-4,33,26,19,23,21,18,100,73,41,1016,1014,1012,19,19,19,,,,0.00,3,,-1<br />
2014-8-5,31,26,20,23,21,19,94,73,55,1017,1015,1013,19,13,10,119,119,,0.00,3,,-1<br />
2014-8-6,31,26,21,22,18,14,95,64,30,1017,1014,1011,19,15,10,,,,0.00,4,,-1<br />
2014-8-7,26,23,21,23,22,21,100,91,78,1016,1015,1013,19,19,19,,,,0.00,8,Lluvia,-1<br />
2014-8-8,28,24,21,23,22,20,100,80,62,1017,1015,1012,19,16,10,,,,16.00,6,Lluvia,-1<br />
2014-8-9,31,24,18,21,19,17,100,64,43,1015,1012,1010,19,13,10,,,,0.00,5,,-1<br />
2014-8-10,32,26,19,22,20,18,94,70,43,1016,1013,1010,19,16,10,,,,0.00,5,,-1<br />
2014-8-11,31,26,20,20,19,18,100,74,46,1014,1014,1012,,,,,,,0.00,4,,-1<br />
2014-8-12,32,27,22,23,22,21,94,74,54,1016,1014,1012,19,14,10,,,,0.00,5,Tormenta,-1<br />
2014-8-13,30,26,21,21,17,12,100,60,29,1016,1014,1011,19,16,10,,,,0.25,4,Granizo-Tormenta,-1<br />
2014-8-14,29,26,21,23,21,20,100,82,55,1016,1014,1012,19,14,8,,,,7.11,6,Lluvia,-1<br />
2014-8-15,26,22,20,21,21,21,100,91,74,1017,1015,1013,19,13,10,,,,0.00,2,,-1<br />
2014-8-16,31,27,21,24,23,21,100,81,55,1017,1015,1012,19,19,19,,,,0.00,7,,-1<br />
2014-8-17,38,30,22,21,21,19,95,76,53,1018,1016,1013,19,14,10,,,,6.10,5,,-1<br />
2014-8-18,32,26,19,22,21,18,100,74,35,1016,1014,1011,19,16,10,,,,4.06,4,Tormenta,-1<br />
2014-8-19,31,26,21,22,21,21,97,74,55,1015,1014,1011,19,12,10,0,0,,0.00,3,,-1<br />
2014-8-20,31,27,22,22,20,17,94,65,43,1017,1014,1010,19,16,10,,,,0.00,5,,-1<br />
2014-8-21,31,26,21,24,22,20,94,79,62,1015,1013,1010,19,14,10,,,,0.00,6,,-1<br />
2014-8-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2014-8-26,29,27,24,22,21,19,89,71,55,1017,1015,1012,19,14,10,,,,0.00,6,,-1<br />
2014-8-27,30,26,21,26,22,20,100,85,55,1015,1013,1008,19,16,10,,,,14.99,5,Lluvia,-1<br />
2014-8-28,31,26,22,23,22,20,94,77,58,1016,1013,1011,19,16,10,,,,0.00,4,,-1<br />
2014-8-29,32,27,21,21,17,13,94,58,27,1017,1015,1012,19,14,10,,,,0.00,4,,-1<br />
2014-8-30,32,27,22,21,16,12,94,55,29,1015,1013,1012,10,10,10,,,,0.00,3,,-1<br />
2014-8-31,31,25,19,23,22,19,94,73,42,1016,1014,1012,19,16,10,,,,2.03,4,,-1<br />
2014-9-1,29,25,21,23,21,19,94,73,51,1016,1014,1012,19,16,10,,,,0.00,4,,-1<br />
2014-9-2,31,26,20,22,21,20,100,77,55,1015,1012,1009,19,14,10,,,,1.02,5,Tormenta,-1<br />
2014-9-3,29,24,20,23,21,20,100,86,62,1015,1013,1012,14,11,8,,,,7.87,6,Lluvia-Granizo-Tormenta,-1<br />
2014-9-4,31,26,20,23,21,20,100,76,52,1015,1014,1011,19,13,10,,,,0.00,3,,-1<br />
2014-9-5,30,26,22,23,22,21,94,72,61,1015,1013,1011,19,19,19,,,,0.00,5,,-1<br />
2014-9-6,31,28,25,23,22,21,83,73,55,1016,1014,1011,,,,,,,0.00,5,,-1<br />
2014-9-7,30,26,21,22,21,19,100,74,51,1016,1014,1012,,,,,,,0.00,4,,-1<br />
