
CLST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-7-29,21,14,9,10,8,7,87,65,33,1023,1020,1018,10,7,3,13,8,,0.00,6,,227<br />
2014-7-30,16,13,10,10,9,8,82,74,52,1021,1019,1017,10,7,5,19,8,,0.00,6,,194<br />
2014-7-31,13,11,9,10,9,8,94,85,71,1022,1020,1019,8,4,2,11,5,,0.00,7,,9<br />
2014-8-1,24,14,6,9,6,4,93,65,18,1021,1017,1012,10,5,1,16,6,,0.00,2,Niebla,345<br />
2014-8-2,17,11,6,10,8,6,100,79,52,1020,1017,1015,10,7,0,23,8,,0.00,5,Niebla,157<br />
2014-8-3,16,13,9,9,7,4,94,72,40,1023,1021,1018,10,9,6,24,8,,0.00,6,,179<br />
2014-8-4,16,8,1,6,3,0,87,68,36,1021,1017,1013,10,9,6,11,6,,0.00,6,,36<br />
2014-8-5,18,9,1,5,3,0,87,63,22,1022,1019,1016,10,8,5,23,6,,0.00,0,,206<br />
2014-8-6,12,8,4,5,3,1,87,72,43,1031,1027,1021,10,9,6,21,8,,5.08,6,Lluvia,108<br />
2014-8-7,17,8,-1,4,1,-2,93,70,22,1029,1022,1017,10,5,0,8,5,,0.00,0,Niebla,355<br />
2014-8-8,23,11,0,7,2,-1,87,63,20,1019,1016,1014,10,7,3,19,8,,0.00,0,,115<br />
2014-8-9,16,8,1,8,4,1,93,77,50,1022,1019,1017,8,6,2,24,8,,0.00,0,Niebla,174<br />
2014-8-10,12,8,4,7,6,0,97,82,59,1023,1021,1018,8,3,0,11,6,,0.00,7,Niebla,212<br />
2014-8-11,16,12,8,7,6,3,87,69,43,1026,1023,1021,10,6,5,19,8,,0.00,4,,182<br />
2014-8-12,16,8,1,5,0,-7,93,58,11,1027,1024,1022,10,7,2,23,8,,0.00,0,,172<br />
2014-8-13,23,11,-2,1,-2,-7,81,47,6,1024,1017,1012,10,9,6,8,5,,0.00,0,,351<br />
2014-8-14,20,11,2,7,2,-4,88,60,22,1020,1015,1011,19,8,5,24,6,,0.51,8,Lluvia,173<br />
2014-8-15,23,13,3,7,4,0,100,69,23,1021,1018,1016,10,4,0,14,8,,0.00,4,Niebla,167<br />
2014-8-16,26,15,4,6,3,0,81,51,13,1021,1019,1015,10,7,5,13,5,,0.00,2,,319<br />
2014-8-17,29,17,5,5,3,1,76,47,8,1021,1017,1012,10,7,5,16,6,,0.00,0,,335<br />
2014-8-18,29,18,6,9,4,1,77,50,9,1014,1012,1008,10,10,10,23,6,,0.00,,,172<br />
