
BOT,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-18,13,9,5,7,5,3,100,81,56,1040,1038,1035,19,8,0,26,11,,5.08,6,Niebla-Lluvia-Tormenta,107<br />
2014-1-19,13,8,4,6,4,3,100,79,44,1039,1037,1035,19,10,3,26,6,,0.00,6,Niebla-Tormenta,93<br />
2014-1-20,16,9,3,6,4,0,94,75,35,1038,1036,1033,19,9,0,21,8,,0.00,6,Niebla,89<br />
2014-1-21,17,10,3,7,5,2,100,72,29,1038,1035,1032,19,9,0,26,8,47,4.06,6,Niebla-Lluvia-Tormenta,124<br />
2014-1-22,14,8,3,7,4,2,100,80,39,1038,1036,1033,19,9,3,26,14,,0.51,6,Niebla-Lluvia-Granizo-Tormenta,107<br />
2014-1-23,13,9,5,6,4,4,93,79,50,1037,1035,1032,19,9,3,19,6,,9.91,6,Niebla-Lluvia-Tormenta,348<br />
2014-1-24,16,10,5,6,3,1,93,67,36,1036,1034,1030,19,11,6,27,10,42,0.00,6,Lluvia-Tormenta,277<br />
2014-1-25,11,8,4,6,1,-5,93,65,32,1035,1032,1010,14,10,3,23,10,,3.05,7,Niebla-Lluvia,200<br />
2014-1-26,13,9,4,6,4,3,100,75,47,1035,1033,1030,19,8,3,19,8,,0.00,6,Niebla-Lluvia-Tormenta,116<br />
2014-1-27,13,9,5,6,6,4,93,83,53,1036,1034,1032,14,7,3,27,11,,2.03,6,Niebla-Lluvia-Tormenta,108<br />
2014-1-28,12,9,5,7,5,3,95,82,53,1036,1034,1032,14,7,3,14,8,,0.00,6,Niebla-Lluvia-Tormenta,81<br />
2014-1-29,11,8,4,7,5,3,100,86,65,1035,1033,1032,10,6,1,21,13,,2.03,6,Niebla-Lluvia-Tormenta,96<br />
2014-1-30,12,8,4,8,6,4,100,87,70,1036,1035,1033,10,6,1,19,8,,1.02,6,Niebla-Lluvia-Tormenta,82<br />
2014-1-31,11,8,4,6,5,4,100,85,61,1037,1035,1033,14,7,3,24,11,,2.03,6,Niebla-Lluvia-Tormenta,227<br />
2014-2-1,12,9,5,6,5,4,93,85,63,1037,1035,1032,14,6,1,23,11,37,8.89,6,Niebla-Lluvia-Tormenta,101<br />
2014-2-2,16,10,3,7,4,-2,93,68,30,1037,1034,1030,19,11,1,26,11,,1.02,5,Niebla-Lluvia-Tormenta,299<br />
2014-2-3,15,8,0,1,-4,-8,70,38,13,1036,1032,1007,19,12,10,23,6,,0.00,5,,249<br />
2014-2-4,16,9,2,12,-3,-12,93,44,12,1036,1033,1024,19,11,3,29,10,,0.00,6,Niebla,150<br />
2014-2-5,12,9,5,6,4,2,93,76,51,1036,1034,1033,19,9,3,23,13,,0.76,6,Niebla-Tormenta,101<br />
2014-2-6,10,8,5,6,4,0,93,82,64,1036,1034,1031,14,7,3,19,10,,0.25,6,Niebla-Lluvia,76<br />
2014-2-7,13,8,3,7,4,3,93,78,45,1036,1035,1033,19,10,2,19,8,,0.25,6,Niebla-Lluvia-Tormenta,97<br />
2014-2-8,14,9,4,7,5,3,100,78,39,1036,1034,1031,19,8,3,21,6,,1.02,5,Niebla-Lluvia-Tormenta,89<br />
2014-2-9,16,10,3,6,3,0,93,67,25,1036,1034,1031,19,11,3,21,10,,0.25,6,Niebla-Lluvia-Tormenta,109<br />
2014-2-10,13,9,4,6,4,3,100,77,46,1037,1035,1033,19,10,1,24,13,,0.25,6,Niebla-Lluvia-Tormenta,107<br />
2014-2-11,14,10,6,7,6,4,100,80,42,1036,1035,1033,19,8,2,23,11,,2.03,6,Niebla-Lluvia-Tormenta,116<br />
2014-2-12,16,10,4,7,4,3,100,75,42,1037,1034,1031,19,9,1,26,10,48,7.11,6,Niebla-Lluvia-Tormenta,114<br />
2014-2-13,14,9,3,7,4,2,95,73,39,1037,1034,1032,19,11,2,23,11,,0.00,6,Niebla-Lluvia-Tormenta,118<br />
2014-2-14,13,9,6,6,4,3,93,76,42,1038,1036,1034,19,8,3,26,14,47,0.00,6,Niebla-Tormenta,102<br />
2014-2-15,14,8,2,5,3,1,100,74,36,1039,1037,1034,19,9,1,21,10,39,0.00,4,Niebla,94<br />
2014-2-16,16,10,4,7,4,1,100,75,34,1038,1036,1032,19,9,3,26,10,40,0.51,6,Niebla-Lluvia-Tormenta,108<br />
2014-2-17,13,8,3,6,5,3,100,77,50,1037,1035,1032,14,8,3,16,10,,0.00,5,Niebla-Lluvia-Tormenta,81<br />
2014-2-18,13,9,5,7,6,4,100,80,46,1036,1035,1032,19,8,3,21,13,,0.51,6,Niebla-Lluvia-Tormenta,105<br />
2014-2-19,14,10,5,7,5,2,100,73,31,1036,1034,1032,14,8,3,19,11,,0.00,6,Niebla-Tormenta,77<br />
2014-2-20,13,9,6,7,6,4,100,81,55,1036,1034,1032,19,9,3,23,13,,3.05,6,Niebla-Lluvia-Granizo-Tormenta,102<br />
2014-2-21,15,9,3,6,5,0,100,75,39,1037,1035,1033,19,8,1,24,10,,0.00,5,Niebla-Tormenta,94<br />
2014-2-22,16,10,4,6,4,3,93,69,29,1038,1036,1033,19,10,3,24,11,,0.25,4,Niebla-Tormenta,90<br />
2014-2-23,17,10,4,23,5,3,100,72,37,1038,1035,1010,19,9,3,26,10,,0.00,6,Niebla-Lluvia-Tormenta,99<br />
2014-2-24,19,11,3,6,2,-3,93,61,15,1038,1036,1033,19,9,3,26,10,,0.00,6,Niebla,103<br />
2014-2-25,18,11,4,5,4,1,93,64,21,1038,1036,1033,19,11,4,23,10,,0.00,5,Niebla,111<br />
2014-2-26,17,11,5,6,4,-1,93,64,25,1039,1037,1035,19,10,3,24,13,42,0.00,6,Niebla-Tormenta,95<br />
2014-2-27,15,9,4,5,3,0,100,67,31,1040,1038,1035,19,10,3,26,8,,0.00,6,Niebla-Tormenta,303<br />
2014-2-28,19,9,0,7,2,-8,100,65,9,1039,1036,1033,19,10,1,21,8,,0.00,3,Niebla,88<br />
2014-3-1,18,11,4,5,2,0,100,60,19,1038,1036,1034,19,10,4,27,10,,2.03,5,Niebla-Lluvia-Tormenta,347<br />
2014-3-2,18,9,1,5,1,-1,87,55,21,1036,1034,1032,19,11,8,32,11,53,1.02,4,Lluvia-Tormenta,11<br />
2014-3-3,14,8,1,5,3,-2,93,67,24,1036,1034,1031,19,11,3,19,8,,0.00,6,Niebla,91<br />
2014-3-4,17,9,1,5,3,1,100,68,25,1037,1034,1032,19,8,3,23,10,66,0.00,6,Niebla,102<br />
2014-3-5,17,9,2,6,3,1,100,68,26,1039,1037,1035,19,9,2,21,10,,0.76,4,Niebla-Lluvia-Tormenta,110<br />
2014-3-6,16,11,6,6,4,2,93,66,29,1040,1038,1035,19,9,3,24,10,,0.00,6,Niebla-Tormenta,97<br />
2014-3-7,17,9,2,6,4,2,93,65,32,1040,1037,1034,19,10,3,24,8,,5.08,5,Niebla-Lluvia-Granizo-Tormenta,98<br />
2014-3-8,17,10,4,7,4,-2,93,70,38,1040,1038,1034,19,10,4,23,11,37,0.00,5,Niebla-Lluvia-Tormenta,93<br />
2014-3-9,18,10,2,6,3,-2,100,63,22,1039,1037,1034,19,10,3,27,11,,2.03,4,Niebla-Lluvia-Tormenta,337<br />
2014-3-10,18,10,2,6,2,-4,87,58,18,1038,1036,1033,19,12,10,24,11,,0.00,5,Tormenta,34<br />
2014-3-11,17,9,1,6,3,-1,100,70,37,1037,1035,1032,19,10,1,27,10,47,2.03,6,Niebla-Lluvia-Granizo-Tormenta,56<br />
2014-3-12,14,8,3,8,4,-2,100,79,31,1038,1035,1033,19,7,1,16,10,,3.05,6,Niebla-Lluvia-Granizo-Tormenta,97<br />
2014-3-13,14,8,3,6,4,1,100,74,35,1039,1037,1035,19,9,3,16,10,,0.00,5,Niebla-Tormenta,81<br />
2014-3-14,15,9,3,6,4,2,100,73,33,1038,1036,1034,19,8,1,21,8,,1.02,5,Niebla-Lluvia-Tormenta,56<br />
2014-3-15,16,9,3,7,5,2,100,79,33,1036,1035,1033,19,10,3,23,10,,7.87,5,Niebla-Lluvia-Tormenta,78<br />
2014-3-16,17,10,3,7,4,1,100,71,23,1037,1034,1030,19,10,3,27,8,52,17.02,6,Niebla-Lluvia-Tormenta,72<br />
2014-3-17,13,8,3,6,4,2,95,80,52,1037,1035,1033,19,11,4,23,11,37,4.06,5,Niebla-Lluvia-Tormenta,323<br />
2014-3-18,12,8,3,6,4,2,100,82,51,1038,1036,1034,19,9,4,23,8,40,3.05,6,Niebla-Lluvia-Tormenta,46<br />
2014-3-19,16,10,4,7,4,2,100,73,31,1038,1035,1032,19,9,3,16,8,,0.00,6,Niebla-Tormenta,290<br />
2014-3-20,15,9,4,7,4,1,93,68,43,1037,1035,1032,19,11,4,23,8,,2.03,6,Niebla-Lluvia-Tormenta,285<br />
2014-3-21,17,10,4,6,3,-3,93,65,22,1039,1035,1013,19,9,3,19,10,,0.00,6,Niebla,94<br />
2014-3-22,12,8,4,6,5,3,96,81,47,1041,1039,1038,19,8,3,19,11,,0.00,6,Niebla,93<br />
2014-3-23,15,9,3,5,4,1,100,75,38,1041,1039,1036,19,8,1,23,8,,3.05,5,Niebla-Lluvia-Tormenta,91<br />
2014-3-24,17,10,2,6,4,1,100,71,24,1039,1037,1034,19,10,2,26,8,,0.00,4,Niebla-Tormenta,99<br />
2014-3-25,14,9,4,6,5,1,100,80,41,1039,1037,1035,19,8,1,23,11,,0.51,5,Niebla-Lluvia-Tormenta,77<br />
2014-3-26,11,8,4,6,5,4,100,84,58,1040,1038,1034,14,7,3,23,13,,7.11,6,Niebla-Lluvia-Tormenta,83<br />
2014-3-27,12,8,4,6,5,3,97,81,48,1039,1036,1033,14,8,3,23,11,,6.10,5,Niebla-Lluvia-Granizo-Tormenta,104<br />
2014-3-28,16,10,4,6,3,-3,100,73,26,1037,1034,1030,19,10,4,24,11,,0.00,5,Niebla-Lluvia-Granizo-Tormenta,294<br />
2014-3-29,14,6,-2,24,-4,-11,94,48,11,1036,1033,1011,19,12,10,29,10,50,0.00,2,,285<br />
2014-3-30,14,6,-2,-4,-7,-11,69,35,10,1037,1034,1032,19,12,10,29,10,,0.00,1,,290<br />
2014-3-31,15,7,-1,2,-3,-8,76,47,22,1038,1036,1034,19,12,10,16,6,,0.00,6,,78<br />
2014-4-1,13,7,1,5,3,1,100,78,43,1041,1039,1037,19,9,3,26,11,,2.03,5,Niebla-Lluvia,85<br />
2014-4-2,15,9,3,4,3,1,100,70,35,1042,1040,1037,19,10,3,16,10,,0.00,4,Niebla,91<br />
2014-4-3,16,9,3,5,3,2,93,70,31,1041,1039,1036,19,9,3,21,11,,0.00,2,Niebla,91<br />
2014-4-4,17,10,3,5,3,-1,95,67,24,1043,1039,1037,19,10,3,32,13,47,6.10,5,Niebla-Lluvia-Tormenta,79<br />
2014-4-5,15,9,2,5,3,-1,100,70,27,1042,1040,1037,19,9,3,26,11,,0.00,6,Niebla,88<br />
2014-4-6,17,9,1,5,3,0,93,67,27,1041,1039,1036,19,11,3,16,10,,0.00,3,Niebla,75<br />
2014-4-7,16,8,1,6,3,1,100,67,25,1041,1038,1036,14,9,0,14,8,,2.03,5,Niebla-Lluvia-Tormenta,58<br />
2014-4-8,17,9,1,5,3,1,93,61,28,1040,1038,1036,19,12,10,19,8,,0.00,6,Tormenta,291<br />
2014-4-9,17,8,-1,6,1,-2,93,61,27,1040,1038,1034,19,12,10,19,6,45,2.03,5,Lluvia-Granizo-Tormenta,315<br />
2014-4-10,14,8,2,5,3,1,93,69,29,1039,1037,1034,19,11,8,27,10,,0.25,5,Lluvia-Tormenta,104<br />
2014-4-11,16,9,1,4,2,-5,93,64,17,1039,1036,1034,19,11,10,24,11,,0.00,4,,335<br />
2014-4-12,17,8,-1,2,0,-3,93,61,17,1039,1037,1035,19,12,10,23,8,40,0.00,3,,80<br />
2014-4-13,12,8,3,6,4,2,100,81,51,1040,1038,1036,19,8,3,14,8,,0.00,6,Niebla,92<br />
2014-4-14,17,11,4,6,5,4,100,72,37,1039,1037,1034,19,8,2,19,13,,0.00,5,Niebla-Tormenta,94<br />
2014-4-15,15,10,5,5,4,0,93,72,36,1039,1037,1034,19,8,3,16,10,,0.00,5,Niebla-Tormenta,80<br />
2014-4-16,19,9,-1,6,2,-2,100,65,20,1039,1036,1033,19,10,2,19,10,,0.25,4,Niebla-Lluvia-Tormenta,5<br />
2014-4-17,16,9,1,6,3,-1,97,70,28,1038,1036,1034,19,11,3,21,8,,1.02,6,Niebla-Lluvia-Tormenta,19<br />
2014-4-18,13,8,3,6,3,-3,96,71,38,1039,1036,1034,19,10,3,37,11,55,0.00,6,Niebla-Lluvia-Tormenta,80<br />
2014-4-19,15,7,-2,5,1,-3,93,66,26,1040,1038,1036,19,11,3,19,8,,0.00,6,Niebla-Tormenta,61<br />
2014-4-20,14,7,0,5,3,1,100,77,46,1041,1039,1036,19,9,3,34,11,,6.10,6,Niebla-Lluvia-Tormenta,90<br />
2014-4-21,13,8,2,4,2,-2,100,72,31,1040,1038,1035,19,11,3,19,8,,0.51,6,Niebla-Lluvia-Tormenta,61<br />
2014-4-22,14,6,-2,5,2,-2,93,74,38,1039,1037,1034,19,10,3,26,8,,0.51,4,Niebla-Lluvia-Tormenta,70<br />
2014-4-23,11,7,2,5,3,2,100,82,54,1040,1038,1036,19,8,3,27,11,,5.08,6,Niebla-Lluvia-Granizo-Tormenta,98<br />
2014-4-24,15,9,3,4,3,-3,100,73,19,1041,1038,1036,19,8,2,21,8,,0.00,4,Niebla,2<br />
2014-4-25,16,8,1,5,0,-3,100,60,18,1040,1038,1034,19,9,3,23,10,35,0.00,3,Niebla,278<br />
2014-4-26,15,7,-1,2,-3,-10,100,48,14,1039,1037,1034,19,11,3,21,6,47,0.00,5,Niebla,289<br />
2014-4-27,16,6,-3,-5,-9,-12,65,31,7,1040,1037,1034,19,12,10,21,8,,0.00,1,,301<br />
2014-4-28,16,6,-4,1,-5,-9,81,44,12,1039,1037,1034,19,12,10,19,8,,0.00,1,,72<br />
2014-4-29,15,7,-1,5,1,-7,93,65,13,1038,1036,1032,19,9,3,23,11,,0.00,3,Niebla,74<br />
2014-4-30,15,10,4,3,1,-8,81,52,22,1036,1035,1033,19,12,10,29,18,50,0.00,6,Lluvia,307<br />
2014-5-1,16,7,-2,-5,-11,-18,69,30,4,1038,1035,1033,19,12,10,26,8,47,0.00,4,,312<br />
2014-5-2,17,6,-5,0,-7,-11,80,44,8,1039,1037,1035,19,12,10,19,8,,0.00,4,,159<br />
2014-5-3,16,7,-2,3,-1,-6,100,60,12,1041,1038,1036,19,10,3,16,10,,0.00,4,Niebla,83<br />
2014-5-4,18,8,-1,4,-1,-5,100,60,13,1042,1039,1036,19,11,1,14,8,,0.00,6,Niebla,72<br />
2014-5-5,17,9,1,2,-6,-12,87,40,6,1040,1038,1035,19,12,10,13,8,,0.00,5,,267<br />
2014-5-6,17,7,-3,-3,-9,-12,61,29,7,1040,1038,1035,19,12,10,14,10,,0.00,5,,330<br />
2014-5-7,16,7,-3,3,-6,-15,100,47,6,1041,1039,1036,19,10,3,23,10,34,0.00,3,Niebla,109<br />
2014-5-8,14,6,-2,2,-3,-15,100,56,9,1042,1040,1037,19,10,3,19,10,,0.00,2,Niebla,100<br />
2014-5-9,16,6,-4,2,-2,-7,100,60,10,1041,1038,1036,19,10,3,23,11,,0.00,3,Niebla,95<br />
2014-5-10,15,5,-5,0,-4,-9,93,52,10,1039,1037,1034,19,11,3,19,8,,0.00,3,Niebla,80<br />
2014-5-11,14,6,-2,3,0,-5,93,63,22,1038,1036,1033,19,10,3,26,10,48,2.03,4,Niebla,50<br />
2014-5-12,13,8,2,5,3,0,100,78,41,1038,1035,1033,19,9,2,19,10,,8.89,6,Niebla-Lluvia-Tormenta,126<br />
2014-5-13,13,7,0,4,1,-3,100,78,27,1038,1036,1033,19,7,0,32,13,50,5.08,6,Niebla-Lluvia-Nieve,196<br />
2014-5-14,15,8,0,4,0,-8,100,67,11,1039,1037,1034,19,9,0,27,11,48,0.00,2,Niebla,340<br />
2014-5-15,15,7,-1,1,-3,-7,100,56,12,1040,1037,1035,19,11,0,23,8,,0.00,2,Niebla,359<br />
2014-5-16,16,6,-3,1,-5,-10,94,47,11,1039,1035,1013,19,12,10,27,10,,0.00,4,,281<br />
2014-5-17,15,6,-3,0,-8,-14,87,37,6,1039,1037,1035,19,12,10,14,8,,0.00,6,,360<br />
2014-5-18,13,6,-1,2,1,-1,100,71,29,1039,1038,1036,19,9,3,19,10,,0.00,7,Niebla,95<br />
2014-5-19,16,7,-2,2,-1,-6,100,67,14,1040,1038,1035,19,8,0,19,10,,0.00,5,Niebla,27<br />
2014-5-20,16,7,-2,4,-3,-13,100,53,13,1039,1037,1034,19,10,0,27,11,40,0.00,3,Niebla,43<br />
2014-5-21,15,7,-1,2,-7,-11,87,33,11,1037,1035,1032,19,12,10,32,11,52,0.00,3,,331<br />
2014-5-22,13,7,1,4,1,-3,100,67,23,1035,1033,1030,19,9,3,26,10,48,0.00,5,Niebla,29<br />
2014-5-23,12,7,1,2,1,-2,100,66,29,1036,1034,1031,19,11,3,37,16,64,6.10,6,Lluvia-Nieve-Tormenta,305<br />
2014-5-24,12,6,-1,2,-4,-14,100,58,8,1037,1035,1033,19,11,3,37,14,66,0.00,6,Niebla,300<br />
2014-5-25,14,8,1,-10,-13,-18,41,23,4,1038,1036,1034,19,12,10,29,19,48,0.00,6,,313<br />
2014-5-26,15,3,-8,-7,-11,-17,74,31,4,1040,1038,1036,19,12,10,13,10,,0.00,2,,345<br />
2014-5-27,16,6,-4,-6,-10,-14,69,32,5,1042,1039,1036,19,12,10,13,8,,0.00,3,,335<br />
2014-5-28,17,6,-5,-5,-9,-14,68,36,5,1041,1038,1035,19,12,10,14,6,,0.00,2,,340<br />
2014-5-29,16,7,-2,-1,-9,-15,87,38,5,1039,1036,1034,19,12,10,21,10,42,0.00,1,,333<br />
2014-5-30,16,7,-2,-2,-7,-12,87,38,8,1038,1035,1033,19,12,10,34,13,52,0.00,2,,319<br />
2014-5-31,15,4,-6,-1,-10,-15,75,32,7,1038,1035,1010,19,12,10,29,11,45,0.00,,,323<br />
2014-6-1,16,7,-3,0,-8,-13,93,38,8,1038,1036,1034,19,12,10,23,10,40,0.00,,,344<br />
2014-6-2,16,7,-3,-2,-13,-18,87,25,4,1038,1036,1034,19,12,10,24,11,,0.00,,,319<br />
2014-6-3,16,6,-4,-11,-16,-26,32,17,4,1038,1036,1033,19,12,10,14,6,37,0.00,,,286<br />
2014-6-4,16,4,-7,-11,-18,-27,27,14,4,1038,1036,1033,19,12,10,23,10,,0.00,,,319<br />
2014-6-5,16,7,-3,-8,-13,-16,47,21,5,1038,1036,1034,19,12,10,24,11,37,0.00,,,324<br />
2014-6-6,16,6,-4,-11,-15,-18,33,17,4,1038,1036,1034,19,12,10,24,13,42,0.00,1,,326<br />
2014-6-7,17,7,-4,-8,-15,-21,40,19,4,1037,1035,1032,19,12,10,32,11,53,0.00,,,310<br />
2014-6-8,16,6,-4,2,-12,-19,87,27,4,1038,1035,1032,19,12,10,29,13,55,0.00,1,,314<br />
2014-6-9,16,6,-5,1,-4,-12,100,64,9,1039,1037,1035,19,10,0,19,8,37,0.00,1,Niebla-Tormenta,39<br />
2014-6-10,14,6,-2,4,2,-3,100,79,39,1040,1038,1036,14,6,0,24,8,,0.00,4,Niebla-Tormenta,96<br />
2014-6-11,17,7,-3,2,-3,-11,81,51,7,1039,1037,1035,19,12,10,27,11,,0.00,5,,314<br />
2014-6-12,15,7,-2,-5,-11,-18,65,30,6,1039,1037,1035,19,12,10,26,10,42,0.00,6,,335<br />
2014-6-13,16,5,-6,-2,-13,-18,81,28,4,1040,1038,1037,19,12,10,14,10,,0.00,1,,347<br />
2014-6-14,16,6,-4,2,-4,-15,96,54,5,1041,1039,1037,19,10,3,14,10,,0.00,4,Niebla,92<br />
2014-6-15,15,4,-6,-1,-5,-10,93,52,11,1041,1039,1037,19,11,10,14,8,,0.00,6,,74<br />
2014-6-16,14,3,-7,1,-4,-10,94,60,17,1041,1038,1037,19,9,3,19,11,,0.00,3,Niebla,89<br />
2014-6-17,14,3,-7,0,-4,-9,93,61,12,1040,1038,1036,19,9,3,16,10,,0.00,2,Niebla,40<br />
2014-6-18,13,3,-7,2,-3,-9,93,60,26,1041,1040,1038,19,9,1,24,10,,0.00,2,Niebla,82<br />
2014-6-19,13,3,-6,0,-3,-9,100,64,14,1042,1040,1038,14,9,3,21,13,,0.00,4,Niebla,86<br />
2014-6-20,16,6,-5,-1,-7,-12,80,41,7,1040,1038,1036,19,12,10,26,11,42,0.00,2,,338<br />
2014-6-21,16,6,-4,1,-7,-13,76,38,7,1040,1037,1034,19,11,10,24,11,50,0.25,3,Lluvia,332<br />
2014-6-22,15,4,-7,0,-7,-16,80,40,4,1041,1038,1036,19,12,10,27,10,47,0.00,2,,315<br />
2014-6-23,16,6,-4,-1,-8,-11,75,33,9,1041,1039,1038,19,11,8,21,10,40,0.00,3,,331<br />
2014-6-24,15,6,-3,2,-4,-9,93,48,15,1042,1039,1037,14,10,4,26,10,45,0.00,6,,325<br />
2014-6-25,16,4,-6,2,-4,-8,93,46,10,1039,1037,1034,19,11,8,27,10,50,0.00,5,,335<br />
2014-6-26,14,7,-2,-1,-7,-13,75,38,9,1039,1036,1033,19,12,10,32,11,52,0.00,6,,321<br />
2014-6-27,14,5,-4,0,-6,-15,93,49,10,1038,1036,1034,19,12,4,29,11,53,0.00,6,Niebla,326<br />
2014-6-28,14,6,-3,4,-3,-12,93,56,13,1040,1038,1036,19,10,1,27,11,61,0.00,6,Niebla,329<br />
2014-6-29,16,6,-4,3,-9,-14,93,39,6,1040,1038,1036,19,11,3,24,11,35,0.00,6,Niebla,324<br />
2014-6-30,16,6,-4,-10,-17,-23,31,17,4,1040,1037,1034,19,12,10,24,11,42,0.00,2,,333<br />
2014-7-1,16,6,-3,-8,-13,-21,47,24,4,1038,1036,1034,19,12,10,26,11,45,0.00,6,,305<br />
2014-7-2,16,6,-3,-3,-11,-16,70,26,7,1038,1036,1034,19,12,10,29,11,48,0.00,3,,318<br />
2014-7-3,16,8,-1,0,-8,-14,81,36,10,1039,1037,1035,19,12,10,24,10,42,0.00,4,,337<br />
2014-7-4,14,7,-2,2,-2,-8,93,65,12,1039,1037,1035,19,9,1,34,13,52,0.00,6,Niebla,47<br />
2014-7-5,14,7,-2,1,-8,-17,93,37,5,1039,1037,1035,19,12,3,37,14,61,0.00,6,Niebla,310<br />
2014-7-6,14,4,-6,0,-12,-20,93,30,7,1040,1038,1035,19,12,10,26,13,45,0.00,6,,322<br />
2014-7-7,15,4,-7,2,-4,-12,95,57,10,1041,1039,1036,19,10,1,24,10,35,0.00,6,Niebla,350<br />
2014-7-8,16,6,-4,3,-1,-7,93,66,13,1041,1038,1036,19,8,3,23,11,39,0.00,4,Niebla,65<br />
2014-7-9,17,7,-3,3,-2,-12,93,62,7,1039,1037,1034,19,8,3,24,13,45,0.00,3,Niebla,52<br />
2014-7-10,15,5,-5,3,-4,-12,95,58,7,1039,1037,1035,19,9,2,21,11,39,0.00,1,Niebla,38<br />
2014-7-11,16,4,-7,1,-9,-13,93,36,6,1039,1037,1035,19,11,3,19,10,37,0.00,1,Niebla,1<br />
2014-7-12,16,7,-1,-4,-7,-9,56,36,13,1040,1038,1036,19,11,10,16,8,,0.00,2,,16<br />
2014-7-13,16,6,-5,-5,-11,-17,64,31,5,1041,1040,1038,19,12,10,19,8,,0.00,1,,60<br />
2014-7-14,16,6,-6,-7,-14,-19,40,22,4,1043,1040,1038,19,12,10,13,8,,0.00,2,,313<br />
2014-7-15,16,6,-4,-7,-11,-19,51,27,4,1043,1041,1038,19,12,10,24,10,52,0.00,2,,346<br />
2014-7-16,14,6,-2,-5,-10,-13,60,29,11,1042,1039,1015,19,11,10,24,11,45,0.00,5,,331<br />
2014-7-17,14,6,-3,-1,-7,-11,70,38,9,1042,1040,1038,19,12,10,21,10,39,0.00,6,Tormenta,340<br />
2014-7-18,13,4,-5,2,-3,-9,94,61,14,1041,1040,1036,19,10,1,26,13,45,2.03,5,Niebla-Lluvia-Nieve-Tormenta,76<br />
2014-7-19,13,6,-2,1,-2,-8,93,66,18,1041,1039,1036,19,9,3,26,11,47,0.00,5,Niebla-Nieve,81<br />
2014-7-20,11,3,-3,1,-2,-4,87,68,30,1041,1038,1036,19,11,8,21,8,,0.00,6,Tormenta,10<br />
