
UYST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-3-2,23,19,15,17,15,14,94,73,55,1018,1016,1014,19,10,3,24,8,,0.00,5,Niebla,112<br />
2014-3-3,23,19,15,18,16,13,83,72,54,1020,1018,1015,19,11,10,35,13,47,0.00,6,,96<br />
2014-3-4,25,22,19,21,19,16,100,88,73,1017,1011,1008,10,8,2,29,16,37,6.10,6,Lluvia-Tormenta,80<br />
2014-3-5,25,21,16,22,18,14,100,85,64,1010,1009,1008,10,9,5,29,13,,0.00,6,,324<br />
2014-3-6,23,20,16,19,17,14,94,81,65,1015,1012,1010,10,9,3,27,8,,0.00,3,Tormenta,205<br />
2014-3-7,22,18,13,15,13,11,94,69,41,1016,1015,1014,19,11,10,19,6,,0.00,2,,186<br />
2014-3-8,26,18,10,17,14,9,94,76,47,1016,1015,1012,10,10,10,16,5,,0.00,1,,56<br />
2014-3-9,25,19,13,17,15,13,94,71,46,1013,1011,1009,10,10,10,14,10,,0.00,6,,33<br />
2014-3-10,22,19,17,18,14,11,100,73,46,1013,1010,1009,10,10,8,185,19,48,1.02,6,Lluvia,178<br />
2014-3-11,25,18,12,14,11,7,94,66,29,1015,1013,1012,10,10,10,185,23,,0.00,1,,91<br />
2014-3-12,28,21,13,18,13,10,88,61,26,1018,1016,1015,10,10,10,19,10,,0.00,,,17<br />
2014-3-13,26,20,14,20,15,11,88,69,42,1020,1017,1016,10,10,10,26,13,,0.00,1,,51<br />
2014-3-14,28,22,17,22,19,16,94,77,55,1016,1007,995,10,9,3,45,21,47,5.08,6,Lluvia,49<br />
2014-3-15,24,21,17,20,16,15,94,77,52,1010,1002,994,19,10,3,42,26,76,0.00,6,Lluvia,275<br />
2014-3-16,28,21,14,19,15,12,88,68,36,1010,1007,1003,10,10,10,27,13,47,0.00,6,,30<br />
2014-3-17,24,21,18,20,14,8,100,68,29,1013,1007,1003,10,9,3,32,13,,0.00,4,,264<br />
2014-3-18,20,18,16,11,9,7,68,57,42,1019,1018,1015,10,10,10,32,21,,0.00,4,,171<br />
2014-3-19,21,17,13,14,12,8,88,70,50,1019,1016,1014,10,10,10,24,14,,0.00,7,,73<br />
2014-3-20,22,18,13,15,13,11,88,73,53,1014,1008,1002,10,10,10,16,6,,0.00,4,,315<br />
2014-3-21,19,17,14,16,12,6,94,74,39,1016,1007,1002,19,10,3,27,16,47,0.00,4,Lluvia,280<br />
2014-3-22,17,13,10,8,6,5,67,53,35,1023,1021,1018,10,10,10,34,19,,0.00,4,,234<br />
2014-3-23,23,16,7,17,7,4,88,57,22,1023,1019,1017,19,12,10,19,10,,0.00,,,346<br />
2014-3-24,25,17,9,16,11,8,87,69,37,1020,1018,1017,10,10,10,16,10,,0.00,,,60<br />
2014-3-25,22,17,12,19,17,11,94,83,69,1024,1022,1020,10,10,10,27,8,,0.00,4,,127<br />
2014-3-26,27,22,18,19,18,17,94,78,44,1024,1023,1020,10,10,10,26,16,,0.00,4,,98<br />
2014-3-27,27,22,17,20,18,16,88,75,54,1022,1017,1013,10,10,10,32,13,39,20.07,6,,57<br />
2014-3-28,25,22,19,22,20,19,99,87,65,1014,1012,1010,10,7,0,16,11,,0.00,6,Lluvia-Tormenta,92<br />
2014-3-29,28,22,17,21,18,16,100,85,50,1012,1010,1007,19,10,0,24,6,,0.00,,Niebla,34<br />
2014-3-30,24,21,18,23,20,16,94,87,74,1010,1003,1000,19,8,1,27,19,47,9.91,8,Lluvia-Tormenta,342<br />
2014-3-31,21,19,17,17,13,10,88,68,51,1022,1017,1011,19,11,10,24,19,37,0.00,4,Lluvia,150<br />
2014-4-1,22,19,16,17,15,13,94,71,60,1026,1025,1022,10,10,8,34,18,40,0.00,2,,111<br />
2014-4-2,23,21,19,18,16,15,83,75,65,1026,1024,1022,10,10,10,29,23,,0.00,4,,102<br />
2014-4-3,28,23,18,19,17,14,88,71,42,1022,1020,1016,10,10,10,27,18,,0.00,7,,65<br />
2014-4-4,27,23,19,21,19,18,94,78,61,1019,1016,1014,10,10,10,21,13,,0.00,4,,74<br />
2014-4-5,24,22,21,23,21,19,100,92,77,1016,1015,1014,10,8,1,19,3,,0.51,7,Lluvia-Tormenta,123<br />
2014-4-6,24,22,20,21,21,19,100,90,78,1016,1015,1014,10,7,3,26,14,,0.00,8,,101<br />
2014-4-7,24,22,20,22,21,19,100,87,79,1014,1011,1006,10,10,10,34,13,,0.00,8,Lluvia,80<br />
2014-4-8,24,20,16,22,19,14,100,90,76,1007,1004,1002,10,8,3,42,23,55,7.11,7,Lluvia-Tormenta,340<br />
2014-4-9,22,18,14,14,13,12,88,75,47,1011,1007,1005,10,10,10,34,18,,0.00,6,,310<br />
2014-4-10,23,17,11,16,13,11,96,79,37,1017,1014,1011,10,10,10,14,5,,0.00,5,,8<br />
2014-4-11,21,18,15,17,14,11,94,79,62,1019,1014,1007,19,9,2,24,10,,32.00,7,Lluvia,127<br />
2014-4-12,18,13,9,17,11,3,94,75,42,1014,1006,1001,10,8,1,48,26,76,0.76,7,Lluvia,230<br />
2014-4-13,18,13,9,13,11,7,94,77,56,1020,1015,1009,19,8,3,39,26,61,7.87,6,Lluvia,249<br />
2014-4-14,18,14,10,12,10,7,94,78,45,1023,1021,1020,19,9,3,16,8,,0.00,6,Niebla-Lluvia,311<br />
2014-4-15,21,14,8,11,9,7,93,72,32,1021,1018,1015,19,11,3,24,8,,0.00,,Niebla,354<br />
2014-4-16,23,17,10,17,13,9,100,81,42,1015,1014,1012,19,8,0,21,10,,0.00,1,Niebla,21<br />
2014-4-17,25,18,11,16,13,11,100,77,39,1015,1013,1012,19,7,1,19,8,,0.00,6,Niebla,326<br />
2014-4-18,18,15,12,14,11,9,82,68,48,1015,1015,1013,10,10,10,24,11,,0.00,4,,141<br />
2014-4-19,20,14,8,13,9,8,100,76,39,1021,1018,1015,10,9,3,19,3,,0.00,3,,168<br />
2014-4-20,20,16,12,13,12,10,100,78,45,1022,1021,1017,10,10,10,14,8,,0.00,4,Niebla-Lluvia,62<br />
2014-4-21,21,16,11,14,12,9,94,74,54,1020,1017,1016,10,10,10,23,13,,0.00,4,,277<br />
2014-4-22,17,13,9,9,7,-3,87,61,15,1022,1021,1020,10,10,8,23,13,,0.00,4,,162<br />
2014-4-23,19,13,6,11,8,-1,100,72,39,1022,1021,1020,10,8,3,11,3,,0.00,,,93<br />
2014-4-24,19,14,9,15,11,8,100,85,49,1023,1022,1021,10,9,3,16,3,,0.00,4,,161<br />
2014-4-25,17,14,11,11,8,1,88,65,41,1024,1023,1022,19,11,10,16,13,,0.00,2,,133<br />
2014-4-26,19,12,6,12,9,7,100,78,55,1024,1022,1020,10,7,3,29,8,,0.00,2,Niebla,78<br />
2014-4-27,22,17,11,12,11,9,88,65,37,1023,1021,1019,19,12,10,27,18,47,0.00,6,,63<br />
2014-4-28,22,19,15,17,14,11,94,76,59,1021,1019,1017,10,10,10,23,13,,0.00,4,,48<br />
2014-4-29,20,17,14,18,17,15,100,93,77,1018,1016,1015,10,7,3,26,5,,4.06,6,Lluvia-Tormenta,119<br />
2014-4-30,20,18,16,18,17,15,100,93,81,1016,1010,1005,10,6,0,16,11,,0.51,6,Niebla-Lluvia,109<br />
2014-5-1,17,14,12,16,14,11,100,88,74,1010,1006,1003,10,7,0,32,11,42,0.00,7,Niebla-Lluvia,245<br />
2014-5-2,22,16,9,14,12,9,100,78,47,1016,1014,1011,10,9,5,16,10,,0.00,,,339<br />
2014-5-3,19,16,12,16,13,11,100,85,68,1016,1015,1013,10,8,3,14,8,,0.00,8,,7<br />
2014-5-4,20,17,14,18,16,15,100,93,76,1017,1014,1013,10,6,0,16,5,,0.00,6,Niebla,161<br />
2014-5-5,21,16,12,17,15,13,100,90,76,1018,1017,1016,10,8,0,14,5,,0.00,5,Niebla,121<br />
2014-5-6,20,18,16,18,16,15,100,87,73,1018,1016,1015,10,9,3,14,8,,0.00,5,,155<br />
2014-5-7,20,16,12,17,14,12,100,93,71,1020,1018,1017,10,3,0,14,3,,0.00,5,Niebla,347<br />
2014-5-8,18,16,13,16,13,11,100,87,59,1020,1017,1016,10,5,0,23,11,,0.00,7,Niebla-Lluvia,229<br />
2014-5-9,18,16,14,15,12,10,94,79,59,1023,1021,1019,19,9,3,27,18,,1.02,6,Lluvia,120<br />
2014-5-10,21,14,7,13,10,8,100,74,45,1024,1023,1021,19,12,10,21,6,,0.00,8,Niebla,59<br />
2014-5-11,19,16,13,15,13,10,94,81,61,1023,1020,1018,10,10,10,19,11,,1.02,8,Lluvia,49<br />
2014-5-12,17,16,15,17,16,15,100,95,88,1019,1015,1014,10,7,2,11,3,,3.05,8,Lluvia,83<br />
2014-5-13,18,15,12,16,14,12,100,95,69,1016,1015,1014,10,4,0,13,3,,0.00,6,Niebla,311<br />
2014-5-14,21,16,10,15,13,10,100,84,61,1017,1015,1014,10,7,1,26,10,,0.00,8,,348<br />
2014-5-15,19,16,13,18,13,6,100,86,58,1018,1015,1014,10,9,3,45,14,64,0.00,6,Lluvia-Tormenta,287<br />
2014-5-16,15,11,7,10,7,5,93,64,40,1020,1018,1015,19,11,4,16,11,,2.03,5,Lluvia-Tormenta,122<br />
2014-5-17,15,12,9,13,8,1,100,76,27,1018,1016,1014,10,9,3,24,10,,0.00,6,Lluvia,290<br />
2014-5-18,15,12,9,9,8,4,93,71,47,1019,1017,1016,10,10,8,21,14,,0.00,5,,241<br />
2014-5-19,15,11,8,12,9,8,100,90,71,1021,1020,1018,10,7,1,11,5,,0.00,6,Niebla-Lluvia,264<br />
2014-5-20,16,11,6,11,9,0,100,90,54,1020,1019,1016,10,5,0,16,3,,3.05,6,Niebla-Lluvia,78<br />
2014-5-21,15,13,11,15,11,8,100,88,67,1017,1009,1003,19,8,2,35,14,,14.99,8,Lluvia,88<br />
2014-5-22,15,13,11,14,11,5,100,83,58,1021,1010,1003,10,7,1,37,21,60,1.02,6,Lluvia,228<br />
2014-5-23,12,9,4,8,6,3,93,73,55,1026,1023,1021,10,10,5,34,23,47,0.00,5,Lluvia,247<br />
2014-5-24,15,9,3,8,6,3,100,80,52,1023,1021,1019,19,11,10,24,11,40,0.00,2,,309<br />
2014-5-25,17,11,4,9,6,2,93,77,46,1019,1017,1016,10,9,3,23,10,,0.00,2,,328<br />
2014-5-26,16,10,5,12,8,4,100,86,66,1021,1018,1015,19,7,1,11,6,,0.00,3,Niebla,335<br />
2014-5-27,16,9,2,10,7,2,100,90,63,1024,1022,1021,10,3,0,11,0,,0.00,4,Niebla,210<br />
2014-5-28,17,9,1,12,6,1,100,86,42,1024,1022,1020,10,2,0,16,3,,0.00,4,Niebla,20<br />
2014-5-29,19,13,8,11,8,6,93,71,30,1020,1017,1014,10,10,10,37,16,55,0.00,,,25<br />
2014-5-30,16,13,11,14,11,7,100,80,64,1017,1016,1015,10,7,3,23,14,,0.51,8,Lluvia,8<br />
2014-5-31,15,13,12,14,13,12,100,96,83,1015,1013,1011,10,7,2,23,8,,0.25,7,Lluvia,164<br />
2014-6-1,17,13,8,18,9,6,94,78,45,1014,1012,1007,10,9,3,23,16,,0.00,7,,248<br />
2014-6-2,19,12,6,11,7,0,100,77,37,1016,1015,1013,10,8,1,21,10,,0.00,,Niebla,303<br />
2014-6-3,19,12,5,9,7,3,93,67,31,1015,1013,1011,19,11,10,19,10,,0.00,,,21<br />
2014-6-4,17,13,10,11,7,4,82,64,34,1012,1008,1005,19,11,6,32,14,,0.00,6,,18<br />
2014-6-5,15,13,11,13,11,8,100,84,63,1014,1010,1007,10,7,0,32,10,,0.00,6,Niebla-Lluvia,170<br />
2014-6-6,15,9,3,10,7,3,100,84,49,1015,1013,1012,19,5,0,16,3,,0.00,6,Niebla,63<br />
2014-6-7,16,11,7,13,9,3,94,79,54,1012,1008,1005,10,7,1,26,13,40,4.06,7,Lluvia,38<br />
2014-6-8,17,11,5,10,6,1,100,70,34,1015,1012,1008,10,10,10,24,13,,0.00,2,,310<br />
2014-6-9,17,12,7,6,3,2,71,57,33,1023,1019,1015,10,8,0,32,16,,0.00,8,,321<br />
2014-6-10,20,12,5,9,6,2,93,67,30,1024,1022,1019,19,11,10,23,11,,0.00,,,26<br />
2014-6-11,18,14,11,15,10,6,100,75,55,1019,1014,1010,19,9,2,27,19,47,9.91,7,Lluvia-Tormenta,33<br />
2014-6-12,25,19,14,17,15,13,100,79,51,1011,1006,1000,10,6,1,40,24,74,19.05,8,Lluvia-Tormenta,4<br />
2014-6-13,14,11,7,14,8,5,100,78,59,1027,1019,1009,19,10,2,32,21,39,0.00,6,Lluvia,235<br />
2014-6-14,14,8,3,7,5,3,100,78,49,1030,1028,1024,10,7,1,14,5,,0.00,2,Niebla,91<br />
2014-6-15,17,10,2,12,7,2,100,80,54,1028,1024,1020,10,10,10,14,8,,1.02,7,Niebla,50<br />
2014-6-16,14,10,6,12,11,5,94,88,72,1023,1021,1017,19,7,0,27,10,47,0.00,7,Niebla-Lluvia,264<br />
2014-6-17,13,8,3,11,6,3,100,85,52,1027,1023,1021,10,5,0,21,6,,0.00,6,Niebla,274<br />
2014-6-18,11,8,6,5,3,-3,71,58,27,1031,1029,1027,10,10,10,27,16,,0.00,4,,224<br />
2014-6-19,13,8,3,5,3,1,93,72,39,1031,1029,1025,10,10,8,19,10,,0.00,3,,316<br />
2014-6-20,16,9,2,4,2,0,93,67,24,1026,1023,1021,19,12,3,16,10,,0.00,,,346<br />
2014-6-21,17,11,4,6,3,2,87,64,31,1022,1020,1018,19,13,10,23,11,,0.00,,,21<br />
2014-6-22,18,13,9,13,10,7,94,80,58,1019,1016,1014,10,8,3,23,16,37,0.00,,,18<br />
2014-6-23,16,13,11,15,13,11,100,95,87,1016,1014,1013,10,5,0,11,5,,7.87,8,Niebla-Lluvia-Tormenta,9<br />
2014-6-24,12,10,7,12,10,8,100,96,82,1019,1017,1015,10,2,0,16,6,,0.00,7,Niebla,196<br />
2014-6-25,13,11,8,10,9,8,100,92,76,1019,1018,1017,10,4,0,21,8,,0.00,7,Niebla,132<br />
2014-6-26,14,9,4,12,8,3,100,87,59,1023,1020,1018,10,6,0,14,6,,0.00,4,Niebla,146<br />
2014-6-27,13,8,4,9,8,3,100,91,66,1028,1026,1023,19,5,0,14,5,,0.00,5,Niebla,167<br />
2014-6-28,11,6,1,10,6,0,100,97,80,1030,1029,1027,10,3,0,14,3,,0.00,4,Niebla,156<br />
2014-6-29,14,11,8,11,10,8,100,91,70,1028,1023,1019,10,10,10,26,13,,0.00,5,,169<br />
2014-6-30,13,12,11,11,10,9,100,89,78,1020,1017,1016,10,9,3,26,19,,0.00,6,,200<br />
2014-7-1,12,10,8,9,7,6,88,79,66,1018,1017,1016,10,10,10,13,6,,0.00,7,,248<br />
2014-7-2,13,10,7,10,7,4,100,80,50,1018,1016,1014,19,10,4,21,8,,0.00,6,Niebla,52<br />
2014-7-3,18,12,7,11,9,7,100,85,38,1018,1016,1015,10,6,0,16,6,,0.00,,Niebla,213<br />
2014-7-4,13,10,7,12,11,6,100,95,82,1018,1016,1014,10,4,0,24,14,,0.00,7,Niebla-Lluvia,119<br />
2014-7-5,17,14,11,17,14,1,100,96,39,1014,1006,1001,10,3,0,32,16,60,24.89,8,Niebla-Lluvia,11<br />
2014-7-6,11,8,6,9,6,3,100,80,51,1019,1012,1008,19,8,1,47,27,69,0.00,6,Lluvia,312<br />
2014-7-7,14,10,6,9,6,3,93,77,50,1027,1021,1016,10,10,10,29,18,,0.00,6,,303<br />
2014-7-8,13,11,8,9,7,5,94,75,54,1031,1029,1027,10,10,10,21,13,,0.00,3,,101<br />
2014-7-9,14,9,5,10,8,4,100,89,72,1028,1027,1026,10,9,3,21,6,,0.00,4,Niebla,107<br />
2014-7-10,13,11,8,10,9,8,94,86,74,1030,1029,1027,10,10,10,21,13,,0.00,6,,108<br />
2014-7-11,18,12,6,13,9,6,100,82,55,1028,1026,1024,10,10,10,23,10,,0.00,1,,58<br />
2014-7-12,18,14,11,15,12,9,94,79,59,1025,1022,1019,10,9,2,29,18,47,20.07,7,Lluvia,53<br />
2014-7-13,20,17,12,16,14,12,100,92,66,1022,1019,1018,10,6,0,27,16,47,7.11,6,Niebla-Lluvia,37<br />
2014-7-14,22,16,10,17,13,9,100,91,74,1020,1018,1014,10,4,0,26,6,,0.00,3,Niebla,52<br />
2014-7-15,18,16,13,17,16,13,100,89,71,1016,1013,1012,10,5,1,29,23,52,11.94,7,Lluvia-Tormenta,360<br />
2014-7-16,14,12,10,13,11,10,100,90,75,1020,1018,1017,10,9,3,19,11,,0.00,6,Niebla,161<br />
2014-7-17,14,12,11,10,9,9,88,81,69,1021,1020,1018,10,10,10,26,14,,0.00,6,,164<br />
2014-7-18,14,10,7,11,8,6,100,88,60,1023,1022,1020,10,7,0,26,10,,0.00,5,Niebla,269<br />
2014-7-19,19,12,5,10,7,4,100,79,39,1022,1020,1019,10,6,2,23,8,,0.00,,,319<br />
2014-7-20,21,14,8,9,8,7,93,70,30,1020,1019,1017,10,9,3,21,11,,0.00,,,350<br />
2014-7-21,22,14,8,15,9,6,93,70,37,1017,1015,1012,10,10,10,19,14,,0.00,5,Tormenta,8<br />
2014-7-22,14,12,11,13,12,11,100,92,79,1012,1009,1007,10,6,1,24,8,,25.91,7,Lluvia-Tormenta,121<br />
2014-7-23,13,11,9,13,9,5,100,82,65,1017,1014,1010,10,9,2,32,21,50,0.00,7,,176<br />
2014-7-24,13,9,5,4,2,-1,81,59,40,1022,1020,1018,10,9,3,37,24,,0.00,3,,205<br />
2014-7-25,14,8,1,2,-1,-3,81,58,21,1021,1019,1017,10,10,10,26,13,47,0.00,,,323<br />
2014-7-26,10,7,2,4,1,-3,81,64,40,1027,1022,1017,10,10,3,29,16,,0.00,5,,261<br />
2014-7-27,11,6,0,2,-1,-4,87,66,26,1030,1028,1027,10,5,2,13,5,,0.00,,,25<br />
2014-7-28,14,8,2,7,2,-1,87,65,33,1029,1027,1024,10,10,10,24,13,,0.00,,,50<br />
2014-7-29,19,13,8,15,11,4,94,75,52,1024,1020,1017,10,10,8,29,19,,0.25,7,Tormenta,15<br />
2014-7-30,18,14,11,16,11,6,100,79,41,1021,1019,1018,10,5,1,14,10,,0.00,8,Lluvia-Tormenta,229<br />
2014-7-31,22,16,11,16,12,7,100,85,67,1019,1014,1010,10,7,1,27,11,,3.05,7,Lluvia,51<br />
2014-8-1,20,17,14,16,15,13,100,93,68,1013,1012,1010,8,3,0,14,5,,0.00,7,Niebla-Lluvia,340<br />
2014-8-2,23,18,12,20,16,12,100,93,71,1012,1006,1001,10,4,0,27,11,,14.99,7,Niebla-Lluvia-Tormenta,9<br />
2014-8-3,20,17,13,16,13,8,100,83,34,1011,1006,1003,10,3,0,14,8,,0.00,7,Niebla-Lluvia-Tormenta,173<br />
2014-8-4,16,12,6,9,4,-2,81,56,20,1025,1020,1012,10,10,10,27,14,50,0.00,8,,248<br />
2014-8-5,17,10,3,5,2,0,87,63,21,1025,1023,1018,10,9,3,27,11,,0.00,,,12<br />
2014-8-6,16,12,7,12,7,2,94,69,47,1019,1013,1010,10,7,3,27,16,39,0.00,8,Lluvia,348<br />
2014-8-7,16,12,8,10,6,1,88,66,26,1028,1021,1014,10,9,8,34,21,,0.00,8,,228<br />
2014-8-8,17,10,4,9,4,0,100,72,27,1029,1027,1025,10,6,3,19,3,,0.00,,,276<br />
