
CST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-2-2,25,17,8,6,2,-5,66,41,15,1026,1021,1005,16,11,8,14,5,,0.00,0,,75<br />
2014-2-3,24,17,9,5,3,-1,71,43,20,1026,1020,1002,19,12,6,23,8,,0.00,0,,123<br />
2014-2-4,26,17,9,4,1,-8,66,38,10,1025,1019,1002,19,14,11,24,6,,0.00,0,,112<br />
2014-2-5,24,17,10,7,4,2,62,44,25,1027,1020,1005,19,11,8,27,6,,0.00,1,,82<br />
2014-2-6,24,16,8,8,6,-2,93,56,18,1028,1022,1006,16,10,6,23,8,,0.00,1,,67<br />
2014-2-7,23,17,11,8,5,2,67,49,27,1028,1023,1006,19,10,8,39,8,,6.35,2,Lluvia,41<br />
2014-2-8,24,17,10,7,3,-2,71,44,19,1029,1023,1007,19,13,10,29,6,,0.00,2,,17<br />
2014-2-9,24,16,7,2,-3,-10,53,30,10,1029,1023,1007,24,18,13,26,6,,0.00,0,,23<br />
2014-2-10,24,16,8,-1,-4,-8,46,29,11,1028,1022,1007,24,15,10,34,8,,0.00,0,,50<br />
2014-2-11,23,16,9,9,1,-4,72,40,20,1026,1021,1005,19,13,6,37,8,55,27.94,3,Lluvia-Tormenta,117<br />
2014-2-12,23,16,9,8,3,-7,87,50,13,1028,1022,1006,19,12,6,23,5,,0.00,1,,47<br />
2014-2-13,24,16,7,3,-2,-15,57,35,7,1028,1022,1007,19,14,10,19,6,,0.00,0,,73<br />
2014-2-14,24,16,8,3,-2,-7,51,34,15,1029,1023,1007,16,13,10,21,6,,0.00,0,,45<br />
2014-2-15,24,17,9,-1,-6,-12,50,25,9,1031,1025,1010,24,15,8,29,8,,0.00,1,,27<br />
2014-2-16,25,16,6,6,-7,-18,76,26,5,1030,1025,1009,24,18,13,19,8,,0.00,0,,63<br />
2014-2-17,25,16,7,14,-6,-12,53,26,8,1029,1024,1006,24,16,11,29,8,,0.00,0,,32<br />
2014-2-18,25,16,7,1,-6,-11,37,24,9,1028,1023,1005,24,14,10,16,6,,0.00,0,,49<br />
2014-2-19,26,17,9,3,-2,-8,50,31,10,1026,1020,1003,14,11,10,24,6,,0.00,0,,67<br />
2014-2-20,26,18,11,4,3,1,58,39,21,1025,1019,1002,19,12,8,26,6,,0.00,3,,86<br />
2014-2-21,24,18,13,8,4,1,63,41,24,1028,1021,1004,19,12,10,19,10,37,0.00,3,,331<br />
2014-2-22,23,17,10,8,5,2,76,51,25,1027,1021,1006,16,10,6,23,8,,0.00,3,,97<br />
2014-2-23,24,17,11,6,4,1,62,42,22,1028,1022,1006,19,12,8,16,8,,0.00,4,,69<br />
2014-2-24,25,18,11,7,4,-1,62,41,18,1027,1021,1005,16,11,10,19,6,,0.00,1,,90<br />
2014-2-25,25,18,12,10,7,0,82,50,21,1028,1021,1005,11,9,6,23,8,,0.00,3,,61<br />
2014-2-26,24,18,12,7,4,1,62,43,22,1026,1020,1003,13,11,8,34,8,,0.00,3,,68<br />
2014-2-27,26,19,13,10,6,0,82,48,18,1025,1019,1001,24,13,8,27,8,42,0.00,2,,113<br />
2014-2-28,26,18,10,8,3,-3,82,46,15,1027,1021,1005,19,15,11,27,8,,0.00,0,,104<br />
2014-3-1,26,18,11,5,2,-1,58,35,20,1029,1023,1004,24,16,10,23,6,,0.00,1,,27<br />
2014-3-2,26,14,4,4,3,0,100,37,18,1029,1022,1005,24,18,13,40,5,,0.00,2,,246<br />
2014-3-3,24,18,12,10,6,2,82,48,24,1026,1020,1003,21,12,5,37,10,,0.00,3,Lluvia-Tormenta,27<br />
2014-3-4,24,17,11,9,6,3,82,49,25,1025,1019,1003,24,14,10,39,8,37,0.00,3,,168<br />
2014-3-5,26,19,12,5,2,-4,58,34,14,1025,1019,1002,24,21,16,27,10,39,0.00,0,,184<br />
2014-3-6,25,17,8,6,1,-3,71,40,17,1027,1022,1005,24,17,10,27,6,,0.00,1,,66<br />
2014-3-7,24,17,9,9,4,0,82,49,21,1026,1021,1004,24,14,10,34,11,42,26.67,2,Lluvia-Tormenta,108<br />
2014-3-8,24,17,11,6,3,-5,71,41,15,1027,1021,1004,24,21,19,26,11,,0.00,2,,147<br />
2014-3-9,22,17,12,6,4,2,67,46,27,1029,1024,1008,24,20,16,35,10,42,6.35,5,Lluvia,150<br />
2014-3-10,22,18,14,8,3,2,55,40,27,1029,1022,1007,24,23,19,29,10,,0.00,3,,203<br />
2014-3-11,26,19,12,3,-2,-12,54,29,8,1025,1019,1001,24,23,19,27,10,40,0.00,0,,212<br />
2014-3-12,26,18,10,6,0,-5,59,33,13,1027,1020,1003,24,18,11,26,6,47,0.00,0,,57<br />
2014-3-13,25,18,10,7,5,2,76,51,22,1028,1022,1005,24,12,8,21,13,,0.00,2,,119<br />
2014-3-14,28,21,14,7,3,-5,55,37,12,1028,1022,1004,24,15,8,23,8,40,0.00,2,Lluvia-Tormenta,136<br />
2014-3-15,27,19,11,6,4,1,71,39,18,1027,1020,1001,19,13,10,26,8,39,0.00,1,,106<br />
2014-3-16,27,20,13,4,-1,-9,54,29,9,1030,1016,998,24,20,16,29,10,48,0.00,1,,193<br />
2014-3-17,25,18,11,4,0,-11,62,35,9,1022,1015,997,24,19,13,37,14,53,0.00,3,,70<br />
2014-3-18,25,17,9,6,2,-2,67,38,17,1025,1018,997,24,22,16,27,11,37,0.00,3,,159<br />
2014-3-19,27,20,14,11,6,0,64,41,23,1027,1021,1003,24,14,8,32,10,40,204.47,3,Lluvia-Tormenta,40<br />
2014-3-20,26,19,12,11,7,4,77,50,29,1028,1022,1005,24,14,8,19,6,,0.00,2,Lluvia,64<br />
2014-3-21,28,20,12,11,7,-3,82,50,14,1028,1022,1004,18,13,8,26,10,,0.00,2,,66<br />
2014-3-22,29,21,13,9,4,0,58,37,15,1029,1022,1003,19,14,8,34,8,,0.00,1,,67<br />
2014-3-23,29,20,12,8,3,-3,72,38,13,1030,1024,1005,24,14,10,23,10,,0.00,2,,58<br />
2014-3-24,30,21,12,10,3,-9,82,39,9,1030,1023,1003,24,14,8,34,11,39,0.00,2,,74<br />
2014-3-25,26,19,12,10,6,0,63,43,21,1028,1022,1004,16,12,8,35,10,45,3.81,3,Lluvia-Tormenta,81<br />
2014-3-26,25,18,10,9,8,5,88,55,29,1028,1022,1006,19,14,10,27,10,37,0.00,2,,113<br />
2014-3-27,26,20,14,7,6,4,63,41,24,1028,1021,1004,23,15,11,26,10,37,0.00,1,,161<br />
2014-3-28,28,20,13,7,4,0,63,37,17,1027,1021,1002,23,16,11,29,8,37,0.00,1,,121<br />
2014-3-29,26,19,13,12,8,4,88,52,24,1030,1023,1004,16,12,2,39,13,47,0.00,3,Lluvia-Granizo-Tormenta,359<br />
2014-3-30,23,18,13,11,8,6,72,59,33,1030,1024,1009,19,12,8,26,11,40,49.53,6,Lluvia-Tormenta,36<br />
2014-3-31,26,18,10,10,6,-2,82,49,17,1029,1023,1005,19,12,6,24,6,,0.00,1,,63<br />
2014-4-1,26,19,13,8,4,1,55,40,20,1028,1022,1004,19,13,8,40,11,,3.81,4,Lluvia-Tormenta,56<br />
2014-4-2,27,20,14,8,5,-2,67,39,18,1028,1022,1004,16,12,8,24,8,,0.00,4,,213<br />
2014-4-3,27,20,14,7,6,3,59,40,23,1027,1021,1003,19,12,8,21,5,,0.00,4,,151<br />
2014-4-4,28,21,14,9,3,-4,63,36,13,1027,1020,1001,19,15,11,34,10,,0.00,2,,21<br />
2014-4-5,28,21,14,10,6,2,77,41,20,1026,1019,1001,19,14,10,24,11,,0.00,2,,161<br />
2014-4-6,28,22,16,6,2,-3,52,29,15,1024,1016,998,24,21,16,29,11,,0.00,1,,218<br />
2014-4-7,28,21,14,1,-2,-5,36,22,12,1025,1018,1000,24,20,16,27,10,39,0.00,3,,153<br />
2014-4-8,22,18,13,8,3,-3,67,41,25,1032,1023,1004,24,14,10,34,14,,0.00,4,,5<br />
2014-4-9,24,17,11,1,-7,-13,47,23,9,1033,1026,1008,24,20,13,27,11,,0.00,4,,18<br />
2014-4-10,26,18,10,-1,-4,-9,47,25,10,1030,1025,1008,24,16,11,26,11,29,0.00,3,,52<br />
2014-4-11,28,20,12,-1,-4,-11,38,21,9,1029,1023,1004,24,16,8,34,10,,0.00,0,,35<br />
2014-4-12,29,21,13,0,-5,-8,31,18,10,1027,1021,1002,19,15,10,32,10,,0.00,0,,44<br />
2014-4-13,30,23,16,8,2,-6,43,27,14,1026,1018,999,19,14,8,32,6,37,0.00,2,Tormenta,100<br />
2014-4-14,31,23,16,10,7,2,63,39,16,1026,1017,996,24,13,10,47,13,71,7.62,4,Lluvia-Tormenta,76<br />
2014-4-15,24,19,14,12,9,5,82,60,34,1026,1020,1003,24,12,2,37,11,52,191.77,5,Lluvia-Tormenta,329<br />
2014-4-16,24,17,10,11,9,7,82,60,36,1026,1020,1003,23,12,8,42,13,53,0.00,3,Lluvia-Tormenta,93<br />
2014-4-17,25,19,13,9,7,4,72,48,26,1027,1020,1005,23,17,13,27,8,,0.00,2,,124<br />
2014-4-18,25,18,12,12,9,1,88,61,26,1029,1022,1006,24,12,8,34,10,,76.20,4,Lluvia-Tormenta,25<br />
2014-4-19,25,18,12,11,8,-2,88,56,17,1029,1023,1005,24,16,10,29,6,,0.00,4,Tormenta,17<br />
2014-4-20,27,19,12,11,6,0,88,48,18,1029,1023,1006,24,21,13,29,11,,0.00,6,Tormenta,25<br />
2014-4-21,27,20,13,8,3,-2,63,37,17,1029,1023,1004,24,22,16,35,11,52,0.00,3,Tormenta,12<br />
2014-4-22,26,19,12,11,7,2,77,52,21,1028,1022,1004,24,16,6,29,10,,3.81,5,Lluvia-Tormenta,60<br />
2014-4-23,24,18,13,10,8,4,82,52,27,1027,1021,1004,24,14,10,37,8,,3.81,4,Lluvia-Tormenta,104<br />
2014-4-24,25,19,14,7,5,2,59,38,22,1028,1020,1005,19,16,11,27,8,,0.00,5,,118<br />
2014-4-25,25,20,16,9,6,3,59,42,25,1028,1022,1006,19,15,11,27,8,40,0.00,4,,151<br />
2014-4-26,25,19,13,12,9,6,72,55,29,1027,1022,1007,18,11,6,26,8,52,0.00,3,Lluvia-Tormenta,60<br />
2014-4-27,26,20,15,11,7,2,77,46,21,1025,1019,1001,19,15,11,27,8,35,0.00,3,,201<br />
2014-4-28,29,21,13,8,4,-2,67,37,13,1025,1018,1000,19,14,10,34,10,,0.00,3,Lluvia-Tormenta,113<br />
2014-4-29,27,21,15,11,7,3,59,43,21,1024,1018,1000,19,13,10,32,10,42,8.89,5,Lluvia-Tormenta,97<br />
2014-4-30,25,20,16,12,9,6,72,55,31,1026,1021,1004,13,10,10,27,10,35,15.24,6,Lluvia,14<br />
2014-5-1,26,18,11,12,8,2,94,54,22,1026,1021,1005,19,11,5,24,8,29,0.00,4,Lluvia-Tormenta,68<br />
2014-5-2,25,19,13,10,7,2,77,47,24,1026,1019,1002,16,12,8,32,10,,0.00,3,Lluvia,63<br />
2014-5-3,24,17,10,12,8,1,88,64,27,1030,1024,1008,16,9,6,32,11,,76.20,5,Lluvia-Tormenta,63<br />
2014-5-4,25,18,12,12,8,-3,94,58,22,1030,1025,1009,24,13,8,37,8,52,0.00,4,,38<br />
2014-5-5,25,19,14,7,2,-6,48,32,18,1029,1023,1005,24,17,10,24,6,,0.00,5,,33<br />
2014-5-6,27,21,15,12,8,-1,77,46,23,1028,1022,1002,16,12,10,27,8,37,6.35,6,Lluvia,25<br />
2014-5-7,23,18,14,13,11,8,94,65,41,1027,1022,1006,10,9,6,26,8,,29.21,7,Lluvia-Tormenta,92<br />
2014-5-8,20,17,13,12,10,7,94,66,46,1027,1021,1007,24,15,6,29,8,50,3.81,7,Lluvia,125<br />
2014-5-9,26,18,11,10,8,2,82,52,21,1027,1022,1004,24,16,10,27,6,,0.00,3,,79<br />
2014-5-10,25,20,15,14,11,8,88,59,34,1026,1021,1003,16,11,8,34,10,,0.00,4,Lluvia-Tormenta,115<br />
2014-5-11,28,22,16,13,11,5,82,57,24,1025,1019,1000,24,12,6,29,6,35,21.59,5,Lluvia,80<br />
2014-5-12,26,20,15,14,11,8,82,59,32,1024,1019,1002,24,14,10,34,8,52,0.00,3,Lluvia-Tormenta,88<br />
2014-5-13,26,20,15,12,9,1,77,54,28,1026,1019,1002,24,15,10,29,8,,55.88,4,Lluvia-Tormenta,14<br />
2014-5-14,22,18,14,12,9,7,82,63,38,1029,1022,1003,24,19,8,29,16,,31.75,6,Lluvia-Tormenta,16<br />
2014-5-15,21,16,11,7,5,4,67,54,33,1032,1026,1011,24,16,11,21,10,,0.00,5,,349<br />
2014-5-16,23,14,7,6,2,-5,87,50,16,1031,1026,1004,24,13,6,27,10,,0.00,2,,54<br />
2014-5-17,25,17,9,6,0,-15,71,40,6,1028,1023,1007,24,17,10,34,13,,0.00,4,,48<br />
2014-5-18,25,18,10,-2,-5,-9,37,22,10,1028,1022,1005,24,17,11,32,10,37,0.00,5,,31<br />
2014-5-19,26,18,11,-1,-4,-9,38,24,9,1028,1023,1006,24,19,11,24,10,37,0.00,5,,54<br />
2014-5-20,26,18,11,7,1,-8,48,32,11,1028,1022,1000,24,14,10,34,11,37,0.00,1,,40<br />
2014-5-21,27,19,12,9,7,-2,72,47,16,1028,1022,1006,16,12,10,27,10,39,0.00,2,,59<br />
2014-5-22,26,19,13,13,9,2,88,57,21,1028,1022,1005,13,9,6,29,11,,52.07,5,Lluvia-Tormenta,50<br />
2014-5-23,23,19,15,13,11,1,88,65,30,1028,1023,1007,13,9,6,40,11,,3.81,7,Lluvia-Tormenta,197<br />
2014-5-24,25,20,15,14,11,0,88,63,26,1028,1023,1005,13,9,5,39,10,40,24.13,7,Lluvia-Tormenta,306<br />
2014-5-25,22,18,15,13,12,9,88,69,46,1027,1022,1007,16,11,8,23,10,42,16.51,8,Lluvia,89<br />
2014-5-26,23,19,15,12,11,1,82,65,28,1029,1023,1007,16,9,6,24,10,42,0.00,7,Lluvia-Tormenta,67<br />
2014-5-27,24,19,15,13,11,9,82,65,41,1029,1023,1007,11,9,5,32,10,,2.54,7,Lluvia-Tormenta,290<br />
2014-5-28,23,18,14,13,11,1,88,67,30,1028,1022,1006,13,10,6,13,6,,10.16,7,Lluvia,183<br />
2014-5-29,24,19,15,12,8,4,77,54,29,1026,1020,1004,24,17,10,21,8,,8.89,7,Lluvia,139<br />
2014-5-30,24,19,15,14,12,10,94,72,41,1025,1020,1004,19,8,2,32,10,50,7.62,7,Lluvia-Tormenta,62<br />
2014-5-31,22,18,14,14,12,10,94,76,49,1026,1020,1005,19,10,6,24,10,,26.67,7,Lluvia,9<br />
2014-6-1,22,17,13,10,8,6,82,57,35,1025,1020,1005,24,17,11,27,11,39,0.00,3,,359<br />
2014-6-2,22,18,14,9,8,7,72,57,38,1025,1019,1004,24,17,11,26,13,,0.00,4,,6<br />
2014-6-3,23,18,14,11,9,8,72,57,38,1025,1019,1003,24,15,11,35,14,,0.00,5,,2<br />
2014-6-4,22,18,15,14,11,9,88,62,43,1024,1018,1002,24,17,11,29,14,,13.97,6,Lluvia-Tormenta,19<br />
2014-6-5,22,18,15,14,12,10,88,65,46,1024,1017,1001,24,15,11,34,10,,6.35,7,Lluvia,20<br />
2014-6-6,21,18,16,14,12,10,82,67,49,1025,1018,1004,24,17,8,27,13,50,3.81,7,Lluvia,6<br />
2014-6-7,24,20,16,15,13,11,88,72,44,1025,1019,1004,23,14,5,26,11,,43.18,7,Lluvia-Tormenta,323<br />
2014-6-8,23,19,15,14,13,11,88,75,47,1025,1020,1004,19,11,8,35,11,47,13.97,7,Lluvia-Tormenta,20<br />
2014-6-9,25,19,14,14,13,11,94,68,41,1024,1018,1002,24,14,8,27,8,,0.00,6,,79<br />
2014-6-10,26,21,16,13,12,9,82,64,34,1026,1019,1002,24,13,8,32,10,,0.00,7,Lluvia-Tormenta,99<br />
2014-6-11,26,20,15,13,11,6,82,63,28,1027,1022,1005,24,13,8,37,11,,90.17,6,Lluvia-Tormenta,71<br />
2014-6-12,27,20,14,14,11,5,88,61,24,1027,1020,1003,24,11,8,45,10,48,0.00,4,Tormenta,70<br />
2014-6-13,28,20,13,13,9,0,82,54,16,1027,1021,1003,24,14,8,24,10,,0.00,2,,63<br />
2014-6-14,28,22,16,12,9,2,72,51,19,1027,1020,1001,16,12,8,24,11,,0.00,3,,21<br />
2014-6-15,27,20,14,12,8,-2,77,50,15,1026,1020,1002,19,12,8,26,10,,0.00,2,,39<br />
2014-6-16,27,20,14,14,9,5,88,55,26,1028,1022,1004,24,13,3,35,11,47,6.35,4,Lluvia-Tormenta,12<br />
2014-6-17,24,19,14,19,13,3,100,79,36,1029,1024,1006,19,8,1,47,13,66,162.56,7,Lluvia-Tormenta,358<br />
2014-6-18,24,19,14,14,12,10,94,73,47,1028,1023,1007,16,10,3,29,11,,29.21,7,Lluvia-Tormenta,353<br />
2014-6-19,24,19,15,14,12,9,94,72,41,1027,1022,1005,16,10,2,42,11,37,8.89,6,Lluvia-Tormenta,3<br />
2014-6-20,22,18,15,14,13,11,88,76,53,1028,1023,1007,13,9,3,35,10,,15.24,7,Lluvia-Tormenta,309<br />
2014-6-21,24,19,15,14,13,10,94,76,41,1028,1022,1005,19,9,3,35,10,,59.69,7,Lluvia-Tormenta,15<br />
2014-6-22,24,19,15,15,13,10,88,73,41,1028,1022,1004,16,9,3,32,10,39,6.35,7,Lluvia-Tormenta,24<br />
2014-6-23,21,17,14,15,14,13,100,77,60,1029,1023,1005,8,6,3,34,8,,52.07,8,Lluvia-Tormenta,30<br />
2014-6-24,22,18,14,14,13,11,94,77,53,1028,1024,1009,10,6,3,16,5,,29.21,8,Lluvia-Tormenta,112<br />
2014-6-25,20,18,15,14,13,11,94,77,60,1028,1022,1008,16,11,6,29,10,,17.78,8,Lluvia,106<br />
2014-6-26,21,18,15,14,13,11,88,76,53,1027,1022,1008,24,15,8,23,6,,6.35,7,Lluvia,108<br />
2014-6-27,23,18,14,13,12,10,94,72,47,1027,1021,1007,24,14,8,24,10,,0.00,7,Lluvia-Tormenta,61<br />
2014-6-28,25,19,13,13,11,8,94,67,36,1029,1023,1007,24,20,5,29,11,39,49.53,7,Lluvia-Tormenta,106<br />
2014-6-29,22,17,12,14,12,10,94,77,46,1030,1025,1009,19,10,3,23,8,,48.26,6,Lluvia-Tormenta,348<br />
2014-6-30,19,17,14,13,11,8,94,73,59,1029,1024,1010,24,14,10,27,10,,17.78,8,Lluvia,142<br />
2014-7-1,20,17,14,12,11,10,82,68,56,1027,1021,1007,24,17,11,27,10,,0.00,7,,133<br />
2014-7-2,23,18,14,14,12,8,88,71,38,1027,1022,1006,24,13,2,34,10,34,90.17,6,Lluvia-Tormenta,77<br />
2014-7-3,21,17,14,13,12,11,88,73,53,1029,1023,1010,19,11,6,19,11,,8.89,7,Lluvia,62<br />
2014-7-4,20,18,15,14,11,10,88,72,52,1031,1025,1012,19,14,8,35,11,,60.96,7,Lluvia-Tormenta,336<br />
2014-7-5,21,17,14,13,11,9,94,73,52,1031,1026,1011,24,15,6,34,11,,54.61,7,Lluvia-Tormenta,354<br />
2014-7-6,21,17,13,13,11,10,100,77,49,1029,1024,1009,24,12,5,23,6,,158.75,7,Lluvia-Tormenta,77<br />
2014-7-7,21,17,13,14,12,10,94,74,49,1031,1024,1010,19,12,6,26,6,,10.16,7,Lluvia-Tormenta,101<br />
2014-7-8,23,18,13,13,12,10,94,75,46,1031,1026,1011,16,11,6,24,10,,0.00,6,Lluvia-Tormenta,19<br />
2014-7-9,23,18,14,13,12,9,88,71,44,1030,1024,1008,13,9,6,32,8,,0.00,6,Lluvia,357<br />
2014-7-10,22,18,15,13,12,9,88,72,43,1029,1023,1009,13,9,6,23,8,,21.59,7,Lluvia,2<br />
2014-7-11,24,19,14,13,11,7,94,69,34,1028,1023,1008,19,9,3,34,10,,6.35,5,Tormenta,50<br />
2014-7-12,24,18,12,11,8,7,82,58,36,1031,1025,1008,24,19,11,37,13,,0.00,3,Lluvia,29<br />
2014-7-13,25,19,13,13,9,5,88,62,29,1030,1024,1010,23,14,6,32,11,42,76.20,5,Lluvia-Tormenta,21<br />
2014-7-14,23,18,13,13,11,8,88,68,38,1030,1025,1010,23,12,6,26,11,,0.00,6,Lluvia-Tormenta,29<br />
2014-7-15,22,18,14,14,12,11,88,72,50,1029,1024,1008,19,10,6,34,8,,40.64,6,Lluvia-Tormenta,18<br />
2014-7-16,22,18,14,15,12,10,94,77,46,1031,1025,1010,16,10,3,26,8,,24.13,7,Lluvia-Tormenta,75<br />
2014-7-17,24,19,14,13,12,8,94,71,38,1031,1024,1008,13,9,6,27,6,,8.89,7,Lluvia-Tormenta,3<br />
2014-7-18,22,18,14,13,12,10,88,73,50,1031,1026,1011,24,13,5,47,8,40,27.94,7,Lluvia-Tormenta,280<br />
2014-7-19,26,19,13,11,9,6,88,60,30,1031,1025,1009,24,15,10,50,10,61,24.13,4,Lluvia-Tormenta,100<br />
2014-7-20,25,19,13,11,9,6,88,58,32,1031,1025,1008,19,13,10,45,8,64,0.00,3,Lluvia,51<br />
2014-7-21,27,20,13,10,8,4,82,49,23,1030,1024,1008,24,16,10,32,8,37,0.00,3,,39<br />
2014-7-22,27,20,14,12,9,1,77,55,26,1030,1024,1007,19,14,10,35,11,52,0.00,3,Lluvia-Tormenta,54<br />
2014-7-23,23,18,14,12,10,8,77,63,41,1030,1026,1010,23,12,10,26,11,47,41.91,6,Lluvia-Tormenta,336<br />
2014-7-24,22,17,12,12,9,7,82,65,40,1029,1024,1010,23,13,6,26,8,,0.00,6,Lluvia-Tormenta,5<br />
2014-7-25,23,18,13,13,11,8,94,69,38,1030,1025,1010,16,9,4,53,10,50,64.77,6,Lluvia-Tormenta,51<br />
2014-7-26,25,18,12,11,9,5,88,55,28,1030,1025,1008,19,12,6,27,10,39,0.00,3,,114<br />
2014-7-27,25,19,13,12,11,8,88,61,34,1030,1025,1009,19,11,8,47,13,47,3.81,4,Lluvia-Tormenta,56<br />
2014-7-28,23,18,13,13,11,7,94,69,36,1032,1027,1011,19,12,3,52,13,58,13.97,6,Lluvia-Tormenta,13<br />
2014-7-29,24,18,12,12,10,8,88,65,36,1031,1026,1009,24,12,5,29,10,,0.00,4,,60<br />
2014-7-30,25,20,15,12,11,9,82,61,39,1030,1024,1006,19,13,10,24,11,48,3.81,6,Lluvia,40<br />
2014-7-31,26,20,14,13,10,5,82,57,26,1029,1023,1006,18,12,8,34,11,,0.00,4,Lluvia,50<br />
2014-8-1,26,20,15,12,8,3,72,48,23,1029,1023,1007,24,14,11,39,13,27,0.00,3,Lluvia,26<br />
2014-8-2,26,19,13,10,7,3,77,49,24,1029,1023,1007,23,15,0,34,11,42,0.00,3,,30<br />
2014-8-3,26,20,14,10,7,4,72,48,24,1029,1023,1007,23,16,11,29,11,39,0.00,4,,18<br />
2014-8-4,24,20,16,13,10,7,73,59,36,1029,1023,993,19,12,10,37,14,,3.81,6,Lluvia-Tormenta,56<br />
2014-8-5,25,19,14,12,10,7,82,61,32,1031,1025,1009,19,13,8,52,13,,1.27,6,Lluvia,62<br />
