
PYST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-2-13,30,27,23,24,23,22,96,86,66,1011,1008,1005,19,9,2,21,10,,12.95,5,Lluvia-Tormenta,227<br />
2014-2-14,28,24,21,23,22,21,100,87,64,1013,1011,1009,19,10,3,29,16,,6.10,6,Lluvia,195<br />
2014-2-15,32,26,20,22,20,18,88,70,41,1015,1014,1011,19,12,10,142,16,,0.00,5,,149<br />
2014-2-16,33,28,22,21,19,17,73,55,32,1015,1013,1010,19,14,9,23,11,,0.00,3,,92<br />
2014-2-17,34,28,22,21,19,17,69,51,26,1014,1012,1009,19,14,10,24,11,,0.00,3,,92<br />
2014-2-18,36,30,24,20,19,16,65,50,23,1012,1010,1007,19,14,10,55,16,,0.00,2,,82<br />
2014-2-19,35,28,22,23,21,18,100,63,29,1011,1009,1005,19,11,1,27,14,,38.10,5,Lluvia-Tormenta,74<br />
2014-2-20,32,27,22,25,23,22,100,80,53,1011,1008,1006,19,12,7,19,8,,0.51,5,Lluvia-Tormenta,241<br />
2014-2-21,35,29,23,24,23,19,94,68,36,1010,1008,1005,19,13,10,19,6,,0.00,3,Tormenta,58<br />
2014-2-22,34,29,24,24,23,21,89,67,33,1011,1009,1005,19,13,10,23,8,37,0.00,3,Tormenta,75<br />
2014-2-23,34,29,23,24,23,21,94,71,39,1011,1008,1004,19,13,10,19,8,,0.00,4,,134<br />
2014-2-24,33,29,26,25,23,21,84,71,40,1011,1008,1006,19,13,10,19,13,,0.00,5,,61<br />
2014-2-25,33,29,25,24,23,22,94,73,49,1011,1008,1005,19,11,4,29,11,,90.93,7,Lluvia-Tormenta,34<br />
2014-2-26,29,24,20,25,23,19,100,97,89,1013,1010,1008,19,7,0,35,16,52,78.99,5,Lluvia-Tormenta,168<br />
2014-2-27,25,21,18,19,18,16,100,82,47,1016,1014,1013,19,11,6,34,24,,0.25,7,Lluvia,189<br />
2014-2-28,27,21,16,17,14,12,94,64,27,1014,1012,1009,19,15,10,14,8,,0.00,1,,177<br />
2014-3-1,29,22,15,18,14,13,88,59,27,1012,1010,1008,19,18,11,21,5,,0.00,,,168<br />
2014-3-2,30,24,19,21,17,14,88,61,36,1013,1010,1008,19,12,10,16,11,,0.51,6,Lluvia,66<br />
2014-3-3,24,22,20,21,20,18,100,90,78,1014,1012,1010,19,10,7,26,11,42,2.03,7,Lluvia-Tormenta,175<br />
2014-3-4,26,23,20,23,21,19,100,92,73,1014,1012,1011,19,11,1,16,8,,13.97,6,Lluvia-Tormenta,199<br />
2014-3-5,31,26,20,22,20,17,100,75,34,1015,1013,1011,19,12,6,14,6,,0.00,3,,175<br />
2014-3-6,32,26,19,27,17,16,88,61,29,1014,1012,1010,19,19,19,16,10,,0.00,,,134<br />
2014-3-7,31,26,22,19,18,15,83,55,29,1013,1012,1010,19,15,10,27,13,,0.00,3,,168<br />
2014-3-8,31,25,19,19,17,11,94,59,20,1013,1012,1009,19,15,10,21,10,,0.00,1,,173<br />
2014-3-9,34,26,17,19,17,13,88,59,23,1010,1008,1005,19,14,6,13,3,,0.00,,,79<br />
2014-3-10,28,24,21,21,18,15,83,66,44,1012,1010,1006,19,10,6,42,8,52,0.00,5,Tormenta,129<br />
2014-3-11,31,26,19,20,18,17,94,63,33,1013,1012,1010,19,14,10,19,10,,0.00,2,,159<br />
2014-3-12,34,28,21,22,19,16,83,59,29,1015,1012,1010,19,13,10,16,11,,0.00,3,,127<br />
2014-3-13,34,29,23,24,22,21,91,73,39,1015,1013,1010,19,12,1,24,8,,2.03,3,Lluvia-Tormenta,64<br />
2014-3-14,36,29,22,23,21,19,89,64,30,1011,1007,1002,19,14,10,34,14,,0.00,3,Tormenta,27<br />
2014-3-15,30,26,22,24,22,21,100,81,65,1013,1009,1006,19,11,1,32,10,,16.00,5,Lluvia-Tormenta,77<br />
2014-3-16,34,28,22,24,22,21,83,66,35,1009,1006,1002,19,12,10,32,16,50,0.00,3,Tormenta,24<br />
2014-3-17,35,29,23,23,22,20,89,73,36,1010,1008,1005,19,12,8,37,16,55,0.00,3,Lluvia-Tormenta,26<br />
2014-3-18,23,22,20,22,21,18,100,94,70,1013,1011,1008,19,9,1,27,14,,51.05,3,Lluvia-Granizo-Tormenta,129<br />
2014-3-19,29,25,21,26,23,21,100,89,69,1010,1008,1005,19,11,1,34,10,55,40.89,6,Lluvia-Tormenta,338<br />
2014-3-20,25,23,21,23,21,20,100,88,78,1008,1007,1005,19,12,10,21,10,,0.00,7,Lluvia,219<br />
2014-3-21,26,23,20,22,21,19,100,84,57,1014,1010,1007,19,12,5,10,5,,0.00,6,,187<br />
2014-3-22,24,20,16,21,17,9,94,75,33,1022,1019,1015,19,12,10,27,16,,0.00,6,,180<br />
2014-3-23,26,19,12,14,10,8,82,57,22,1022,1018,1015,19,19,19,13,10,,0.00,,,163<br />
2014-3-24,31,21,12,22,17,12,94,70,38,1017,1015,1012,19,12,8,11,5,,0.00,6,,108<br />
2014-3-25,31,25,19,22,20,18,94,69,37,1018,1016,1014,19,12,9,13,5,,0.00,4,Tormenta,98<br />
2014-3-26,27,24,22,21,20,19,83,72,56,1019,1017,1015,19,12,10,16,11,,0.00,5,Tormenta,151<br />
2014-3-27,32,26,19,21,19,16,100,66,27,1016,1013,1010,19,14,8,16,6,,0.00,1,,96<br />
2014-3-28,33,28,22,22,21,18,83,66,38,1013,1011,1007,19,13,9,16,10,,0.00,5,,78<br />
2014-3-29,27,25,23,24,22,21,100,86,65,1010,1007,1004,19,11,1,26,8,,9.91,5,Lluvia-Tormenta,73<br />
2014-3-30,29,25,21,25,23,20,100,83,58,1008,1004,1002,19,11,3,27,14,,2.03,4,Lluvia-Tormenta,24<br />
2014-3-31,27,23,19,24,22,19,100,89,61,1016,1012,1008,19,11,8,23,8,,6.10,5,Lluvia-Tormenta,109<br />
2014-4-1,31,26,20,25,23,21,100,80,57,1017,1015,1014,19,14,10,14,5,,0.00,3,,154<br />
2014-4-2,31,27,22,23,22,20,89,73,44,1017,1014,1012,19,13,10,13,8,,0.00,3,,156<br />
2014-4-3,32,27,22,24,22,21,100,77,42,1014,1012,1010,19,15,10,16,6,,0.00,2,,91<br />
2014-4-4,32,27,21,24,22,21,88,72,51,1015,1013,1011,19,15,10,19,8,,0.00,6,,88<br />
2014-4-5,33,28,23,24,22,21,84,69,44,1015,1013,1010,19,13,9,21,8,,0.00,4,,65<br />
2014-4-6,34,30,26,25,23,22,79,67,38,1014,1011,1008,19,13,10,23,14,,0.00,1,,61<br />
2014-4-7,36,31,26,24,23,21,79,63,34,1010,1008,1005,19,16,10,26,13,,0.00,1,,50<br />
2014-4-8,35,30,25,25,24,22,89,69,40,1008,1006,1004,19,12,6,23,14,,0.00,6,,24<br />
2014-4-9,30,27,23,25,23,14,100,83,33,1011,1008,1006,19,11,0,37,10,47,25.91,6,Lluvia-Tormenta,94<br />
2014-4-10,27,24,21,22,21,20,100,86,66,1012,1010,1007,19,12,10,16,10,,20.07,6,Lluvia-Tormenta,83<br />
2014-4-11,29,25,21,26,23,19,100,89,61,1010,1008,1004,19,9,0,27,16,37,20.07,4,Lluvia-Tormenta,336<br />
2014-4-12,22,20,18,19,18,16,100,85,69,1018,1013,1008,19,12,8,24,18,,0.00,7,Tormenta,234<br />
2014-4-13,20,16,12,17,9,3,100,60,22,1025,1022,1019,19,15,10,37,19,47,0.00,2,,184<br />
2014-4-14,22,17,11,13,11,9,94,69,35,1022,1020,1018,19,18,11,23,8,,0.00,,,168<br />
2014-4-15,25,19,13,14,12,8,94,71,24,1019,1017,1014,19,12,4,14,6,,0.00,,,160<br />
2014-4-16,29,21,13,21,18,12,94,77,51,1014,1012,1009,19,12,6,16,6,,0.00,2,,63<br />
2014-4-17,31,26,19,24,21,2,100,81,19,1013,1011,1009,19,11,0,34,14,,69.09,7,Lluvia-Granizo-Tormenta,67<br />
2014-4-18,23,21,20,21,20,18,100,95,78,1013,1011,1009,19,10,5,24,14,,65.02,6,Lluvia-Tormenta,69<br />
2014-4-19,21,20,19,20,19,18,100,94,84,1016,1014,1012,19,10,3,19,5,,7.11,6,Lluvia-Tormenta,145<br />
2014-4-20,27,23,18,22,21,19,98,83,57,1018,1015,1013,19,12,9,10,3,,0.00,5,,119<br />
2014-4-21,28,24,21,23,22,19,100,86,65,1015,1014,1012,19,12,8,13,5,,1.02,6,Lluvia-Tormenta,145<br />
2014-4-22,27,23,21,22,20,18,94,82,60,1016,1015,1013,19,13,10,16,10,,0.00,6,Tormenta,173<br />
2014-4-23,27,22,17,18,16,11,94,70,28,1019,1017,1015,19,19,19,21,10,,0.00,,,164<br />
2014-4-24,24,19,14,14,13,10,100,75,32,1020,1018,1017,19,19,19,19,6,,0.00,,,170<br />
2014-4-25,25,19,13,14,12,10,88,65,32,1019,1016,1015,19,19,19,14,8,,0.00,,,190<br />
2014-4-26,26,18,11,16,14,11,100,73,36,1017,1015,1012,19,13,5,10,3,,0.00,,,120<br />
2014-4-27,28,22,15,20,18,14,94,72,44,1016,1014,1012,19,11,5,21,8,,0.00,2,,75<br />
2014-4-28,25,22,20,18,16,14,78,66,46,1018,1016,1015,19,14,10,21,13,,0.00,6,,78<br />
2014-4-29,27,23,19,21,18,14,83,70,49,1015,1011,1007,19,12,8,21,10,,0.00,5,,66<br />
2014-4-30,24,21,18,21,19,1,100,94,30,1009,1005,1002,19,8,0,55,16,74,59.94,5,Lluvia-Tormenta,176<br />
2014-5-1,25,21,17,19,17,14,100,81,41,1014,1012,1009,19,12,6,24,8,,0.51,4,Lluvia,179<br />
2014-5-2,26,21,15,20,18,15,94,80,54,1016,1014,1013,19,14,10,16,6,,0.00,5,,76<br />
2014-5-3,29,26,21,22,21,19,94,76,56,1015,1013,1011,19,15,10,21,10,,0.00,5,,53<br />
2014-5-4,30,26,22,22,20,17,83,72,46,1013,1012,1010,19,12,10,24,14,,0.51,6,Lluvia-Tormenta,56<br />
2014-5-5,28,24,21,22,20,19,94,80,56,1014,1012,1010,19,12,9,27,13,,2.03,5,Lluvia-Tormenta,81<br />
2014-5-6,29,24,19,21,19,16,100,78,36,1015,1014,1012,19,11,5,11,3,,0.00,1,,107<br />
2014-5-7,29,23,18,21,19,18,100,80,45,1018,1016,1014,19,8,2,10,2,,0.00,2,,180<br />
2014-5-8,28,23,19,22,20,18,100,86,46,1019,1017,1016,19,9,3,19,3,,0.00,,,160<br />
2014-5-9,24,20,16,19,16,13,94,74,40,1019,1017,1015,19,15,10,21,11,,0.00,1,,158<br />
2014-5-10,24,18,12,14,13,12,94,75,40,1018,1016,1014,19,15,9,11,5,,0.00,,,133<br />
2014-5-11,25,19,13,18,16,13,94,74,45,1019,1016,1014,19,15,9,23,8,,0.00,,,74<br />
2014-5-12,26,21,16,19,17,13,94,74,52,1015,1014,1012,19,12,6,13,5,,0.00,4,,95<br />
2014-5-13,24,21,18,21,19,17,94,86,65,1015,1014,1013,19,11,9,13,6,,0.00,7,Lluvia-Tormenta,148<br />
2014-5-14,28,23,19,21,19,17,94,77,42,1016,1014,1012,19,11,5,16,6,,0.00,5,,56<br />
2014-5-15,25,22,19,21,19,18,100,85,68,1016,1014,1013,19,12,9,24,11,,4.06,5,Lluvia-Tormenta,62<br />
2014-5-16,26,22,18,21,19,18,100,84,59,1016,1014,1012,19,12,8,14,6,,0.00,6,,105<br />
2014-5-17,27,22,18,24,19,18,100,83,58,1017,1015,1013,19,10,6,13,3,,0.00,4,,125<br />
2014-5-18,28,23,18,20,19,18,100,78,45,1017,1015,1014,19,11,5,10,3,,0.00,2,,145<br />
2014-5-19,29,23,17,20,19,17,100,78,45,1017,1015,1013,19,11,7,10,3,,0.00,1,,97<br />
2014-5-20,26,23,19,22,20,18,88,78,60,1014,1011,1008,19,12,9,19,8,,0.00,6,,87<br />
2014-5-21,30,26,22,24,22,19,100,80,49,1007,1003,1000,19,11,1,24,18,47,19.05,5,Lluvia-Tormenta,5<br />
2014-5-22,24,19,13,23,16,10,100,88,71,1019,1011,1002,19,11,5,37,24,,8.89,7,Lluvia-Tormenta,198<br />
2014-5-23,14,12,11,12,10,8,94,83,70,1026,1023,1018,19,11,8,29,26,,6.10,8,Lluvia,187<br />
2014-5-24,14,12,11,11,9,7,94,80,57,1025,1022,1018,19,13,10,16,11,,0.00,7,,164<br />
2014-5-25,12,11,10,11,10,8,100,95,75,1020,1016,1014,19,9,3,26,11,,11.94,7,Lluvia-Tormenta,206<br />
2014-5-26,17,12,8,10,8,8,94,79,47,1024,1021,1019,19,13,10,19,13,,0.00,5,,200<br />
2014-5-27,19,13,7,12,9,7,100,83,47,1025,1023,1020,19,10,6,8,0,,0.00,1,,150<br />
2014-5-28,21,14,7,14,12,7,100,83,52,1022,1020,1017,19,9,4,11,3,,0.00,,,88<br />
2014-5-29,22,18,13,15,13,11,94,72,47,1017,1014,1011,19,16,10,21,11,,0.00,6,,68<br />
2014-5-30,22,21,19,18,16,13,94,73,58,1014,1011,1009,19,12,10,26,18,37,2.03,6,Lluvia-Tormenta,66<br />
2014-5-31,22,20,18,20,18,17,100,94,77,1015,1010,1007,19,8,1,24,11,,10.92,6,Lluvia-Tormenta,198<br />
2014-6-1,20,16,12,16,13,11,100,81,49,1019,1017,1015,19,12,10,19,10,,0.00,5,,193<br />
2014-6-2,19,14,8,12,10,7,100,80,33,1019,1016,1015,19,13,8,13,6,,0.00,,,120<br />
2014-6-3,22,15,8,12,10,8,100,69,40,1015,1012,1008,19,19,14,21,8,,0.00,,,76<br />
2014-6-4,27,19,11,21,16,11,88,68,53,1013,1006,1001,19,12,10,26,18,,0.00,6,,50<br />
2014-6-5,28,24,21,23,22,19,94,84,61,1008,1004,1002,19,11,6,26,14,,0.00,5,Lluvia,26<br />
2014-6-6,23,21,18,19,17,16,94,91,83,1009,1007,1005,19,11,7,26,18,,1.02,8,Lluvia,180<br />
2014-6-7,22,20,17,19,18,17,100,91,71,1007,1006,1004,19,9,1,19,10,,13.97,7,Lluvia-Tormenta,189<br />
2014-6-8,20,16,12,18,13,10,99,79,50,1016,1011,1005,19,11,2,37,19,52,13.97,5,Lluvia-Tormenta,179<br />
2014-6-9,21,16,11,15,13,10,100,83,57,1023,1020,1016,19,14,9,13,6,,0.00,2,,127<br />
2014-6-10,25,19,12,19,16,12,100,84,52,1022,1018,1015,19,15,9,21,6,,0.00,2,,73<br />
2014-6-11,27,21,14,20,18,17,94,74,49,1015,1012,1008,19,15,10,32,19,40,0.00,4,Lluvia-Tormenta,53<br />
2014-6-12,29,24,20,20,18,17,78,65,42,1012,1008,1005,19,15,10,40,24,60,0.00,4,,41<br />
2014-6-13,26,21,15,22,18,13,94,88,73,1020,1014,1011,19,10,5,40,16,48,4.06,7,Lluvia,175<br />
2014-6-14,17,15,13,15,14,12,100,92,76,1022,1021,1019,19,10,2,23,16,,0.00,8,Lluvia,202<br />
2014-6-15,19,17,14,18,16,14,100,92,83,1022,1020,1018,19,11,4,10,2,,0.00,8,Lluvia,84<br />
2014-6-16,21,18,15,19,18,17,100,92,81,1023,1021,1013,19,8,0,19,8,,0.00,8,Niebla-Lluvia,192<br />
2014-6-17,21,19,17,19,18,17,100,91,77,1023,1021,1019,19,9,0,19,6,,0.00,8,Niebla,158<br />
2014-6-18,20,17,13,17,13,8,100,79,46,1027,1025,1022,19,12,10,26,14,,0.00,7,,174<br />
2014-6-19,19,14,9,10,8,6,93,66,34,1028,1026,1023,19,19,19,145,13,,0.00,,,170<br />
2014-6-20,21,14,7,11,9,3,94,71,29,1024,1021,1018,19,11,8,11,3,,0.00,,,108<br />
2014-6-21,24,17,10,17,14,9,94,74,54,1019,1016,1013,19,17,10,21,6,,0.00,6,,69<br />
2014-6-22,24,21,17,17,15,13,73,65,50,1015,1013,1011,19,12,10,24,16,,0.00,5,Tormenta,55<br />
2014-6-23,28,23,19,21,18,16,94,74,53,1015,1013,1012,19,11,9,16,10,,0.00,4,Tormenta,40<br />
2014-6-24,27,23,20,23,22,19,100,89,60,1015,1012,1008,19,11,5,37,6,47,13.97,5,Lluvia-Tormenta,22<br />
2014-6-25,27,24,22,23,22,22,100,92,73,1011,1010,1008,19,9,3,19,6,,10.92,7,Lluvia-Tormenta,353<br />
2014-6-26,23,20,17,22,18,16,100,95,90,1013,1010,1008,10,8,2,32,10,,17.02,5,Lluvia-Granizo-Tormenta,188<br />
2014-6-27,16,16,16,16,16,14,100,96,93,1020,1016,1012,11,6,2,29,23,,25.91,8,Lluvia,203<br />
2014-6-28,16,14,13,15,14,12,100,94,88,1023,1021,1018,19,8,2,39,24,48,5.08,8,Lluvia,222<br />
2014-6-29,16,13,8,13,12,8,100,89,66,1024,1022,1020,19,9,3,16,11,,0.25,7,Lluvia,237<br />
2014-6-30,18,13,7,13,9,7,100,89,48,1022,1020,1016,19,6,0,10,2,,0.00,4,Niebla,50<br />
2014-7-1,20,13,6,14,11,8,100,77,45,1017,1015,1013,19,14,10,14,6,,0.00,6,,85<br />
2014-7-2,25,19,13,20,17,13,100,80,64,1013,1011,1008,19,12,10,19,5,,0.00,6,,64<br />
2014-7-3,28,23,18,22,20,18,100,78,53,1014,1012,1010,19,12,7,23,11,,0.00,6,Lluvia,29<br />
2014-7-4,30,26,21,22,20,18,100,72,42,1014,1012,1009,19,13,8,24,10,,0.00,6,Lluvia,31<br />
2014-7-5,31,24,17,21,18,1,94,70,28,1015,1010,1008,19,12,9,26,18,40,5.08,6,Lluvia-Tormenta,35<br />
2014-7-6,20,14,9,16,12,1,100,84,22,1026,1019,1014,19,10,1,37,23,55,27.94,4,Lluvia-Granizo-Tormenta,198<br />
2014-7-7,18,12,6,8,7,5,100,71,33,1027,1025,1023,19,19,19,13,5,45,0.00,,,158<br />
2014-7-8,19,13,7,14,10,6,100,80,53,1026,1023,1020,19,18,10,13,6,,5.08,7,,184<br />
2014-7-9,17,13,11,16,15,14,100,97,91,1023,1021,1019,10,4,1,11,3,,8.89,8,Niebla-Lluvia,188<br />
2014-7-10,21,18,14,18,17,16,100,90,71,1022,1021,1019,19,10,4,11,6,,0.25,7,Lluvia,146<br />
2014-7-11,24,20,16,18,17,16,100,86,55,1021,1019,1017,19,10,0,19,5,,0.00,6,Niebla,73<br />
2014-7-12,25,21,17,17,16,15,83,71,45,1020,1018,1016,19,13,10,23,13,,0.00,3,,61<br />
2014-7-13,26,22,18,19,16,14,78,67,44,1021,1019,1017,19,14,10,19,11,,0.00,4,,60<br />
2014-7-14,28,24,21,19,17,15,73,64,43,1017,1015,1012,19,18,9,23,16,,0.00,,,58<br />
2014-7-15,27,23,20,18,16,14,78,63,39,1015,1014,1012,19,15,9,26,16,,0.00,4,,57<br />
2014-7-16,29,23,18,21,19,16,88,71,49,1015,1014,1012,19,15,10,14,8,,0.00,3,,61<br />
2014-7-17,28,23,19,23,19,16,88,78,60,1021,1015,1012,19,12,10,34,14,52,3.05,6,Lluvia-Tormenta,236<br />
2014-7-18,21,15,9,16,9,2,93,68,22,1028,1025,1021,19,14,9,29,19,,0.00,3,,191<br />
2014-7-19,20,13,6,11,8,6,100,76,31,1026,1024,1016,19,11,3,55,5,,0.00,,,54<br />
2014-7-20,22,14,7,12,9,7,97,70,32,1022,1020,1017,19,11,4,19,5,,0.00,,,72<br />
2014-7-21,26,18,10,15,12,9,72,58,35,1016,1014,1010,19,19,19,32,16,,0.00,,,66<br />
2014-7-22,28,22,17,16,13,12,64,52,28,1011,1009,1006,19,13,10,26,18,,2.03,3,Lluvia-Tormenta,48<br />
2014-7-23,25,19,13,21,18,12,100,88,72,1017,1008,1005,19,10,3,32,14,55,7.87,6,Lluvia-Tormenta,264<br />
2014-7-24,16,12,7,12,8,4,94,78,45,1025,1021,1016,19,11,7,37,24,,3.05,6,Lluvia,217<br />
2014-7-25,16,10,4,9,6,4,100,77,39,1024,1022,1019,19,11,7,13,3,,0.00,3,,138<br />
2014-7-26,18,12,6,10,7,5,93,73,37,1024,1022,1020,19,15,10,19,6,,0.00,4,,161<br />
2014-7-27,21,13,6,12,9,5,93,71,33,1024,1022,1020,19,17,10,11,5,,0.00,6,,179<br />
2014-7-28,22,15,8,19,16,11,94,83,76,1023,1021,1019,19,13,7,19,10,,0.00,6,,71<br />
2014-7-29,26,22,17,18,17,15,88,70,45,1021,1019,1017,19,12,10,26,18,45,0.00,5,,59<br />
2014-7-30,23,21,19,18,17,16,88,77,61,1019,1017,1015,19,12,5,21,16,,2.03,6,Lluvia-Tormenta,77<br />
2014-7-31,30,24,19,20,18,13,88,69,45,1018,1013,1010,19,16,10,23,13,,0.00,1,,47<br />
2014-8-1,31,26,21,21,19,16,83,65,40,1015,1012,1011,19,14,9,21,11,,0.00,4,,45<br />
2014-8-2,32,27,22,21,19,16,83,61,35,1013,1011,1008,19,15,10,27,16,39,0.00,1,,28<br />
2014-8-3,32,27,22,20,17,16,73,57,30,1008,1007,1004,19,19,19,34,18,,0.00,,,24<br />
2014-8-4,27,22,17,19,15,9,78,65,47,1023,1016,1008,19,13,10,40,14,,0.00,5,,139<br />
2014-8-5,25,19,13,16,12,7,94,65,25,1022,1019,1015,19,12,4,16,11,,0.00,,,121<br />
2014-8-6,29,22,15,18,16,14,94,64,37,1015,1013,1010,19,17,7,32,14,,0.00,,,52<br />
2014-8-7,24,20,15,18,14,12,88,69,47,1025,1020,1015,19,12,10,103,21,,0.00,7,Lluvia,167<br />
2014-8-8,17,15,13,13,12,10,94,78,59,1027,1024,1021,19,11,6,29,19,,0.00,7,Lluvia,180<br />
